episode,time,node,sf
1,0,pop0,a
1,0,pop0,b
1,0,pop1,b
1,0,pop1,c
1,0,pop2,a
1,0,pop2,b
1,0,pop2,c
1,0,pop3,a
1,0,pop3,b
1,0,pop3,c
1,0,pop4,a
1,0,pop4,b
1,0,pop4,c
1,0,pop5,c
1,0,pop6,a
1,0,pop6,b
1,0,pop6,c
1,0,pop7,b
1,0,pop7,c
1,0,pop8,a
1,0,pop8,b
1,0,pop8,c
1,0,pop9,a
1,0,pop9,b
1,0,pop9,c
1,0,pop10,a
1,0,pop10,c
1,100,pop0,a
1,100,pop0,b
1,100,pop0,c
1,100,pop1,a
1,100,pop1,b
1,100,pop1,c
1,100,pop2,a
1,100,pop2,b
1,100,pop2,c
1,100,pop3,a
1,100,pop3,b
1,100,pop3,c
1,100,pop4,b
1,100,pop4,c
1,100,pop5,b
1,100,pop5,c
1,100,pop6,a
1,100,pop6,b
1,100,pop6,c
1,100,pop7,a
1,100,pop7,b
1,100,pop7,c
1,100,pop8,a
1,100,pop8,b
1,100,pop8,c
1,100,pop9,a
1,100,pop9,b
1,100,pop9,c
1,100,pop10,a
1,100,pop10,b
1,100,pop10,c
1,200,pop0,a
1,200,pop0,b
1,200,pop0,c
1,200,pop1,a
1,200,pop1,b
1,200,pop1,c
1,200,pop2,a
1,200,pop2,b
1,200,pop2,c
1,200,pop3,a
1,200,pop3,b
1,200,pop3,c
1,200,pop4,b
1,200,pop4,c
1,200,pop5,b
1,200,pop5,c
1,200,pop6,a
1,200,pop6,b
1,200,pop6,c
1,200,pop7,a
1,200,pop7,b
1,200,pop7,c
1,200,pop8,a
1,200,pop8,b
1,200,pop8,c
1,200,pop9,a
1,200,pop9,b
1,200,pop9,c
1,200,pop10,a
1,200,pop10,b
1,200,pop10,c
1,300,pop0,a
1,300,pop0,b
1,300,pop0,c
1,300,pop1,a
1,300,pop1,b
1,300,pop1,c
1,300,pop2,a
1,300,pop2,b
1,300,pop2,c
1,300,pop3,a
1,300,pop3,b
1,300,pop3,c
1,300,pop4,b
1,300,pop4,c
1,300,pop5,b
1,300,pop5,c
1,300,pop6,a
1,300,pop6,b
1,300,pop6,c
1,300,pop7,a
1,300,pop7,b
1,300,pop7,c
1,300,pop8,a
1,300,pop8,b
1,300,pop8,c
1,300,pop9,a
1,300,pop9,b
1,300,pop9,c
