time,node,sf
100,pop1,a
100,pop1,b
100,pop1,c
100,pop15,a
100,pop15,b
100,pop15,c
100,pop20,a
100,pop20,b
100,pop20,c
100,pop21,b
100,pop21,a
100,pop21,c
100,pop23,a
100,pop23,b
100,pop23,c
100,pop25,a
100,pop25,b
100,pop25,c
100,pop34,a
100,pop34,b
100,pop34,c
100,pop41,b
100,pop41,a
100,pop41,c
100,pop43,b
100,pop43,a
100,pop51,a
100,pop51,b
100,pop51,c
100,pop56,a
100,pop56,b
100,pop58,b
100,pop58,c
100,pop58,a
100,pop59,a
100,pop59,b
100,pop59,c
100,pop70,a
100,pop70,b
100,pop70,c
100,pop46,a
100,pop46,b
100,pop46,c
100,pop17,b
100,pop17,c
100,pop17,a
100,pop66,a
100,pop66,b
100,pop66,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop36,a
100,pop36,b
100,pop36,c
100,pop62,a
100,pop62,b
100,pop62,c
100,pop9,b
100,pop9,a
100,pop9,c
100,pop11,b
100,pop11,c
100,pop11,a
100,pop40,a
100,pop40,c
100,pop40,b
100,pop32,b
100,pop32,c
100,pop32,a
100,pop67,c
100,pop37,b
100,pop37,c
100,pop29,b
100,pop29,a
100,pop68,c
200,pop1,b
200,pop1,a
200,pop15,a
200,pop15,b
200,pop15,c
200,pop20,a
200,pop20,b
200,pop20,c
200,pop21,b
200,pop21,a
200,pop21,c
200,pop23,a
200,pop23,c
200,pop23,b
200,pop25,b
200,pop25,a
200,pop25,c
200,pop34,a
200,pop34,b
200,pop34,c
200,pop41,a
200,pop41,b
200,pop41,c
200,pop43,b
200,pop43,c
200,pop43,a
200,pop51,c
200,pop51,b
200,pop51,a
200,pop56,b
200,pop56,a
200,pop56,c
200,pop58,a
200,pop58,b
200,pop58,c
200,pop59,a
200,pop59,b
200,pop59,c
200,pop70,a
200,pop70,b
200,pop70,c
200,pop46,a
200,pop46,b
200,pop46,c
200,pop17,a
200,pop17,c
200,pop17,b
200,pop66,a
200,pop66,b
200,pop66,c
200,pop33,c
200,pop33,a
200,pop24,a
200,pop24,c
200,pop24,b
200,pop36,a
200,pop36,b
200,pop36,c
200,pop65,b
200,pop65,a
200,pop62,a
200,pop62,b
200,pop62,c
200,pop9,a
200,pop9,c
200,pop11,b
200,pop11,c
200,pop11,a
200,pop40,b
200,pop40,a
200,pop40,c
200,pop32,b
200,pop32,c
200,pop32,a
200,pop67,c
200,pop37,b
200,pop37,a
200,pop68,b
