time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,13,0,0,13,0,0,0,2.769230769230769,0,0.0,0,0,0.0,0.0
100,307,105,0,202,0,49.27246770362935,4.671729228183639,2.7198697068403908,5.730263157894737,28.371335504885995,37.04761904761905,34.93333333333333,0.195616117519596,0.08680233724327398
200,580,368,0,212,0,59.24778830188924,4.680321389913335,2.6810344827586206,5.879945429740792,44.58620689655172,46.76086956521739,39.13586956521739,0.22552157924120736,0.11944156383385038
300,897,662,2,233,26.045880234087747,64.13472881858581,4.687382353812233,2.6633221850613156,5.912350072492421,50.00780379041249,51.651057401812686,40.333836858006045,0.23688564863654285,0.13638816654636732
400,1202,957,5,240,40.97118452872687,68.44161241135004,4.682238638144842,2.6547420965058235,5.9896018735363,53.193843594009984,56.04284221525601,40.90700104493208,0.24232142857143066,0.14342284011916548
500,1500,1270,7,223,52.86574649939741,70.40301492335978,4.688775330219586,2.6506666666666665,5.97955350046962,55.175333333333334,58.02992125984252,41.71181102362205,0.2431075392269433,0.1458926089772749
600,1775,1556,7,212,52.86574649939741,71.0295703097706,4.69392347594267,2.6552112676056336,5.962678967231774,56.07605633802817,58.65359897172237,41.790488431876604,0.24358531060971142,0.1442678460242461
700,2065,1847,7,211,52.86574649939741,71.23413534100146,4.683791525056906,2.6576271186440676,5.968915613534447,56.72348668280872,58.84569572279372,41.68110449377369,0.2444465259534899,0.14434522635204888
800,2347,2142,7,198,52.86574649939741,71.18308653941278,4.686633685788862,2.656582871751172,5.972980191408858,57.17213463996591,58.789449112978524,41.475723622782446,0.24331310111710816,0.1429761502513713
900,2637,2420,8,209,48.132528186972735,71.3824150780989,4.687858822467714,2.653014789533561,5.963729751086527,57.24004550625711,58.985537190082646,41.64380165289256,0.24300705325172064,0.14207466632004973
1000,2911,2712,8,191,48.132528186972735,71.31337510853669,4.689707715070028,2.652009618687736,5.9662121266066155,57.565441429062176,58.91297935103245,41.55641592920354,0.242317356261151,0.14155718034887538
