time,node,sf
100,pop5,b
100,pop5,a
100,pop5,c
100,pop11,b
100,pop11,c
100,pop11,a
100,pop32,c
100,pop32,a
100,pop7,c
100,pop7,b
100,pop18,b
100,pop28,a
100,pop28,b
100,pop28,c
100,pop27,b
200,pop5,a
200,pop5,c
200,pop5,b
200,pop11,b
200,pop11,a
200,pop3,b
200,pop3,a
200,pop19,a
200,pop19,b
200,pop7,a
200,pop7,b
200,pop18,a
200,pop18,b
200,pop6,a
200,pop28,c
300,pop5,a
300,pop5,b
300,pop5,c
300,pop11,a
300,pop11,b
300,pop11,c
400,pop5,b
400,pop5,c
400,pop5,a
400,pop11,b
400,pop11,a
400,pop11,c
400,pop32,a
400,pop32,b
400,pop32,c
400,pop7,a
400,pop18,b
400,pop18,c
500,pop5,b
500,pop5,a
500,pop5,c
500,pop11,b
500,pop11,a
500,pop11,c
500,pop32,b
500,pop19,b
500,pop19,a
500,pop7,a
500,pop7,b
500,pop7,c
500,pop18,b
500,pop18,c
500,pop27,a
600,pop5,b
600,pop5,c
600,pop5,a
600,pop11,a
600,pop11,c
600,pop11,b
600,pop19,b
600,pop19,a
600,pop19,c
600,pop7,a
600,pop18,a
600,pop6,c
600,pop28,a
700,pop5,b
700,pop5,c
700,pop5,a
700,pop11,a
700,pop11,c
700,pop11,b
700,pop19,b
700,pop19,c
700,pop18,a
700,pop6,b
800,pop5,b
800,pop5,a
800,pop5,c
800,pop11,a
800,pop11,b
800,pop1,b
800,pop3,a
800,pop7,a
800,pop18,c
800,pop28,b
800,pop28,c
900,pop5,b
900,pop5,a
900,pop11,a
900,pop11,c
900,pop11,b
900,pop19,a
900,pop19,b
900,pop19,c
900,pop7,a
900,pop7,c
900,pop18,c
900,pop6,b
1000.0,pop5,b
1000.0,pop5,a
1000.0,pop5,c
1000.0,pop11,c
1000.0,pop11,a
1000.0,pop18,b
1000.0,pop18,a
