time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,12,0,0,12,0,0,0,2.5,0,0.0,0,0,0.0,0.0
100,276,135,0,141,0,42.45067478238708,4.725137478241281,2.6557971014492754,7.160458452722063,27.16304347826087,30.192592592592593,17.94814814814815,0.20120068610634773,0.06505281643577661
200,556,426,0,130,0,48.88259126527324,4.663127171819131,2.683453237410072,7.2112449799196785,32.29496402877698,36.490610328638496,19.342723004694836,0.20447824405693305,0.07045397293251292
300,807,677,0,130,0,49.0157222806597,4.704396472392299,2.691449814126394,7.270343336036767,33.32465923172243,36.459379615952734,19.525849335302805,0.20155556934534344,0.06815425051979104
400,1085,929,0,156,0,48.758511068359894,4.691251605343732,2.6829493087557603,7.241913350323466,34.047004608294934,36.21420882669537,19.480086114101184,0.21182720594872223,0.07171774843171985
500,1387,1219,0,168,0,49.43339214158065,4.693920808945009,2.687094448449892,7.281470367591898,34.98990627253064,36.83264971287941,19.36095159967186,0.2170427096218176,0.0747044899809689
600,1651,1514,0,137,0,49.86195221469275,4.690810928761823,2.6820109024833436,7.32905138339921,35.93943064809206,37.27278731836196,19.402906208718626,0.21846785541277386,0.07576458218492921
700,1939,1793,0,146,0,49.857249328105276,4.6909268545008524,2.6833419288292935,7.34394369156424,36.05312016503352,37.2649191299498,19.401561628555495,0.22261348948335521,0.07678565768817443
800,2192,2074,0,118,0,49.82578348284637,4.688997088530793,2.6806569343065694,7.327306273062731,36.23540145985402,37.26518804243009,19.30327868852459,0.22111590607609602,0.07657615242028419
900,2454,2335,0,119,0,49.787384856394766,4.688638089146942,2.6764466177669113,7.293751025094308,36.24286878565607,37.235546038543895,19.222269807280515,0.22172744161765195,0.07669805698400568
1000,2711,2577,0,134,0,49.419854305273304,4.68766347934376,2.66986351899668,7.268703427719821,35.981556621173,36.90182382615444,19.16802483507955,0.2208798978416531,0.07600990563775763
