time,node,sf
100,pop43,a
100,pop43,b
100,pop43,c
100,pop3,a
100,pop3,b
100,pop3,c
100,pop56,a
100,pop56,b
100,pop56,c
100,pop46,a
100,pop46,b
100,pop46,c
100,pop27,a
100,pop27,b
100,pop27,c
100,pop39,a
100,pop39,b
100,pop39,c
100,pop28,a
100,pop28,b
100,pop28,c
100,pop35,c
100,pop50,b
100,pop50,c
100,pop41,a
100,pop41,b
100,pop41,c
100,pop7,a
100,pop7,b
100,pop7,c
100,pop33,a
100,pop57,a
100,pop57,b
100,pop20,b
200,pop43,a
200,pop43,b
200,pop43,c
200,pop3,a
200,pop3,b
200,pop3,c
200,pop56,a
200,pop56,b
200,pop56,c
200,pop46,a
200,pop46,b
200,pop46,c
200,pop27,a
200,pop27,b
200,pop27,c
200,pop39,b
200,pop39,c
200,pop39,a
200,pop28,b
200,pop28,c
200,pop28,a
200,pop35,a
200,pop50,c
200,pop50,a
200,pop50,b
200,pop48,a
200,pop48,b
200,pop48,c
300,pop43,a
300,pop43,b
300,pop43,c
300,pop3,a
300,pop3,b
300,pop3,c
300,pop56,a
300,pop56,b
300,pop56,c
300,pop46,a
300,pop46,b
300,pop46,c
300,pop27,a
300,pop27,b
300,pop27,c
300,pop39,c
300,pop39,a
300,pop39,b
300,pop32,c
300,pop28,b
300,pop28,a
300,pop28,c
300,pop50,a
300,pop50,b
300,pop50,c
300,pop20,c
400,pop43,a
400,pop43,b
400,pop43,c
400,pop3,a
400,pop3,b
400,pop3,c
400,pop56,b
400,pop56,c
400,pop56,a
400,pop46,a
400,pop46,b
400,pop46,c
400,pop27,a
400,pop27,b
400,pop27,c
400,pop39,c
400,pop39,a
400,pop39,b
400,pop32,a
400,pop28,b
400,pop28,a
400,pop28,c
400,pop35,a
400,pop35,b
400,pop35,c
400,pop50,a
400,pop50,b
400,pop50,c
400,pop41,c
400,pop57,b
400,pop57,c
400,pop5,a
400,pop48,a
400,pop42,b
400,pop11,c
500,pop43,a
500,pop43,b
500,pop43,c
500,pop3,a
500,pop3,b
500,pop3,c
500,pop56,b
500,pop56,c
500,pop56,a
500,pop46,b
500,pop46,a
500,pop46,c
500,pop27,a
500,pop27,b
500,pop27,c
500,pop39,a
500,pop39,b
500,pop39,c
500,pop32,b
500,pop32,a
500,pop28,b
500,pop28,a
500,pop28,c
500,pop35,b
500,pop35,c
500,pop50,a
500,pop50,b
500,pop33,b
500,pop33,c
600,pop43,a
600,pop43,b
600,pop43,c
600,pop3,a
600,pop3,b
600,pop3,c
600,pop56,b
600,pop56,c
600,pop56,a
600,pop46,b
600,pop46,a
600,pop46,c
600,pop27,a
600,pop27,b
600,pop27,c
600,pop39,a
600,pop39,b
600,pop39,c
600,pop28,b
600,pop28,a
600,pop28,c
600,pop35,c
600,pop35,b
600,pop50,a
600,pop37,b
600,pop37,a
700,pop43,a
700,pop43,b
700,pop43,c
700,pop3,a
700,pop3,b
700,pop3,c
700,pop56,b
700,pop56,c
700,pop56,a
700,pop46,b
700,pop46,a
700,pop46,c
700,pop27,a
700,pop27,b
700,pop27,c
700,pop39,a
700,pop39,b
700,pop39,c
700,pop28,b
700,pop28,a
700,pop28,c
700,pop50,a
700,pop50,b
700,pop50,c
700,pop20,b
700,pop18,a
700,pop18,b
700,pop18,c
800,pop43,a
800,pop43,b
800,pop43,c
800,pop3,a
800,pop3,b
800,pop3,c
800,pop56,b
800,pop56,a
800,pop56,c
800,pop46,b
800,pop46,a
800,pop46,c
800,pop27,a
800,pop27,b
800,pop27,c
800,pop39,a
800,pop39,c
800,pop39,b
800,pop28,b
800,pop28,c
800,pop28,a
800,pop35,a
800,pop50,b
800,pop50,a
800,pop57,b
800,pop57,c
800,pop6,c
900,pop43,a
900,pop43,b
900,pop43,c
900,pop3,a
900,pop3,b
900,pop3,c
900,pop56,b
900,pop56,a
900,pop56,c
900,pop46,b
900,pop46,a
900,pop46,c
900,pop27,a
900,pop27,b
900,pop27,c
900,pop39,a
900,pop39,c
900,pop39,b
900,pop32,a
900,pop28,c
900,pop28,b
900,pop28,a
900,pop35,b
900,pop35,c
900,pop50,b
900,pop50,a
900,pop49,a
900,pop49,b
900,pop49,c
1000.0,pop43,a
1000.0,pop43,b
1000.0,pop43,c
1000.0,pop3,b
1000.0,pop3,c
1000.0,pop3,a
1000.0,pop56,b
1000.0,pop56,a
1000.0,pop56,c
1000.0,pop46,b
1000.0,pop46,a
1000.0,pop46,c
1000.0,pop27,a
1000.0,pop27,b
1000.0,pop27,c
1000.0,pop39,a
1000.0,pop39,b
1000.0,pop39,c
1000.0,pop32,a
1000.0,pop32,b
1000.0,pop28,b
1000.0,pop28,a
1000.0,pop28,c
1000.0,pop35,b
1000.0,pop35,a
1000.0,pop50,a
1000.0,pop50,b
1000.0,pop50,c
