time,node,sf
100,pop9,b
100,pop9,a
100,pop9,c
100,pop18,a
100,pop18,b
100,pop18,c
100,pop27,b
100,pop27,c
100,pop27,a
100,pop35,a
100,pop35,c
100,pop35,b
100,pop49,a
100,pop49,b
100,pop49,c
100,pop50,b
100,pop50,a
100,pop34,a
100,pop34,b
100,pop22,b
100,pop31,c
100,pop16,b
100,pop16,c
100,pop41,b
100,pop41,c
100,pop21,a
200,pop9,a
200,pop9,c
200,pop9,b
200,pop18,b
200,pop18,a
200,pop18,c
200,pop27,a
200,pop27,c
200,pop27,b
200,pop35,c
200,pop35,b
200,pop35,a
200,pop49,a
200,pop49,b
200,pop49,c
200,pop50,a
200,pop50,c
200,pop34,a
200,pop34,b
200,pop34,c
200,pop43,c
200,pop43,b
200,pop43,a
200,pop12,b
200,pop19,b
200,pop19,c
200,pop19,a
200,pop14,b
200,pop14,c
200,pop46,c
200,pop36,a
200,pop36,b
300,pop9,a
300,pop9,c
300,pop9,b
300,pop18,a
300,pop18,b
300,pop18,c
300,pop27,a
300,pop27,c
300,pop27,b
300,pop35,a
300,pop35,b
300,pop35,c
300,pop49,a
300,pop49,b
300,pop49,c
300,pop50,c
300,pop50,b
300,pop50,a
300,pop34,b
300,pop34,a
300,pop43,c
300,pop19,b
300,pop19,c
300,pop41,c
300,pop2,a
400,pop9,a
400,pop9,b
400,pop9,c
400,pop18,a
400,pop18,b
400,pop18,c
400,pop27,a
400,pop27,b
400,pop27,c
400,pop35,a
400,pop35,b
400,pop35,c
400,pop49,a
400,pop49,b
400,pop50,a
400,pop50,b
400,pop50,c
400,pop34,b
400,pop34,a
400,pop30,a
400,pop19,a
400,pop16,b
400,pop13,a
400,pop15,b
400,pop15,c
500,pop9,a
500,pop9,b
500,pop18,a
500,pop18,b
500,pop18,c
500,pop27,b
500,pop27,a
500,pop27,c
500,pop35,a
500,pop49,a
500,pop49,b
500,pop49,c
500,pop50,b
500,pop50,a
500,pop50,c
500,pop41,c
500,pop33,c
600,pop9,b
600,pop9,a
600,pop18,a
600,pop18,b
600,pop27,a
600,pop27,c
600,pop27,b
600,pop35,a
600,pop35,b
600,pop35,c
600,pop49,b
600,pop49,a
600,pop49,c
600,pop50,a
600,pop50,c
600,pop34,b
600,pop34,c
600,pop30,a
600,pop30,b
600,pop19,a
600,pop46,b
600,pop46,a
600,pop15,c
700,pop9,b
700,pop9,a
700,pop9,c
700,pop18,a
700,pop18,b
700,pop18,c
700,pop27,a
700,pop27,b
700,pop27,c
700,pop35,b
700,pop35,a
700,pop49,b
700,pop49,c
700,pop49,a
700,pop50,a
700,pop50,b
700,pop34,a
700,pop30,a
700,pop30,b
700,pop19,b
700,pop19,c
700,pop41,b
700,pop33,b
700,pop33,c
700,pop15,c
700,pop15,b
800,pop9,a
800,pop9,b
800,pop9,c
800,pop18,b
800,pop18,a
800,pop18,c
800,pop27,a
800,pop27,b
800,pop27,c
800,pop35,b
800,pop35,a
800,pop35,c
800,pop49,c
800,pop49,a
800,pop49,b
800,pop50,b
800,pop50,c
800,pop50,a
800,pop34,c
800,pop34,a
800,pop34,b
800,pop12,b
800,pop12,c
800,pop31,c
800,pop19,b
800,pop19,a
800,pop14,b
800,pop6,c
800,pop41,b
800,pop41,c
800,pop46,b
800,pop5,b
800,pop5,c
900,pop9,a
900,pop9,b
900,pop9,c
900,pop18,b
900,pop18,a
900,pop18,c
900,pop27,a
900,pop27,b
900,pop27,c
900,pop35,b
900,pop35,a
900,pop35,c
900,pop49,a
900,pop49,b
900,pop49,c
900,pop50,c
900,pop50,b
900,pop34,a
900,pop43,b
900,pop43,c
900,pop22,b
900,pop22,c
900,pop19,c
900,pop16,a
900,pop41,b
900,pop41,c
900,pop13,b
900,pop13,a
1000.0,pop9,b
1000.0,pop9,a
1000.0,pop9,c
1000.0,pop18,a
1000.0,pop18,c
1000.0,pop18,b
1000.0,pop27,a
1000.0,pop27,b
1000.0,pop27,c
1000.0,pop35,a
1000.0,pop35,b
1000.0,pop49,b
1000.0,pop49,a
1000.0,pop50,c
1000.0,pop50,a
1000.0,pop50,b
1000.0,pop12,c
1000.0,pop22,a
1000.0,pop22,b
1000.0,pop22,c
1000.0,pop19,a
1000.0,pop19,b
1000.0,pop46,b
