time,node,sf
100,pop4,a
100,pop4,b
100,pop4,c
100,pop15,a
100,pop15,b
100,pop15,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop60,a
100,pop60,b
100,pop60,c
100,pop18,a
100,pop18,b
100,pop18,c
100,pop66,a
100,pop66,b
100,pop66,c
100,pop21,b
100,pop21,a
100,pop21,c
100,pop36,b
100,pop36,a
100,pop36,c
100,pop42,a
100,pop42,b
100,pop42,c
100,pop47,a
100,pop47,b
100,pop47,c
100,pop67,a
100,pop67,b
100,pop67,c
100,pop11,a
100,pop11,b
100,pop11,c
100,pop57,a
100,pop57,b
100,pop57,c
100,pop5,b
100,pop5,c
100,pop35,a
100,pop35,b
100,pop49,a
100,pop49,b
100,pop6,c
100,pop1,a
100,pop1,c
100,pop1,b
100,pop3,a
100,pop3,b
100,pop3,c
100,pop26,b
100,pop26,c
100,pop23,c
100,pop23,a
100,pop23,b
100,pop58,a
100,pop61,a
100,pop61,b
100,pop61,c
100,pop28,a
100,pop20,c
100,pop27,b
100,pop27,c
100,pop45,a
100,pop45,b
100,pop45,c
200,pop4,a
200,pop4,b
200,pop4,c
200,pop15,a
200,pop15,b
200,pop15,c
200,pop24,b
200,pop24,a
200,pop24,c
200,pop60,a
200,pop60,b
200,pop60,c
200,pop18,a
200,pop18,b
200,pop18,c
200,pop66,b
200,pop66,a
200,pop66,c
200,pop21,a
200,pop36,c
200,pop36,a
200,pop36,b
200,pop42,a
200,pop42,b
200,pop42,c
200,pop47,a
200,pop47,b
200,pop47,c
200,pop67,b
200,pop67,a
200,pop67,c
200,pop11,a
200,pop11,c
200,pop11,b
200,pop57,c
200,pop57,a
200,pop57,b
200,pop10,a
200,pop10,b
200,pop10,c
200,pop5,a
200,pop5,c
200,pop5,b
200,pop35,b
200,pop35,a
200,pop49,b
200,pop49,a
200,pop49,c
200,pop6,b
200,pop6,a
200,pop6,c
200,pop53,a
200,pop53,b
200,pop53,c
200,pop1,b
200,pop1,a
200,pop1,c
200,pop68,a
200,pop68,b
200,pop68,c
200,pop3,a
200,pop3,b
200,pop3,c
200,pop26,a
200,pop23,a
200,pop23,b
200,pop58,a
200,pop58,b
200,pop58,c
200,pop70,a
200,pop70,b
200,pop70,c
200,pop61,b
200,pop28,b
200,pop28,c
200,pop20,a
200,pop20,b
200,pop59,b
200,pop27,a
200,pop52,c
300,pop4,a
300,pop4,b
300,pop4,c
300,pop15,a
300,pop15,b
300,pop15,c
300,pop24,b
300,pop24,a
300,pop24,c
300,pop60,a
300,pop60,b
300,pop60,c
300,pop18,a
300,pop18,b
300,pop18,c
300,pop66,b
300,pop66,a
300,pop66,c
300,pop21,a
300,pop21,b
300,pop21,c
300,pop36,b
300,pop36,c
300,pop36,a
300,pop42,a
300,pop42,b
300,pop42,c
300,pop47,a
300,pop47,b
300,pop47,c
300,pop67,b
300,pop67,a
300,pop67,c
300,pop11,a
300,pop11,b
300,pop11,c
300,pop57,b
300,pop57,a
300,pop57,c
300,pop10,c
300,pop10,b
300,pop5,a
300,pop5,b
300,pop35,c
300,pop35,b
300,pop35,a
300,pop49,a
300,pop49,b
300,pop49,c
300,pop6,b
300,pop6,a
300,pop6,c
300,pop1,b
300,pop1,a
300,pop1,c
300,pop3,a
300,pop3,b
300,pop26,a
300,pop26,b
300,pop26,c
300,pop58,a
300,pop70,a
300,pop61,a
300,pop61,b
300,pop61,c
300,pop28,c
300,pop20,a
300,pop20,b
300,pop20,c
300,pop45,a
300,pop45,b
300,pop45,c
400,pop4,a
400,pop4,b
400,pop4,c
400,pop15,a
400,pop15,b
400,pop15,c
400,pop24,b
400,pop24,a
400,pop24,c
400,pop60,a
400,pop60,b
400,pop60,c
400,pop18,a
400,pop18,b
400,pop18,c
400,pop66,b
400,pop66,a
400,pop66,c
400,pop21,a
400,pop21,b
400,pop21,c
400,pop36,b
400,pop36,a
400,pop36,c
400,pop42,b
400,pop42,a
400,pop42,c
400,pop47,a
400,pop47,c
400,pop47,b
400,pop67,b
400,pop67,a
400,pop67,c
400,pop11,c
400,pop57,b
400,pop57,a
400,pop57,c
400,pop10,b
400,pop35,a
400,pop35,c
400,pop35,b
400,pop49,a
400,pop49,b
400,pop49,c
400,pop6,a
400,pop1,a
400,pop1,b
400,pop1,c
400,pop3,c
400,pop26,b
400,pop26,a
400,pop26,c
400,pop58,c
400,pop28,b
400,pop20,a
400,pop20,b
400,pop20,c
400,pop38,b
400,pop38,a
400,pop27,a
400,pop27,c
400,pop27,b
400,pop45,a
400,pop45,b
400,pop45,c
400,pop52,a
500,pop4,a
500,pop4,b
500,pop4,c
500,pop15,a
500,pop15,b
500,pop15,c
500,pop24,b
500,pop24,a
500,pop24,c
500,pop60,a
500,pop60,b
500,pop60,c
500,pop18,b
500,pop18,c
500,pop18,a
500,pop66,b
500,pop66,a
500,pop66,c
500,pop21,a
500,pop21,b
500,pop21,c
500,pop36,a
500,pop36,b
500,pop42,b
500,pop42,c
500,pop42,a
500,pop47,a
