time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,31,0,0,31,0,0,0,2.6774193548387095,0,0.0,0,0,0.0,0.0
100,709,210,3,496,24.9244149949235,54.6967838682332,4.764195314147168,2.713681241184767,6.876201923076923,32.276445698166434,42.13333333333333,27.914285714285715,0.32568782881543973,0.20327821563960174
200,1392,790,51,551,51.010336760626295,68.8647063666093,4.699556660613835,2.6889367816091956,6.791128467007109,48.723419540229884,56.258227848101264,33.22405063291139,0.3941815083625944,0.2846050802376983
300,2053,1437,80,536,57.26029938052092,74.33058173771587,4.700704314772791,2.67510959571359,6.758655502108201,55.435460301997075,61.7696590118302,34.6750173973556,0.4081798545498998,0.30626729958784704
400,2747,2086,125,536,60.83592918238096,76.55983463164037,4.699720052689451,2.66982162358937,6.753197576573545,58.43101565344011,64.03307766059444,35.36433365292426,0.4123890290409692,0.31723213436764347
500,3442,2686,177,579,61.71593665066813,77.74074815708883,4.705052894884185,2.6650203370133645,6.73920704845815,60.00087158628704,65.228965003723,35.83097542814594,0.4122785974813327,0.32192475186546304
600,4107,3325,223,559,62.53882521531012,78.4576830204756,4.695293115861499,2.6676406135865594,6.725809844341607,62.282931580228876,65.94676691729323,35.925413533834586,0.4134863036486432,0.3302775337293312
700,4807,3959,257,591,60.70895549557416,79.73298895224066,4.689472433608363,2.666736009985438,6.725865815263181,63.105887247763675,67.2394544076787,36.485728719373576,0.41063715487902286,0.3331101948083828
800,5492,4616,304,572,60.273560137931085,80.31959218665206,4.689902150783125,2.6675163874726877,6.713130469447028,64.39202476329206,67.83470537261698,36.788128249566725,0.4136633653409305,0.33949447057054294
900,6205,5280,344,581,60.905801683229555,80.89519366267449,4.685764952954361,2.6663980660757454,6.7107661492238355,64.79323126510879,68.41155303030303,36.93484848484849,0.4148918032641378,0.3411289566472293
1000,6882,5915,408,559,60.19986379082295,81.23262382443873,4.687611867234261,2.667974426038942,6.696805277592469,65.63978494623656,68.74708368554522,36.9781910397295,0.4179805963065262,0.3444891426646749
