time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,23,0,0,23,0,0,0,2.5652173913043477,0,0.0,0,0,0.0,0.0
100,498,123,128,247,26.614607897855333,42.57637063435243,4.720858164255712,2.6666666666666665,5.706981317600786,23.309236947791163,30.24390243902439,22.788617886178862,0.023386085255678108,0.4232595843077482
200,1020,358,405,257,29.89494402078403,55.354306852489394,4.687547225860014,2.6696078431372547,5.759778597785978,30.605882352941176,43.00558659217877,25.91340782122905,0.023575639826958917,0.4890746904832535
300,1559,594,699,266,30.406368808891386,59.666032171218646,4.6957784909315965,2.6549069916613215,5.7847789591494125,33.15394483643361,47.19191919191919,26.36026936026936,0.02430517568085956,0.5067792182033959
400,2062,838,965,259,31.682460909772406,63.03049252787639,4.6829418806607706,2.6551891367604266,5.786903708470758,34.887002909796315,50.575178997613364,27.441527446300714,0.02440596967645279,0.5151269587511917
500,2590,1102,1226,262,31.393327881472093,64.14374212447967,4.688109894962421,2.661389961389961,5.803889171326894,35.262548262548265,51.68421052631579,28.00181488203267,0.024551727221934386,0.5154056034235955
600,3088,1357,1480,251,31.635491110076405,64.3884633974093,4.691980945728943,2.6664507772020727,5.787578804772573,35.971826424870464,51.91451731761238,28.09653647752395,0.024514747677774455,0.5169593754273138
700,3568,1601,1729,238,31.84076956037189,64.89099283892034,4.690297615214882,2.6692825112107625,5.799427702763123,36.353699551569505,52.3735165521549,28.362898188632105,0.02460477096127973,0.5166484978907339
800,4082,1823,2004,255,31.882848153028213,64.94906359118878,4.680920247169124,2.671484566389025,5.810184824144116,36.50367466927977,52.44761382336807,28.349424026330226,0.024451131105267046,0.5175981457550161
900,4605,2082,2267,256,31.917613903402284,65.41126668312968,4.6835949267305494,2.671444082519001,5.804229524006337,36.59500542888165,52.91162343900096,28.56147934678194,0.024749435808092104,0.5182222500707641
1000,5126,2324,2545,257,31.62690810253752,65.28015565569127,4.682249026975169,2.6730394069449863,5.807531768852611,36.643191572376125,52.77280550774527,28.550344234079173,0.02469938296438216,0.5198184000458006
