time,node,node_capacity,used_resources
0,pop0,100,0
0,pop1,100,0
0,pop2,100,0
0,pop3,100,0
0,pop4,100,0
0,pop5,100,0
0,pop6,100,0
0,pop7,100,0
0,pop8,100,0
0,pop9,100,0
0,pop10,100,0
0,pop11,100,0
0,pop12,100,0
0,pop13,100,0
0,pop14,100,0
0,pop15,100,0
0,pop16,100,0
0,pop17,100,0
0,pop18,100,0
0,pop19,100,0
0,pop20,100,0
0,pop21,100,0
0,pop22,100,0
0,pop23,100,0
0,pop24,100,0
0,pop25,100,0
0,pop26,100,0
0,pop27,100,0
0,pop28,100,0
0,pop29,100,0
0,pop30,100,0
0,pop31,100,0
0,pop32,100,0
0,pop33,100,0
0,pop34,100,0
0,pop35,100,0
0,pop36,100,0
0,pop37,100,0
0,pop38,100,0
0,pop39,100,0
0,pop40,100,0
0,pop41,100,0
0,pop42,100,0
0,pop43,100,0
0,pop44,100,0
0,pop45,100,0
0,pop46,100,0
0,pop47,100,0
0,pop48,100,0
0,pop49,100,0
0,pop50,100,0
0,pop51,100,0
0,pop52,100,0
0,pop53,100,0
0,pop54,100,0
0,pop55,100,0
0,pop56,100,0
0,pop57,100,0
0,pop58,100,0
0,pop59,100,0
0,pop60,100,0
0,pop61,100,0
0,pop62,100,0
0,pop63,100,0
0,pop64,100,0
0,pop65,100,0
0,pop66,100,0
0,pop67,100,0
0,pop68,100,0
0,pop69,100,0
0,pop70,100,0
0,pop71,100,0
0,pop72,100,0
100,pop0,100,0
100,pop1,100,0
100,pop2,100,0
100,pop3,100,0
100,pop4,100,0
100,pop5,100,0
100,pop6,100,0
100,pop7,100,0
100,pop8,100,2.0
100,pop9,100,5.0
100,pop10,100,0
100,pop11,100,0
100,pop12,100,8.0
100,pop13,100,8.0
100,pop14,100,33.0
100,pop15,100,0
100,pop16,100,0
100,pop17,100,0
100,pop18,100,13.0
100,pop19,100,6.0
100,pop20,100,14.0
100,pop21,100,4.0
100,pop22,100,15.0
100,pop23,100,10.0
100,pop24,100,12.0
100,pop25,100,0
100,pop26,100,0
100,pop27,100,10.0
100,pop28,100,24.0
100,pop29,100,0
100,pop30,100,0
100,pop31,100,6.0
100,pop32,100,0
100,pop33,100,0
100,pop34,100,0
100,pop35,100,3.0
100,pop36,100,10.0
100,pop37,100,20.0
100,pop38,100,21.0
100,pop39,100,4.0
100,pop40,100,18.0
100,pop41,100,0
100,pop42,100,7.0
100,pop43,100,0
100,pop44,100,0
100,pop45,100,7.0
100,pop46,100,0
100,pop47,100,0
100,pop48,100,0
100,pop49,100,0
100,pop50,100,16.0
100,pop51,100,0
100,pop52,100,5.0
100,pop53,100,0
100,pop54,100,12.0
100,pop55,100,0
100,pop56,100,0
100,pop57,100,0
100,pop58,100,0
100,pop59,100,0
100,pop60,100,30.0
100,pop61,100,10.0
100,pop62,100,0
100,pop63,100,0
100,pop64,100,0
100,pop65,100,4.0
100,pop66,100,2.0
100,pop67,100,0
100,pop68,100,0
100,pop69,100,0
100,pop70,100,2.0
100,pop71,100,4.0
100,pop72,100,0
200,pop0,100,0
200,pop1,100,0
200,pop2,100,0
200,pop3,100,0
200,pop4,100,0
200,pop5,100,0
200,pop6,100,0
200,pop7,100,0
200,pop8,100,7.0
200,pop9,100,6.0
200,pop10,100,0
200,pop11,100,0
200,pop12,100,6.0
200,pop13,100,1.0
200,pop14,100,13.0
200,pop15,100,0
200,pop16,100,0
200,pop17,100,0
200,pop18,100,2.0
200,pop19,100,15.0
200,pop20,100,12.0
200,pop21,100,28.0
200,pop22,100,2.0
200,pop23,100,8.0
200,pop24,100,16.0
200,pop25,100,0
200,pop26,100,0
200,pop27,100,14.0
200,pop28,100,6.0
200,pop29,100,0
200,pop30,100,0
200,pop31,100,8.0
200,pop32,100,0
200,pop33,100,0
200,pop34,100,0
200,pop35,100,26.0
200,pop36,100,9.0
200,pop37,100,6.0
200,pop38,100,3.0
200,pop39,100,11.0
200,pop40,100,6.0
200,pop41,100,0
200,pop42,100,7.0
200,pop43,100,0
200,pop44,100,0
200,pop45,100,4.0
200,pop46,100,0
200,pop47,100,0
