time,node,sf
100,pop0,a
100,pop0,b
100,pop0,c
100,pop2,c
100,pop2,a
100,pop2,b
100,pop3,a
100,pop3,b
100,pop3,c
100,pop4,a
100,pop4,b
100,pop4,c
100,pop6,a
100,pop6,c
100,pop6,b
100,pop7,a
100,pop7,b
100,pop7,c
100,pop8,a
100,pop8,b
100,pop8,c
100,pop10,a
100,pop10,c
100,pop10,b
100,pop12,a
100,pop12,c
100,pop12,b
100,pop16,a
100,pop16,b
100,pop16,c
100,pop18,b
100,pop18,a
100,pop18,c
100,pop19,a
100,pop19,b
100,pop19,c
100,pop22,a
100,pop22,b
100,pop22,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop25,a
100,pop25,b
100,pop25,c
100,pop26,b
100,pop26,a
100,pop26,c
100,pop27,b
100,pop27,a
100,pop27,c
100,pop31,b
100,pop31,a
100,pop31,c
200,pop0,a
200,pop0,b
200,pop0,c
200,pop2,a
200,pop2,b
200,pop2,c
200,pop3,a
200,pop3,c
200,pop3,b
200,pop4,a
200,pop4,b
200,pop4,c
200,pop6,a
200,pop6,b
200,pop6,c
200,pop7,a
200,pop7,b
200,pop7,c
200,pop8,a
200,pop8,b
200,pop8,c
200,pop10,a
200,pop10,b
200,pop10,c
200,pop12,a
200,pop12,b
200,pop12,c
200,pop16,a
200,pop16,b
200,pop16,c
200,pop18,a
200,pop18,b
200,pop18,c
200,pop19,a
200,pop19,b
200,pop19,c
200,pop22,a
200,pop22,b
200,pop22,c
200,pop24,b
200,pop24,a
200,pop24,c
200,pop25,a
200,pop25,b
200,pop25,c
200,pop26,a
200,pop26,b
200,pop26,c
200,pop27,b
200,pop27,a
200,pop27,c
200,pop31,a
200,pop31,c
200,pop31,b
300,pop0,a
300,pop0,b
300,pop0,c
300,pop2,a
300,pop2,c
300,pop2,b
300,pop3,a
300,pop3,b
300,pop3,c
300,pop4,a
300,pop4,b
300,pop4,c
300,pop6,a
300,pop6,b
300,pop6,c
300,pop7,a
300,pop7,b
300,pop8,a
300,pop8,b
300,pop8,c
300,pop10,b
300,pop10,a
300,pop10,c
