time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,15,0,0,15,0,0,0,2.533333333333333,0,0.0,0,0,0.0,0.0
100,351,180,56,115,20.58934602357069,34.08582616292828,4.709713733018829,2.6296296296296298,5.340649692712906,17.33048433048433,21.7,14.466666666666667,0.0371206841938545,0.45100335527164714
200,676,420,127,129,23.134262203847072,37.50767273305508,4.698547677276,2.6523668639053253,5.431491294473884,21.227810650887573,25.12857142857143,15.58095238095238,0.036285842367386294,0.48641529857477706
300,993,664,205,124,22.612427038440632,39.212702624832055,4.675131763028234,2.6555891238670695,5.450048030739674,22.8539778449144,26.876506024096386,15.84789156626506,0.037576006369111715,0.502198666823052
400,1323,894,299,130,24.97018920707283,39.97412600992792,4.675645302592136,2.6591080876795163,5.461167556397451,23.970521541950113,27.590604026845636,15.734899328859061,0.03777031827776979,0.5146284371612776
500,1620,1125,374,121,25.561692940695256,40.65712952676108,4.683586726236149,2.6580246913580248,5.481086323957323,24.4179012345679,28.248,15.785777777777778,0.03724545181791402,0.5104776823836211
600,1948,1357,472,119,25.04321618791633,40.98204875675567,4.675566233358392,2.663757700205339,5.484620642515379,24.71457905544148,28.570375829034635,15.787767133382461,0.03692356856043094,0.5140868580926187
700,2304,1592,578,134,24.698538815827884,40.83512645390301,4.6698788384250625,2.669704861111111,5.474582848273186,24.493055555555557,28.405778894472363,15.6821608040201,0.03775640034230684,0.5164224144914888
800,2640,1821,697,122,25.27176893812878,41.17801922430048,4.681903388454203,2.6678030303030305,5.484391999330488,24.82310606060606,28.70840197693575,15.668863261943986,0.03803410673119719,0.5222085390208605
900,2950,2032,801,117,25.647437243368188,41.256293318266295,4.6815430552220345,2.670169491525424,5.489765426565068,24.91050847457627,28.766732283464567,15.579232283464567,0.038447270401432046,0.5221191228664249
1000,3280,2255,890,135,25.931246574081417,41.35304236496249,4.674111950752339,2.6728658536585366,5.480742273546492,25.03262195121951,28.8549889135255,15.571618625277162,0.03819175745316185,0.524857857182988
