time,node,sf
100,pop0,a
100,pop0,b
100,pop2,b
100,pop2,a
100,pop2,c
100,pop18,b
100,pop18,a
100,pop18,c
100,pop21,a
100,pop21,c
100,pop21,b
100,pop29,c
100,pop29,a
100,pop29,b
100,pop1,a
100,pop1,b
100,pop5,b
100,pop5,a
100,pop5,c
100,pop28,a
100,pop28,b
100,pop28,c
100,pop30,a
100,pop14,b
100,pop22,a
100,pop22,b
100,pop22,c
100,pop20,c
100,pop24,b
100,pop24,c
100,pop24,a
200,pop0,a
200,pop0,c
200,pop0,b
200,pop2,a
200,pop2,b
200,pop2,c
200,pop18,a
200,pop18,c
200,pop18,b
200,pop21,b
200,pop21,c
200,pop21,a
200,pop29,a
200,pop29,b
200,pop1,a
200,pop1,b
200,pop1,c
200,pop5,b
200,pop5,a
200,pop5,c
200,pop28,a
200,pop28,b
200,pop28,c
200,pop14,b
200,pop14,a
200,pop19,b
200,pop19,c
200,pop22,b
200,pop22,c
200,pop22,a
200,pop20,c
200,pop20,a
200,pop20,b
200,pop24,b
200,pop24,a
200,pop25,c
200,pop9,a
200,pop9,b
200,pop9,c
300,pop0,b
300,pop0,a
300,pop0,c
300,pop2,a
300,pop2,b
300,pop2,c
300,pop18,b
300,pop18,a
300,pop21,b
300,pop21,c
300,pop21,a
300,pop29,a
300,pop29,b
300,pop29,c
300,pop5,a
300,pop5,b
300,pop5,c
300,pop28,b
300,pop28,a
300,pop30,a
300,pop30,b
300,pop30,c
300,pop17,a
300,pop17,b
300,pop14,a
300,pop14,b
300,pop19,b
300,pop19,a
300,pop22,b
300,pop22,a
300,pop20,c
300,pop24,b
300,pop24,c
300,pop24,a
300,pop26,b
300,pop26,a
300,pop7,c
400,pop0,b
400,pop0,a
400,pop0,c
400,pop2,a
400,pop2,b
400,pop2,c
400,pop18,b
400,pop18,c
400,pop18,a
400,pop21,a
400,pop21,b
400,pop21,c
400,pop29,a
400,pop29,c
400,pop29,b
400,pop1,b
400,pop1,a
400,pop5,a
400,pop5,b
400,pop5,c
400,pop28,a
400,pop28,b
400,pop28,c
400,pop14,a
