time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.727272727272727,0,0.0,0,0,0.0,0.0
100,248,139,14,95,24.494587122256927,35.26637607332684,4.7707287735282975,2.596774193548387,6.343532684283727,18.391129032258064,22.964028776978417,16.73381294964029,0.01655950366610272,0.20253029153781774
200,481,338,39,104,15.23218311787834,38.59372815224695,4.761134546471442,2.6465696465696467,6.547309833024118,22.010395010395012,26.144970414201183,17.473372781065088,0.016398457080565455,0.2259532217139207
300,707,555,61,91,16.27365349911172,39.022867293012446,4.727870549880374,2.644978783592645,6.501163692785105,23.705799151343705,26.54774774774775,17.16936936936937,0.016126470996685356,0.23411504718661597
400,944,746,98,100,18.348189715908546,40.01468367548753,4.719337069648523,2.6546610169491527,6.5518508053122355,24.5625,27.524128686327078,17.714477211796247,0.01641682744362438,0.238883962851241
500,1185,972,126,87,19.221114883047186,39.961518382262106,4.724995435071025,2.6514767932489454,6.520104325146708,25.315611814345992,27.47119341563786,17.597736625514404,0.016438957232468018,0.24645831737876425
600,1449,1184,155,110,20.03496769883859,40.15393568552513,4.721059280979397,2.6576949620427883,6.484816384180791,25.348516218081436,27.631756756756758,17.71283783783784,0.016641344115167555,0.24803280720328227
700,1698,1414,189,95,20.9020685858718,40.8268424232119,4.714608856669221,2.658421672555948,6.5026533018867925,25.97997644287397,28.3005657708628,17.90876944837341,0.01690689057550928,0.25286790573517753
800,1966,1645,218,103,19.466355414059997,40.85528763355113,4.70928427694516,2.659206510681587,6.515556698380046,25.777212614445574,28.36048632218845,17.89240121580547,0.016933461239305014,0.2506775213896849
900,2202,1868,246,88,19.754366409369155,40.820860307926,4.70153082964107,2.6594005449591283,6.493785310734463,26.099000908265214,28.308886509635975,17.949678800856532,0.01700716855732555,0.24939522743810974
1000,2469,2081,284,104,19.316614400947458,40.85535466491651,4.700132607458269,2.6662616443904414,6.477401129943503,26.004050222762253,28.34214320038443,17.95482940893801,0.01711556406092446,0.2516456688101102
