time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,2.9,0,0.0,0,0,0.0,0.0
100,239,143,15,81,14.416259847198704,31.201390230398346,4.746935780812891,2.6276150627615062,4.737752161383285,13.757322175732218,18.6993006993007,16.46853146853147,0.016756887548392916,0.14291062693196457
200,449,341,38,70,17.76649272786842,33.40371221620843,4.692034655606778,2.661469933184855,4.83854818523154,17.220489977728285,21.005865102639298,17.970674486803517,0.016252107518336757,0.15926323664701433
300,685,527,63,95,18.701039847461,34.02703242366548,4.685592781190602,2.694890510948905,4.879891514916699,18.386861313868614,21.555977229601517,18.483870967741936,0.016855662406938667,0.16942383954647552
400,910,752,85,73,18.598653374417594,34.89072986785092,4.678282478460288,2.695604395604396,4.897891231964484,19.397802197802196,22.31648936170213,18.93882978723404,0.017017566033714595,0.17736126187301804
500,1120,949,106,65,17.983531627223755,34.59071652499549,4.691373291986457,2.68125,4.903269144648455,19.551785714285714,22.045310853530033,18.811380400421495,0.016940972570077515,0.1754149886126101
600,1347,1144,121,82,18.412574486331856,34.34167294757154,4.68205120082621,2.6792873051224944,4.90749063670412,19.455085374907203,21.81381118881119,18.67132867132867,0.017081607297739842,0.17666109646934408
700,1558,1341,140,77,18.819127552392292,34.314416186748886,4.675335031265877,2.682926829268293,4.898860170171777,19.586007702182286,21.780014914243104,18.66815809097688,0.016978240349029106,0.17607675881638513
800,1772,1539,162,71,19.106840223737922,34.394004970384294,4.675689179390638,2.6788939051918734,4.922840369024322,19.87471783295711,21.869395711500974,18.689408706952566,0.016982651734449065,0.17984980597003522
900,1994,1751,182,61,19.565587773899775,34.26223943759388,4.674861548378041,2.6810431293881645,4.915555555555556,19.9679037111334,21.74357509994289,18.644203312392918,0.01709536491916619,0.18116568248331383
1000,2218,1944,205,69,19.19639113615272,34.15530571312605,4.677774119768467,2.680793507664563,4.909722222222222,19.762849413886386,21.646604938271604,18.62037037037037,0.017109265468764543,0.17916116024703596
