time,node,sf
100,pop2,a
100,pop2,b
100,pop2,c
100,pop13,c
100,pop25,a
100,pop25,b
100,pop25,c
100,pop35,a
100,pop35,b
100,pop35,c
100,pop36,a
100,pop36,b
100,pop36,c
100,pop47,a
100,pop47,b
100,pop47,c
100,pop57,b
100,pop57,c
100,pop57,a
100,pop50,b
100,pop50,a
100,pop48,a
100,pop48,b
100,pop48,c
100,pop17,a
100,pop53,b
100,pop53,c
100,pop53,a
100,pop56,c
100,pop56,b
100,pop56,a
100,pop10,a
100,pop10,b
100,pop10,c
100,pop52,c
100,pop49,b
100,pop49,c
100,pop49,a
100,pop28,a
100,pop55,b
200,pop2,a
200,pop2,c
200,pop2,b
200,pop13,b
200,pop13,c
200,pop25,a
200,pop25,b
200,pop25,c
200,pop35,b
200,pop35,a
200,pop35,c
200,pop36,b
200,pop36,c
200,pop36,a
200,pop47,b
200,pop47,c
200,pop57,a
200,pop57,b
200,pop48,a
200,pop51,a
200,pop51,b
200,pop17,b
200,pop17,c
200,pop17,a
200,pop53,b
200,pop53,a
200,pop34,b
200,pop34,a
200,pop56,a
200,pop27,b
200,pop27,a
200,pop10,c
200,pop10,b
200,pop10,a
200,pop52,a
200,pop52,b
200,pop52,c
200,pop49,a
200,pop28,b
200,pop28,a
200,pop55,a
300,pop2,a
300,pop2,b
300,pop2,c
300,pop13,a
300,pop13,b
300,pop13,c
300,pop25,a
300,pop25,b
300,pop25,c
300,pop35,a
300,pop35,c
300,pop35,b
300,pop36,a
300,pop36,b
300,pop36,c
300,pop47,a
300,pop47,b
300,pop47,c
300,pop57,b
300,pop57,a
300,pop57,c
300,pop50,a
300,pop50,c
300,pop48,b
300,pop48,c
300,pop51,b
300,pop51,a
300,pop17,c
300,pop17,a
300,pop17,b
300,pop53,a
300,pop53,b
300,pop53,c
300,pop56,b
300,pop56,a
300,pop56,c
300,pop27,a
300,pop27,b
300,pop27,c
300,pop10,a
300,pop52,a
300,pop52,b
300,pop52,c
300,pop49,c
300,pop28,a
300,pop28,b
300,pop55,b
300,pop55,a
400,pop2,a
400,pop2,b
400,pop2,c
400,pop25,a
400,pop25,b
400,pop25,c
400,pop35,b
400,pop35,a
400,pop35,c
400,pop36,b
400,pop36,c
400,pop36,a
400,pop47,b
400,pop47,a
400,pop57,b
400,pop57,a
400,pop57,c
400,pop48,b
400,pop48,c
400,pop48,a
400,pop51,b
400,pop51,a
400,pop53,b
400,pop34,b
400,pop34,c
400,pop56,a
400,pop56,b
400,pop56,c
400,pop52,a
400,pop52,b
400,pop52,c
400,pop49,b
400,pop49,a
400,pop49,c
400,pop28,b
400,pop28,a
400,pop3,a
400,pop3,b
400,pop12,a
400,pop12,b
400,pop12,c
500,pop2,b
500,pop2,a
500,pop2,c
500,pop13,c
500,pop25,a
500,pop25,b
500,pop25,c
500,pop35,a
500,pop35,b
500,pop35,c
500,pop36,a
500,pop36,b
500,pop36,c
500,pop47,b
500,pop47,a
500,pop47,c
500,pop57,a
500,pop57,c
500,pop57,b
500,pop50,b
500,pop50,a
500,pop50,c
500,pop48,c
500,pop48,a
500,pop51,a
500,pop51,b
500,pop51,c
500,pop17,b
500,pop17,a
500,pop17,c
500,pop53,b
500,pop53,c
500,pop53,a
500,pop34,c
500,pop34,a
500,pop34,b
500,pop56,a
500,pop56,b
500,pop56,c
500,pop27,a
500,pop27,b
500,pop27,c
500,pop10,a
500,pop10,b
500,pop52,a
500,pop52,b
500,pop52,c
500,pop28,b
500,pop28,c
500,pop55,b
500,pop14,a
500,pop14,b
500,pop14,c
600,pop2,a
600,pop2,b
600,pop2,c
600,pop13,b
600,pop13,a
600,pop25,a
600,pop25,b
600,pop25,c
600,pop35,a
