time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,8,0,0,8,0,0,0,2.875,0,0.0,0,0,0.0,0.0
100,174,74,8,92,42.75004938007706,42.959314180467295,4.759387799161315,2.6206896551724137,6.078167115902965,25.919540229885058,30.216216216216218,27.756756756756758,0.009008649098080565,0.1813993533055433
200,374,215,39,120,45.87276702407689,49.94446222860248,4.77963204772729,2.625668449197861,6.181268882175226,32.8235294117647,37.53023255813954,32.479069767441864,0.010333645293269897,0.22457901100999197
300,554,357,94,103,50.569173232952814,54.68913951594138,4.73356911875897,2.6335740072202167,6.199767035527082,38.42960288808664,42.35574229691877,34.070028011204485,0.01075057812350437,0.2494045798571459
400,732,476,140,116,55.01133302280437,55.31483980935567,4.703642165773997,2.6475409836065573,6.251837849191347,40.66256830601093,42.94117647058823,34.36134453781513,0.010546912599088864,0.2533168025731322
500,910,630,171,109,55.4035232616104,57.50588523515273,4.712574049719167,2.642857142857143,6.257031377011868,42.293406593406594,45.18571428571428,35.04920634920635,0.01046916797143584,0.2562860440853307
600,1099,766,220,113,55.078960655529485,58.051187187231285,4.705678289333712,2.640582347588717,6.263565891472868,42.642402183803455,45.68798955613577,35.18798955613577,0.010509400308120967,0.2601119742907759
700,1279,894,268,117,53.986471572439136,58.56786505492844,4.706566369199182,2.6419077404222047,6.260617101218263,42.99218139171227,46.17897091722595,35.43176733780761,0.010643152007389522,0.26071564251487156
800,1462,1029,322,111,54.40874124175519,58.744231359143654,4.710280904827301,2.6443228454172365,6.298781092062233,43.475376196990425,46.32361516034985,35.59183673469388,0.010692025709176555,0.2635323422022444
900,1639,1173,357,109,54.092340555635275,58.844410533317664,4.7066510267711035,2.649176327028676,6.318357318357318,43.93166564978645,46.38022165387894,35.6078431372549,0.01070601115916859,0.2646053311027296
1000,1819,1309,398,112,53.50349389784346,58.932408306384566,4.710532286247375,2.644310060472787,6.3046081134304846,44.00054975261133,46.48281130634072,35.768525592055006,0.010717843249702572,0.2645335446266723
