time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,13,0,0,13,0,0,0,2.5384615384615383,0,0.0,0,0,0.0,0.0
100,317,206,0,111,0,34.98341149025306,4.688879498566251,2.684542586750789,5.363019508057676,19.946372239747635,22.606796116504853,20.033980582524272,0.40355105226330834,0.06285857015985796
200,612,491,0,121,0,36.724539972575954,4.662508398282373,2.676470588235294,5.475724194206446,21.929738562091504,24.30957230142566,20.020366598778004,0.3913691064626329,0.06158832644628044
300,918,801,0,117,0,37.14162935347015,4.6701276562949365,2.681917211328976,5.493865030674846,23.41176470588235,24.72409488139825,19.830212234706618,0.39830918791255265,0.06434403270702754
400,1207,1092,0,115,0,37.90906077194006,4.6848319151032225,2.663628831814416,5.520734709335353,24.154929577464788,25.484432234432234,19.81135531135531,0.39539373775186065,0.06470556508629556
500,1485,1385,0,100,0,37.848687896113155,4.680060449734814,2.6592592592592594,5.534862385321101,24.375757575757575,25.43104693140794,20.04909747292419,0.39186916932017934,0.06290842690352441
600,1764,1651,0,113,0,37.67078071519966,4.678412561777725,2.665532879818594,5.559253982644735,24.332766439909296,25.221078134463962,20.225923682616596,0.386043208011684,0.06098985953003843
700,2051,1949,0,102,0,37.52797203563087,4.670215059404845,2.666504144319844,5.553623188405797,24.288639687957094,25.10620831195485,20.38429964084146,0.38357116134893493,0.05993794218411088
800,2367,2250,0,117,0,37.42297819168418,4.6746307097481115,2.670046472327841,5.542363167446748,24.513307984790874,24.973333333333333,20.318666666666665,0.3914877632435863,0.061694812751713034
900,2661,2552,0,109,0,37.48510806058528,4.6704833446250005,2.6666666666666665,5.5382388008857095,24.438181134911687,25.052507836990596,20.218652037617556,0.39280651899961766,0.061502717307036506
1000,2946,2830,0,116,0,37.42212626079407,4.676596682613872,2.663272233536999,5.524929156774144,24.487101154107265,24.981272084805653,20.224028268551237,0.39146906721872304,0.061288611961581994
