time,node,sf
100,pop8,b
100,pop8,a
100,pop18,a
100,pop18,b
100,pop20,a
100,pop20,b
100,pop20,c
100,pop21,a
100,pop21,b
100,pop21,c
100,pop23,a
100,pop23,b
100,pop23,c
100,pop38,b
100,pop38,a
100,pop39,a
100,pop39,b
100,pop39,c
100,pop42,a
100,pop42,b
100,pop42,c
100,pop71,a
100,pop71,b
100,pop71,c
100,pop19,a
100,pop55,b
100,pop55,c
100,pop13,a
100,pop13,b
100,pop13,c
100,pop53,a
100,pop53,c
100,pop53,b
100,pop41,b
100,pop26,a
100,pop24,a
100,pop24,b
100,pop24,c
100,pop32,b
100,pop32,c
100,pop32,a
100,pop15,c
100,pop10,c
100,pop49,a
100,pop49,b
100,pop49,c
100,pop16,b
100,pop7,c
200,pop8,b
200,pop8,a
200,pop8,c
200,pop18,a
200,pop18,c
200,pop18,b
200,pop20,a
200,pop20,b
200,pop20,c
200,pop21,a
200,pop21,b
200,pop21,c
200,pop23,b
200,pop23,a
200,pop23,c
200,pop38,a
200,pop38,b
200,pop38,c
200,pop39,c
200,pop39,b
200,pop39,a
200,pop42,b
200,pop42,a
200,pop42,c
200,pop71,a
200,pop71,b
200,pop71,c
200,pop19,b
200,pop19,a
200,pop19,c
200,pop55,b
200,pop55,c
200,pop13,b
200,pop13,c
200,pop13,a
200,pop53,b
200,pop1,b
200,pop1,c
200,pop5,b
200,pop5,a
200,pop32,b
200,pop32,a
200,pop15,c
200,pop15,b
200,pop10,a
200,pop10,c
200,pop11,c
300,pop8,b
300,pop8,a
300,pop18,c
300,pop18,a
300,pop18,b
300,pop20,a
300,pop20,b
300,pop20,c
300,pop21,a
300,pop21,b
300,pop21,c
300,pop23,b
300,pop23,c
300,pop23,a
300,pop38,b
300,pop38,a
300,pop38,c
300,pop39,a
300,pop39,b
300,pop39,c
300,pop42,a
300,pop42,b
300,pop42,c
300,pop71,b
300,pop71,a
300,pop71,c
300,pop19,a
300,pop19,b
300,pop55,b
300,pop55,a
300,pop55,c
300,pop13,b
300,pop13,c
300,pop53,a
300,pop53,b
300,pop53,c
300,pop41,a
300,pop26,a
300,pop1,c
300,pop1,b
300,pop24,a
300,pop24,c
300,pop24,b
300,pop32,b
300,pop32,a
300,pop48,b
300,pop48,c
300,pop46,a
300,pop10,c
300,pop16,b
300,pop16,a
300,pop61,a
300,pop22,c
300,pop0,b
300,pop0,c
400,pop8,b
400,pop8,c
400,pop8,a
400,pop18,a
400,pop18,b
400,pop18,c
400,pop20,a
400,pop20,c
400,pop20,b
400,pop21,a
400,pop21,b
400,pop21,c
400,pop23,a
400,pop23,b
400,pop23,c
400,pop38,a
400,pop38,b
400,pop38,c
400,pop39,a
400,pop39,b
400,pop39,c
400,pop42,a
400,pop42,b
400,pop42,c
400,pop71,b
400,pop71,a
400,pop71,c
400,pop19,a
400,pop19,b
400,pop19,c
400,pop13,c
400,pop13,b
400,pop53,b
400,pop53,c
400,pop41,b
400,pop41,c
400,pop41,a
400,pop26,a
400,pop26,b
400,pop26,c
400,pop1,b
400,pop1,a
400,pop5,a
400,pop48,c
400,pop46,c
400,pop6,c
400,pop6,b
400,pop7,c
500,pop8,a
500,pop8,b
500,pop8,c
500,pop18,a
500,pop18,b
500,pop18,c
500,pop20,b
500,pop20,c
500,pop20,a
500,pop21,a
500,pop21,b
500,pop21,c
500,pop23,a
500,pop23,b
500,pop23,c
500,pop38,b
500,pop38,a
500,pop38,c
500,pop39,a
500,pop39,b
500,pop39,c
500,pop42,b
500,pop42,a
500,pop42,c
500,pop71,a
500,pop71,b
500,pop71,c
500,pop19,a
500,pop19,b
500,pop19,c
500,pop55,c
500,pop55,b
500,pop13,c
500,pop53,a
500,pop41,a
500,pop41,b
500,pop41,c
500,pop26,b
500,pop26,c
500,pop1,c
500,pop1,a
500,pop1,b
500,pop24,c
500,pop24,b
500,pop24,a
500,pop32,c
500,pop48,c
500,pop48,a
500,pop15,b
500,pop15,a
500,pop15,c
500,pop6,c
500,pop61,b
500,pop34,c
500,pop34,b
500,pop9,b
600,pop8,b
600,pop8,a
600,pop8,c
600,pop18,a
600,pop18,b
600,pop18,c
600,pop20,b
600,pop20,a
600,pop20,c
600,pop21,a
600,pop21,b
600,pop21,c
600,pop23,a
600,pop23,b
600,pop23,c
600,pop38,a
600,pop38,c
600,pop38,b
600,pop39,b
600,pop39,a
600,pop39,c
600,pop42,a
600,pop42,b
600,pop42,c
600,pop71,c
600,pop71,a
600,pop71,b
600,pop19,a
600,pop55,b
600,pop13,c
600,pop13,a
600,pop13,b
600,pop53,b
600,pop53,c
600,pop41,a
600,pop41,c
600,pop26,c
600,pop26,a
600,pop1,a
600,pop44,a
600,pop44,b
600,pop24,c
600,pop5,a
600,pop32,b
600,pop48,a
600,pop48,b
600,pop46,b
600,pop46,a
600,pop15,c
600,pop15,a
600,pop6,c
600,pop6,b
600,pop7,b
600,pop7,c
600,pop61,c
700,pop8,a
700,pop8,b
700,pop18,a
700,pop18,b
700,pop18,c
700,pop20,b
700,pop20,a
700,pop20,c
700,pop21,b
700,pop21,c
700,pop21,a
700,pop23,a
700,pop23,b
700,pop23,c
700,pop38,a
700,pop38,c
700,pop38,b
700,pop39,b
700,pop39,a
700,pop39,c
700,pop42,b
700,pop42,a
700,pop71,b
700,pop71,a
700,pop19,b
700,pop19,a
700,pop19,c
700,pop55,a
700,pop13,b
700,pop13,a
700,pop53,c
700,pop41,b
700,pop41,a
700,pop41,c
700,pop26,a
700,pop26,c
700,pop1,b
700,pop1,a
700,pop44,b
700,pop24,b
700,pop24,a
700,pop24,c
700,pop17,c
700,pop5,a
700,pop32,c
700,pop48,c
700,pop48,b
700,pop48,a
700,pop46,c
700,pop46,a
700,pop14,b
700,pop61,a
700,pop4,a
700,pop72,b
700,pop70,c
800,pop8,a
800,pop8,b
800,pop8,c
800,pop18,b
800,pop18,c
800,pop18,a
800,pop20,a
800,pop20,b
800,pop20,c
800,pop21,b
800,pop21,a
800,pop21,c
800,pop23,a
800,pop23,b
800,pop23,c
800,pop38,a
800,pop38,b
800,pop38,c
800,pop39,a
800,pop39,b
800,pop39,c
800,pop42,b
800,pop42,a
800,pop42,c
800,pop71,b
800,pop71,a
800,pop71,c
800,pop19,a
800,pop19,b
800,pop55,b
800,pop55,a
800,pop13,b
800,pop13,a
800,pop13,c
800,pop53,a
800,pop53,b
800,pop53,c
800,pop41,c
800,pop26,b
800,pop26,c
800,pop26,a
800,pop1,a
800,pop1,b
800,pop1,c
800,pop24,c
800,pop24,b
800,pop17,a
800,pop5,a
800,pop32,a
800,pop15,c
800,pop6,b
800,pop6,c
800,pop10,b
800,pop61,c
800,pop4,b
800,pop72,a
800,pop72,b
800,pop72,c
800,pop70,c
900,pop8,a
900,pop8,b
900,pop8,c
900,pop18,b
900,pop18,a
900,pop18,c
900,pop20,a
900,pop20,b
900,pop20,c
900,pop21,a
900,pop21,b
900,pop21,c
900,pop23,a
900,pop23,b
900,pop23,c
900,pop38,a
