time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,30,0,0,30,0,0,0,2.7,0,0.0,0,0,0.0,0.0
100,705,329,0,376,0,44.44888531623201,4.712732696439779,2.6609929078014183,5.627272727272727,26.340425531914892,32.212765957446805,31.434650455927052,0.3680073767476524,0.08375384932186407
200,1376,977,0,399,0,52.40928473355307,4.707568664222523,2.6555232558139537,5.826123833757421,34.94404069767442,39.992835209826,37.247697031729786,0.3863915090370603,0.09848008534850532
300,2037,1633,0,404,0,55.00024352280537,4.702697282751948,2.653902798232695,5.8678371311169215,38.55719194894453,42.58787507654623,39.30251071647275,0.39744140023044633,0.10570049181459747
400,2673,2304,0,369,0,56.31740146047078,4.705242988632783,2.6569397680508793,5.911440311418685,40.90460157126824,43.853732638888886,39.975260416666664,0.40128580467920616,0.10983679130873213
500,3338,2944,0,394,0,56.53441851021529,4.704324419886345,2.658777711204314,5.915043336479877,41.29898142600359,44.06419836956522,40.44836956521739,0.39919576359972864,0.10909192827451326
600,3992,3606,0,386,0,56.69013616400973,4.700687338609439,2.659569138276553,5.931736017579925,41.923346693386776,44.223516361619524,40.755684969495285,0.3989841353319852,0.10928650634165221
700,4645,4279,0,366,0,56.63770483752316,4.698427510760667,2.663509149623251,5.934177978883861,42.35048439181916,44.14723066136948,40.76957232998364,0.40083425644634146,0.1104804454089586
800,5280,4912,0,368,0,56.84242278842827,4.6933427737508095,2.6632575757575756,5.924655557013515,42.757386363636364,44.36156351791531,40.803542345276874,0.4009938479837882,0.11129815983397964
900,5934,5549,0,385,0,56.99173343340366,4.6916421868415705,2.6653185035389284,5.930139905494302,43.14391641388608,44.513966480446925,40.83005947017481,0.4014800417619718,0.11155340686346289
1000,6558,6186,0,372,0,57.09288840148515,4.691493337748367,2.666056724611162,5.9364106212466785,43.2612076852699,44.60733915292596,40.97736825088911,0.3997874558037814,0.11067448291556733
