time,node,sf
100,pop3,a
100,pop3,b
100,pop3,c
100,pop6,b
100,pop6,a
100,pop11,a
100,pop11,b
100,pop11,c
100,pop15,a
100,pop15,b
100,pop19,b
100,pop19,a
100,pop28,a
100,pop28,b
100,pop28,c
100,pop32,b
100,pop32,c
100,pop32,a
100,pop38,a
100,pop38,b
100,pop38,c
100,pop41,b
100,pop41,a
100,pop41,c
100,pop54,a
100,pop54,b
100,pop54,c
100,pop53,c
100,pop1,a
100,pop1,c
100,pop1,b
100,pop43,a
100,pop43,b
100,pop7,a
100,pop20,c
100,pop50,b
100,pop50,c
100,pop50,a
100,pop39,a
100,pop51,c
100,pop51,b
100,pop52,b
100,pop52,a
100,pop52,c
100,pop44,b
100,pop44,c
100,pop44,a
100,pop48,b
100,pop56,c
100,pop8,b
100,pop8,a
100,pop33,b
100,pop33,c
100,pop26,a
100,pop26,b
100,pop26,c
100,pop55,b
100,pop55,c
100,pop4,a
100,pop14,b
100,pop14,c
200,pop3,b
200,pop3,c
200,pop3,a
200,pop6,b
200,pop6,c
200,pop6,a
200,pop11,a
200,pop11,b
200,pop15,b
200,pop15,c
200,pop15,a
200,pop19,a
200,pop19,b
200,pop19,c
200,pop28,a
200,pop28,b
200,pop28,c
200,pop32,a
200,pop38,b
200,pop38,a
200,pop41,a
200,pop41,c
200,pop41,b
200,pop54,a
200,pop54,b
200,pop54,c
200,pop53,c
200,pop53,a
200,pop1,b
200,pop43,a
200,pop43,b
200,pop7,b
200,pop7,a
200,pop20,c
200,pop20,b
200,pop50,a
200,pop50,b
200,pop39,a
200,pop39,b
200,pop39,c
200,pop51,c
200,pop51,b
200,pop51,a
200,pop22,b
200,pop22,a
200,pop52,a
200,pop52,b
200,pop44,c
200,pop17,c
200,pop42,b
200,pop12,b
200,pop12,c
200,pop46,c
200,pop57,a
200,pop30,c
200,pop14,b
200,pop14,c
200,pop16,c
300,pop3,a
300,pop3,c
300,pop3,b
300,pop6,a
300,pop6,b
300,pop6,c
300,pop11,a
300,pop11,c
300,pop11,b
300,pop15,a
300,pop15,b
300,pop15,c
300,pop19,b
300,pop19,a
300,pop19,c
300,pop28,a
300,pop28,b
300,pop32,a
300,pop32,b
300,pop32,c
300,pop38,a
300,pop38,b
300,pop38,c
300,pop41,a
300,pop41,c
300,pop41,b
300,pop54,a
300,pop54,b
300,pop54,c
300,pop53,b
300,pop53,a
300,pop53,c
300,pop1,b
300,pop1,a
300,pop43,b
300,pop43,c
300,pop7,a
300,pop7,b
300,pop20,a
300,pop20,c
300,pop50,b
300,pop50,a
300,pop39,a
300,pop51,c
300,pop51,b
300,pop51,a
300,pop52,b
300,pop52,c
300,pop52,a
300,pop44,a
300,pop44,b
300,pop46,b
300,pop46,c
300,pop10,b
300,pop47,b
300,pop56,c
300,pop36,a
300,pop55,c
300,pop34,b
400,pop3,a
400,pop3,c
400,pop3,b
400,pop6,a
400,pop6,b
400,pop6,c
400,pop11,a
400,pop11,b
400,pop11,c
400,pop15,b
400,pop15,a
400,pop15,c
400,pop19,b
400,pop19,a
400,pop19,c
400,pop28,b
400,pop28,c
400,pop28,a
400,pop32,b
400,pop32,a
400,pop32,c
400,pop38,b
400,pop38,a
400,pop38,c
400,pop41,b
400,pop41,a
400,pop41,c
400,pop54,a
400,pop53,b
400,pop53,a
400,pop1,a
400,pop1,b
400,pop43,a
400,pop20,a
