time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,2.7,0,0.0,0,0,0.0,0.0
100,218,120,0,98,0,35.69768565395059,4.7186497654993955,2.665137614678899,6.554828150572831,18.371559633027523,23.416666666666668,17.908333333333335,0.25218520609824996,0.03570665113871631
200,415,324,0,91,0,41.40994810361282,4.762746419603297,2.6506024096385543,6.883431565160445,25.327710843373495,28.90740740740741,19.935185185185187,0.275968578401463,0.04439789569351258
300,622,524,0,98,0,41.955765396736986,4.749812867042933,2.662379421221865,7.017514595496247,27.05466237942122,29.366412213740457,20.290076335877863,0.27352688278044557,0.044193136634737014
400,843,742,0,101,0,41.53757138608346,4.739795184107842,2.663107947805457,6.974304068522484,27.045077105575327,28.951482479784367,20.121293800539082,0.2808234868579622,0.04529213638373133
500,1069,954,0,115,0,42.37390018345579,4.7253024407314905,2.6679139382600563,6.971202972596378,28.08044901777362,29.81236897274633,20.39727463312369,0.28647089961833766,0.04859253158306911
600,1289,1191,0,98,0,43.31236133528984,4.726180863280115,2.6602017067494184,6.9358052019922525,29.16912335143522,30.74895046179681,20.680100755667507,0.2954570403525286,0.05113645095779087
700,1519,1414,0,105,0,43.16278335081731,4.7249500466242385,2.6603028308097434,7.001253918495298,29.40618828176432,30.628712871287128,20.81258840169731,0.2975907215118812,0.050928560187451656
800,1735,1645,0,90,0,43.20815153965534,4.723766261280084,2.6576368876080694,6.970986984815618,29.635734870317002,30.665045592705166,20.964741641337387,0.2950701895441579,0.05045848581884691
900,1946,1853,0,93,0,43.15104640952243,4.715976445073654,2.6598150051387464,6.991568296795953,29.827338129496404,30.626011872638962,20.852671343766865,0.29475463229732973,0.05028029461689839
1000,2150,2060,0,90,0,42.95797856924803,4.708977420820386,2.65953488372093,7.0074585938356915,29.71488372093023,30.43980582524272,20.751941747572815,0.29246606126090624,0.04964047613201009
