time,node,sf
100,pop8,a
100,pop22,b
100,pop22,a
100,pop23,b
100,pop23,c
100,pop23,a
100,pop14,a
100,pop14,b
100,pop14,c
100,pop25,a
100,pop25,b
100,pop25,c
100,pop19,b
100,pop5,a
100,pop28,c
100,pop15,a
100,pop9,b
100,pop9,c
100,pop20,a
100,pop24,b
200,pop8,c
200,pop8,a
200,pop22,a
200,pop22,b
200,pop22,c
200,pop23,b
200,pop23,c
200,pop14,b
200,pop14,a
200,pop25,a
200,pop25,b
200,pop25,c
200,pop21,a
200,pop21,b
200,pop21,c
200,pop19,b
200,pop5,b
200,pop5,c
200,pop28,b
200,pop28,c
200,pop31,a
200,pop2,b
200,pop0,c
200,pop20,b
200,pop20,c
200,pop24,a
200,pop24,b
200,pop24,c
200,pop29,c
200,pop10,b
200,pop12,b
300,pop8,b
300,pop8,a
300,pop22,c
300,pop22,b
300,pop23,a
300,pop23,b
300,pop23,c
300,pop14,b
300,pop14,a
300,pop25,a
300,pop25,c
300,pop25,b
300,pop21,a
300,pop21,b
300,pop5,a
300,pop5,b
300,pop5,c
300,pop13,a
300,pop13,b
300,pop13,c
300,pop15,b
300,pop2,a
300,pop2,b
300,pop2,c
300,pop0,b
300,pop16,c
300,pop20,a
300,pop20,b
300,pop20,c
300,pop4,b
300,pop32,c
400,pop8,b
400,pop8,a
400,pop22,a
400,pop22,b
400,pop22,c
400,pop23,a
400,pop23,c
400,pop23,b
400,pop14,a
400,pop14,b
400,pop14,c
400,pop25,c
400,pop21,a
400,pop21,b
400,pop19,b
400,pop19,a
400,pop19,c
400,pop5,b
400,pop5,a
400,pop13,a
400,pop31,c
400,pop31,a
400,pop30,b
400,pop9,a
400,pop9,b
400,pop17,c
500,pop8,a
500,pop8,b
500,pop22,a
500,pop22,b
500,pop22,c
500,pop23,c
500,pop23,b
500,pop23,a
500,pop14,c
500,pop14,a
500,pop25,a
500,pop25,b
500,pop25,c
500,pop21,a
500,pop21,b
500,pop19,b
500,pop19,c
500,pop19,a
500,pop5,a
500,pop2,a
500,pop2,b
500,pop2,c
500,pop0,b
500,pop0,c
500,pop30,b
500,pop9,b
500,pop9,a
500,pop9,c
500,pop16,c
500,pop20,a
500,pop17,a
600,pop8,b
600,pop8,a
600,pop8,c
600,pop22,b
600,pop22,c
600,pop22,a
600,pop23,b
600,pop23,a
600,pop14,c
600,pop14,b
600,pop25,a
600,pop21,a
600,pop21,b
600,pop21,c
600,pop19,a
600,pop19,c
600,pop28,c
600,pop28,a
600,pop28,b
600,pop15,a
600,pop31,b
600,pop31,a
600,pop20,b
600,pop20,c
600,pop32,b
700,pop8,b
700,pop8,a
700,pop22,b
700,pop22,a
700,pop22,c
700,pop23,c
700,pop23,a
700,pop23,b
700,pop19,a
700,pop19,b
700,pop19,c
700,pop1,b
700,pop1,c
700,pop13,b
700,pop13,c
700,pop0,b
700,pop9,b
700,pop29,b
800,pop8,a
800,pop8,b
800,pop8,c
800,pop22,c
800,pop22,b
800,pop22,a
800,pop23,b
800,pop23,c
800,pop23,a
800,pop14,b
800,pop14,a
800,pop19,b
800,pop19,a
800,pop19,c
800,pop5,b
800,pop5,a
800,pop15,a
800,pop15,b
800,pop15,c
800,pop9,b
800,pop9,a
900,pop8,b
900,pop8,a
900,pop8,c
900,pop22,b
900,pop22,c
900,pop22,a
900,pop23,a
900,pop14,b
900,pop14,a
900,pop25,a
900,pop25,b
900,pop25,c
900,pop5,b
900,pop5,a
900,pop1,c
900,pop13,b
900,pop13,c
900,pop13,a
900,pop28,b
900,pop28,a
900,pop0,c
900,pop9,c
900,pop20,a
900,pop20,b
900,pop20,c
900,pop24,c
900,pop24,a
900,pop24,b
900,pop3,c
1000.0,pop8,b
1000.0,pop8,a
1000.0,pop22,c
1000.0,pop22,b
1000.0,pop22,a
1000.0,pop23,c
1000.0,pop23,b
1000.0,pop23,a
1000.0,pop14,a
1000.0,pop14,c
1000.0,pop14,b
1000.0,pop21,b
1000.0,pop21,c
1000.0,pop19,b
1000.0,pop19,c
1000.0,pop5,a
1000.0,pop5,b
1000.0,pop5,c
1000.0,pop1,b
1000.0,pop15,c
1000.0,pop11,a
1000.0,pop11,b
1000.0,pop2,b
1000.0,pop2,c
1000.0,pop0,a
1000.0,pop20,a
1000.0,pop20,b
1000.0,pop20,c
1000.0,pop24,a
1000.0,pop24,b
1000.0,pop24,c
1000.0,pop12,b
1000.0,pop3,a
