time,node,sf
100,pop8,a
100,pop8,b
100,pop8,c
100,pop10,b
100,pop10,a
100,pop10,c
100,pop21,a
100,pop21,b
100,pop22,a
100,pop22,b
100,pop22,c
100,pop23,a
100,pop23,b
100,pop23,c
100,pop14,a
100,pop14,b
100,pop14,c
100,pop24,b
100,pop24,c
100,pop20,c
100,pop20,a
100,pop20,b
100,pop19,b
100,pop19,c
100,pop3,b
100,pop3,c
100,pop5,b
100,pop5,c
200,pop8,b
200,pop8,a
200,pop8,c
200,pop10,b
200,pop10,c
200,pop10,a
200,pop21,a
200,pop21,b
200,pop21,c
200,pop22,a
200,pop22,b
200,pop22,c
200,pop23,b
200,pop23,a
200,pop14,c
200,pop25,b
200,pop13,a
200,pop20,b
200,pop20,a
200,pop20,c
200,pop19,a
200,pop19,b
200,pop19,c
200,pop4,b
200,pop4,c
200,pop31,b
200,pop31,c
200,pop9,b
200,pop9,c
200,pop29,a
300,pop8,a
300,pop8,b
300,pop8,c
300,pop10,b
300,pop10,c
300,pop10,a
300,pop21,a
300,pop21,b
300,pop21,c
300,pop22,a
300,pop22,c
300,pop22,b
300,pop23,a
300,pop23,b
300,pop23,c
300,pop14,a
300,pop14,b
300,pop14,c
300,pop25,b
300,pop25,c
300,pop13,a
300,pop13,c
300,pop13,b
300,pop24,c
300,pop24,b
300,pop24,a
300,pop20,c
300,pop19,b
300,pop19,a
300,pop19,c
300,pop1,b
300,pop1,c
300,pop16,a
300,pop31,a
300,pop31,b
300,pop0,c
400,pop8,a
400,pop8,b
400,pop8,c
400,pop10,b
400,pop10,a
400,pop21,a
400,pop21,b
400,pop21,c
400,pop22,b
400,pop22,a
400,pop23,a
400,pop23,b
400,pop23,c
400,pop14,c
400,pop24,a
400,pop24,c
400,pop24,b
400,pop20,b
400,pop20,c
400,pop19,b
400,pop19,a
400,pop19,c
400,pop1,c
400,pop1,b
400,pop0,b
400,pop2,b
400,pop2,c
500,pop8,a
500,pop8,c
500,pop8,b
500,pop10,b
500,pop10,a
500,pop10,c
500,pop21,a
500,pop21,b
500,pop21,c
500,pop22,b
500,pop22,a
500,pop22,c
500,pop23,b
500,pop23,c
500,pop23,a
500,pop14,b
500,pop14,c
500,pop14,a
500,pop25,a
500,pop25,b
500,pop13,b
500,pop13,c
500,pop24,c
500,pop24,b
500,pop20,b
500,pop20,c
500,pop19,b
500,pop19,c
500,pop19,a
500,pop27,c
600,pop8,a
600,pop8,b
600,pop8,c
600,pop10,a
600,pop10,b
600,pop10,c
600,pop21,b
600,pop21,c
600,pop21,a
600,pop22,b
600,pop22,a
600,pop22,c
600,pop23,b
600,pop23,a
600,pop23,c
600,pop14,b
600,pop25,c
600,pop13,c
600,pop20,b
600,pop20,a
600,pop20,c
600,pop19,a
600,pop1,c
600,pop5,b
600,pop5,a
600,pop5,c
700,pop8,a
700,pop8,c
700,pop8,b
700,pop10,a
700,pop10,b
700,pop10,c
700,pop21,a
700,pop21,b
700,pop21,c
700,pop22,b
700,pop22,c
700,pop22,a
700,pop23,b
700,pop23,a
700,pop23,c
700,pop14,b
700,pop14,c
700,pop25,b
700,pop25,c
700,pop13,c
700,pop20,c
700,pop20,b
700,pop19,a
700,pop19,b
700,pop19,c
700,pop27,c
700,pop1,a
700,pop16,c
700,pop5,b
700,pop5,a
800,pop8,a
800,pop8,b
800,pop8,c
800,pop10,b
800,pop10,a
800,pop21,a
800,pop21,b
800,pop21,c
800,pop22,b
800,pop22,a
800,pop22,c
800,pop23,b
800,pop23,a
800,pop25,a
800,pop13,b
800,pop13,c
800,pop13,a
800,pop24,c
800,pop20,b
800,pop20,c
800,pop19,b
800,pop5,a
800,pop5,b
800,pop5,c
900,pop8,a
900,pop8,b
900,pop8,c
900,pop10,a
900,pop10,b
900,pop10,c
900,pop21,b
900,pop21,a
900,pop22,c
900,pop22,a
900,pop22,b
900,pop23,a
900,pop23,c
900,pop23,b
900,pop14,c
900,pop25,b
900,pop25,a
900,pop25,c
900,pop13,c
900,pop13,a
900,pop24,c
900,pop20,a
900,pop20,b
900,pop20,c
900,pop19,b
900,pop19,a
900,pop15,c
900,pop1,c
900,pop5,b
900,pop5,c
900,pop5,a
900,pop31,a
900,pop31,b
900,pop2,c
1000.0,pop8,a
1000.0,pop8,b
1000.0,pop8,c
1000.0,pop10,a
1000.0,pop10,b
1000.0,pop10,c
1000.0,pop21,a
1000.0,pop21,b
1000.0,pop22,a
1000.0,pop22,b
1000.0,pop23,b
1000.0,pop23,a
1000.0,pop23,c
1000.0,pop14,c
1000.0,pop14,a
1000.0,pop14,b
1000.0,pop25,a
1000.0,pop13,b
1000.0,pop24,c
1000.0,pop19,c
1000.0,pop19,b
1000.0,pop1,a
1000.0,pop1,c
1000.0,pop16,c
1000.0,pop0,b
1000.0,pop12,b
1000.0,pop26,a
1000.0,pop11,c
1000.0,pop7,b
1000.0,pop6,c
