time,node,sf
100,pop6,a
100,pop6,b
100,pop11,a
100,pop11,b
100,pop11,c
100,pop15,a
100,pop15,b
100,pop15,c
100,pop28,a
100,pop28,b
100,pop30,b
100,pop30,a
100,pop35,b
100,pop35,c
100,pop35,a
100,pop36,a
100,pop36,c
100,pop36,b
100,pop50,b
100,pop50,a
100,pop50,c
100,pop51,c
100,pop51,b
100,pop51,a
100,pop52,b
100,pop52,c
100,pop52,a
100,pop1,b
100,pop1,a
100,pop1,c
100,pop53,a
100,pop53,b
100,pop10,b
100,pop10,a
100,pop48,c
100,pop55,c
100,pop55,a
100,pop33,b
100,pop33,c
100,pop3,a
100,pop56,a
100,pop56,b
100,pop56,c
100,pop4,a
100,pop7,b
100,pop7,c
100,pop0,c
100,pop42,c
100,pop17,a
100,pop12,a
100,pop43,a
100,pop43,b
100,pop31,b
100,pop37,a
100,pop29,b
100,pop9,a
100,pop32,b
100,pop46,a
100,pop46,b
100,pop57,b
100,pop57,a
100,pop23,b
100,pop22,a
100,pop22,b
200,pop6,a
200,pop6,b
200,pop6,c
200,pop11,a
200,pop11,c
200,pop11,b
200,pop15,b
200,pop15,a
200,pop15,c
200,pop28,b
200,pop28,a
200,pop28,c
200,pop30,b
200,pop30,c
200,pop35,b
200,pop35,a
200,pop36,a
200,pop36,b
200,pop36,c
200,pop50,b
200,pop50,a
200,pop50,c
200,pop51,b
200,pop51,a
200,pop52,a
200,pop52,b
200,pop1,a
200,pop1,b
200,pop1,c
200,pop53,b
200,pop53,c
200,pop10,a
200,pop10,b
200,pop48,a
200,pop48,b
200,pop48,c
200,pop55,c
200,pop55,b
200,pop56,c
200,pop34,a
200,pop34,b
200,pop34,c
200,pop7,a
200,pop17,b
200,pop17,a
200,pop47,a
200,pop47,b
200,pop47,c
200,pop12,b
200,pop12,a
200,pop12,c
200,pop43,c
200,pop43,a
200,pop16,b
200,pop16,c
200,pop31,b
200,pop31,a
200,pop13,c
200,pop40,a
200,pop40,b
200,pop40,c
200,pop54,a
200,pop19,a
200,pop19,b
200,pop19,c
200,pop9,b
200,pop9,a
200,pop32,b
200,pop32,c
200,pop25,b
200,pop46,b
200,pop23,c
200,pop41,a
200,pop45,a
300,pop6,a
300,pop6,b
300,pop6,c
300,pop11,c
300,pop11,b
300,pop11,a
300,pop15,a
300,pop15,c
300,pop15,b
300,pop28,a
300,pop28,b
300,pop28,c
300,pop30,a
300,pop30,c
300,pop30,b
300,pop35,a
300,pop35,b
300,pop35,c
300,pop36,c
300,pop36,b
300,pop36,a
300,pop50,a
300,pop50,c
300,pop50,b
300,pop51,c
300,pop51,a
300,pop51,b
300,pop52,b
300,pop52,a
300,pop52,c
300,pop1,b
300,pop1,a
300,pop53,b
300,pop53,a
300,pop53,c
300,pop10,b
300,pop10,c
300,pop48,a
300,pop55,b
300,pop55,a
300,pop3,b
300,pop56,c
300,pop56,b
300,pop56,a
300,pop4,b
300,pop4,a
300,pop34,c
300,pop34,a
300,pop7,a
300,pop7,b
300,pop7,c
300,pop0,a
300,pop0,c
300,pop17,b
300,pop43,a
300,pop43,b
300,pop43,c
300,pop13,b
300,pop13,a
300,pop8,a
300,pop37,a
300,pop40,a
300,pop54,c
300,pop54,b
300,pop26,a
300,pop26,b
300,pop26,c
300,pop29,c
300,pop29,b
300,pop32,b
300,pop25,b
300,pop46,b
300,pop57,b
300,pop23,c
300,pop22,b
300,pop22,a
300,pop44,a
300,pop44,b
300,pop44,c
300,pop27,c
300,pop49,b
300,pop41,b
300,pop2,c
400,pop6,b
400,pop6,c
400,pop6,a
400,pop11,a
400,pop11,c
400,pop11,b
400,pop15,a
400,pop15,b
400,pop15,c
400,pop28,a
400,pop28,b
400,pop28,c
400,pop30,a
400,pop30,b
400,pop35,b
400,pop35,a
400,pop35,c
400,pop36,b
400,pop36,a
400,pop36,c
400,pop50,c
400,pop50,b
400,pop50,a
400,pop51,b
400,pop51,c
400,pop51,a
400,pop52,a
400,pop52,b
400,pop52,c
400,pop1,b
400,pop1,a
400,pop53,c
400,pop53,b
400,pop10,a
400,pop10,b
400,pop10,c
400,pop55,a
400,pop5,b
400,pop3,a
400,pop4,a
400,pop34,b
400,pop34,c
400,pop7,a
400,pop0,b
400,pop0,c
400,pop17,b
400,pop17,a
400,pop47,a
400,pop43,a
400,pop43,c
400,pop43,b
400,pop31,a
400,pop31,b
400,pop31,c
400,pop8,a
400,pop8,b
400,pop37,a
400,pop54,c
400,pop29,a
400,pop29,b
400,pop32,b
400,pop25,c
400,pop57,b
400,pop57,c
400,pop22,b
400,pop22,c
400,pop20,c
400,pop44,a
400,pop2,c
400,pop39,c
500,pop6,a
500,pop6,b
500,pop6,c
500,pop11,b
500,pop11,c
500,pop11,a
500,pop15,b
500,pop15,c
500,pop15,a
500,pop28,a
500,pop28,b
500,pop28,c
500,pop30,b
500,pop30,a
500,pop30,c
500,pop35,a
500,pop35,b
500,pop35,c
500,pop36,a
500,pop36,b
500,pop36,c
500,pop50,b
500,pop50,c
500,pop50,a
500,pop51,c
500,pop51,b
500,pop51,a
500,pop52,b
500,pop52,c
500,pop52,a
500,pop1,a
500,pop1,b
500,pop1,c
500,pop53,b
500,pop53,a
500,pop10,a
500,pop10,b
500,pop48,a
500,pop48,b
500,pop48,c
500,pop33,b
500,pop33,a
500,pop5,c
500,pop3,a
500,pop3,b
500,pop3,c
500,pop56,a
500,pop34,b
500,pop42,a
500,pop42,b
500,pop17,a
500,pop17,b
500,pop17,c
500,pop47,a
500,pop47,b
500,pop47,c
500,pop43,c
500,pop43,b
500,pop16,a
500,pop16,b
500,pop16,c
500,pop31,b
500,pop31,c
500,pop31,a
500,pop40,b
500,pop40,c
500,pop54,a
500,pop26,a
500,pop29,b
500,pop29,c
500,pop9,b
500,pop9,c
500,pop32,a
500,pop46,a
500,pop22,a
500,pop44,b
500,pop44,a
500,pop41,c
600,pop6,b
600,pop6,a
600,pop11,b
600,pop11,a
600,pop11,c
600,pop15,a
600,pop15,b
600,pop15,c
600,pop28,b
600,pop28,a
600,pop28,c
600,pop30,b
600,pop30,c
600,pop30,a
600,pop35,b
600,pop35,a
600,pop35,c
600,pop36,a
600,pop36,b
600,pop36,c
600,pop50,b
600,pop50,a
600,pop50,c
600,pop51,b
600,pop51,a
600,pop51,c
600,pop52,a
600,pop52,b
600,pop52,c
600,pop1,b
600,pop53,c
600,pop53,b
600,pop10,c
600,pop10,a
600,pop10,b
600,pop48,a
600,pop48,b
600,pop48,c
600,pop55,b
600,pop55,a
600,pop33,a
600,pop5,b
600,pop5,c
600,pop5,a
600,pop56,a
600,pop56,b
600,pop4,b
600,pop34,a
600,pop34,b
600,pop34,c
600,pop7,a
600,pop7,b
600,pop42,a
600,pop17,c
600,pop12,a
600,pop12,b
600,pop43,b
600,pop16,b
600,pop31,b
600,pop31,c
600,pop31,a
600,pop13,b
600,pop13,c
600,pop8,b
600,pop8,a
600,pop40,b
600,pop54,a
600,pop54,b
600,pop54,c
600,pop26,a
600,pop26,b
600,pop26,c
600,pop32,b
600,pop32,a
600,pop25,b
600,pop22,b
600,pop44,c
600,pop27,b
600,pop27,c
600,pop41,c
700,pop6,b
700,pop6,a
700,pop11,a
700,pop11,c
700,pop11,b
700,pop15,b
700,pop15,c
700,pop28,b
700,pop28,a
700,pop28,c
700,pop30,c
700,pop30,a
700,pop30,b
700,pop35,b
700,pop35,a
700,pop35,c
700,pop36,b
700,pop36,a
700,pop36,c
700,pop50,a
700,pop50,b
700,pop50,c
700,pop51,b
700,pop51,a
700,pop51,c
700,pop52,b
700,pop52,c
700,pop52,a
700,pop1,a
700,pop1,b
700,pop53,a
700,pop53,b
700,pop53,c
700,pop10,a
700,pop10,b
700,pop10,c
700,pop48,a
700,pop48,c
700,pop48,b
700,pop55,a
700,pop55,b
700,pop55,c
700,pop3,b
700,pop56,b
700,pop14,b
700,pop14,c
700,pop4,c
700,pop34,a
700,pop34,c
700,pop34,b
700,pop7,b
700,pop7,c
700,pop0,a
700,pop0,b
700,pop42,c
700,pop17,a
700,pop17,b
700,pop17,c
700,pop47,b
700,pop43,b
700,pop43,c
700,pop43,a
700,pop31,a
700,pop13,b
700,pop8,a
700,pop37,a
700,pop37,b
700,pop40,b
700,pop40,c
700,pop26,b
700,pop29,a
700,pop29,b
700,pop29,c
700,pop9,b
700,pop9,a
700,pop32,a
700,pop32,b
700,pop25,b
700,pop25,a
700,pop25,c
700,pop46,a
700,pop23,c
700,pop22,a
700,pop44,c
700,pop27,c
700,pop24,c
800,pop6,a
800,pop6,b
800,pop11,c
800,pop11,b
800,pop15,b
800,pop15,a
800,pop28,b
800,pop28,a
800,pop28,c
800,pop30,a
800,pop30,b
800,pop30,c
800,pop35,a
800,pop35,b
800,pop35,c
800,pop36,a
800,pop36,b
800,pop36,c
800,pop50,a
800,pop50,b
800,pop50,c
800,pop51,a
800,pop51,c
800,pop51,b
800,pop52,b
800,pop52,a
800,pop52,c
800,pop1,a
800,pop1,b
800,pop53,c
800,pop53,a
800,pop10,a
800,pop48,a
800,pop48,b
800,pop55,b
800,pop55,a
800,pop33,a
800,pop33,b
800,pop33,c
800,pop5,b
800,pop3,b
800,pop3,c
800,pop56,a
800,pop4,c
800,pop34,a
800,pop34,b
800,pop34,c
800,pop7,b
800,pop7,a
800,pop0,b
800,pop0,c
800,pop42,c
800,pop42,a
800,pop17,b
800,pop17,a
800,pop17,c
800,pop47,b
800,pop47,a
800,pop12,c
800,pop43,b
800,pop43,a
800,pop16,a
800,pop16,b
800,pop16,c
800,pop31,a
800,pop13,b
800,pop13,a
800,pop8,c
800,pop37,a
800,pop40,a
800,pop54,b
800,pop54,a
800,pop26,c
800,pop29,a
800,pop32,b
800,pop32,c
800,pop46,a
800,pop44,a
800,pop44,b
900,pop6,b
900,pop6,a
900,pop11,a
900,pop11,b
900,pop11,c
900,pop15,b
900,pop15,a
900,pop28,b
900,pop28,a
900,pop28,c
900,pop30,b
900,pop30,c
900,pop35,b
900,pop35,c
900,pop36,a
900,pop36,b
900,pop50,b
900,pop50,a
900,pop50,c
900,pop51,a
900,pop52,a
900,pop52,b
900,pop52,c
900,pop1,b
900,pop1,a
900,pop53,a
900,pop53,b
900,pop53,c
900,pop10,b
900,pop48,a
900,pop48,b
900,pop48,c
900,pop55,a
900,pop55,b
900,pop55,c
900,pop3,c
900,pop3,a
900,pop3,b
900,pop34,a
900,pop34,b
900,pop34,c
900,pop7,c
900,pop0,a
900,pop42,b
900,pop42,a
900,pop17,b
900,pop12,c
900,pop43,b
900,pop43,c
900,pop43,a
900,pop31,c
900,pop31,a
900,pop13,a
900,pop13,b
900,pop8,c
900,pop8,a
900,pop8,b
900,pop40,a
900,pop54,a
900,pop26,c
900,pop22,a
900,pop22,b
900,pop44,a
900,pop41,b
900,pop18,a
900,pop39,b
1000.0,pop6,a
1000.0,pop6,b
1000.0,pop6,c
1000.0,pop11,b
1000.0,pop11,a
1000.0,pop15,a
1000.0,pop15,b
1000.0,pop15,c
1000.0,pop28,b
1000.0,pop28,c
