time,node,sf
100,pop2,c
100,pop2,a
100,pop2,b
100,pop8,b
100,pop8,c
100,pop8,a
100,pop13,b
100,pop13,c
100,pop14,b
100,pop14,c
100,pop14,a
100,pop24,a
100,pop24,b
100,pop24,c
100,pop42,b
100,pop42,c
100,pop42,a
100,pop53,b
100,pop53,a
100,pop53,c
100,pop5,b
100,pop5,c
100,pop3,c
100,pop46,a
100,pop26,a
100,pop26,b
100,pop26,c
100,pop32,b
100,pop32,a
100,pop19,b
100,pop19,c
100,pop41,a
100,pop48,c
100,pop18,b
100,pop18,c
100,pop23,a
100,pop23,b
100,pop17,a
100,pop17,b
100,pop17,c
100,pop0,a
100,pop0,b
100,pop0,c
100,pop55,b
100,pop9,a
100,pop9,b
100,pop52,a
100,pop52,b
100,pop52,c
100,pop64,a
100,pop64,b
100,pop25,b
100,pop25,a
100,pop25,c
100,pop38,a
100,pop34,b
100,pop29,c
100,pop29,b
100,pop39,b
100,pop39,a
100,pop22,b
100,pop20,b
100,pop21,a
200,pop2,b
200,pop2,a
200,pop8,b
200,pop8,a
200,pop8,c
200,pop13,c
200,pop13,b
200,pop13,a
200,pop14,b
200,pop14,c
200,pop24,a
200,pop24,b
200,pop24,c
200,pop42,b
200,pop42,c
200,pop42,a
200,pop53,c
200,pop53,b
200,pop53,a
200,pop5,a
200,pop3,c
200,pop3,b
200,pop3,a
200,pop46,b
200,pop46,a
200,pop26,a
200,pop26,b
200,pop26,c
200,pop19,a
200,pop19,b
200,pop19,c
200,pop41,a
200,pop41,b
200,pop41,c
200,pop48,a
200,pop48,b
200,pop48,c
200,pop18,c
200,pop23,b
200,pop15,a
200,pop15,b
200,pop17,b
200,pop17,c
200,pop0,a
200,pop61,a
200,pop55,a
200,pop9,a
200,pop9,b
200,pop9,c
200,pop64,a
200,pop64,b
200,pop25,c
200,pop25,b
200,pop25,a
200,pop38,b
200,pop38,a
200,pop27,b
200,pop22,b
200,pop10,a
200,pop1,c
200,pop33,c
200,pop43,c
200,pop51,a
300,pop2,c
300,pop2,a
300,pop8,b
300,pop8,c
300,pop8,a
300,pop13,a
300,pop13,b
300,pop13,c
300,pop14,b
300,pop14,c
300,pop14,a
300,pop24,b
300,pop24,c
300,pop24,a
300,pop42,a
300,pop42,b
300,pop42,c
300,pop53,a
300,pop53,b
300,pop53,c
300,pop5,a
300,pop5,b
300,pop5,c
300,pop3,b
300,pop3,a
300,pop3,c
300,pop46,c
300,pop46,a
300,pop46,b
300,pop26,c
300,pop26,b
300,pop26,a
300,pop32,c
300,pop32,a
300,pop41,a
300,pop48,a
300,pop48,b
300,pop15,b
300,pop66,b
300,pop66,c
300,pop17,a
300,pop0,a
300,pop61,a
300,pop55,a
300,pop55,b
300,pop25,b
300,pop25,a
300,pop38,a
300,pop72,c
300,pop39,c
300,pop22,b
300,pop22,c
300,pop10,c
300,pop67,c
300,pop45,b
300,pop45,c
300,pop60,c
300,pop71,c
400,pop2,a
400,pop2,b
400,pop2,c
400,pop8,a
400,pop13,c
400,pop13,b
400,pop13,a
400,pop14,b
400,pop14,a
400,pop14,c
400,pop24,a
400,pop24,b
400,pop42,a
400,pop42,b
400,pop42,c
400,pop53,b
400,pop53,c
400,pop53,a
400,pop5,a
400,pop5,b
400,pop5,c
400,pop3,b
400,pop3,c
400,pop46,a
400,pop46,b
400,pop46,c
400,pop26,b
400,pop26,a
400,pop26,c
400,pop32,c
400,pop32,a
400,pop19,a
400,pop19,b
400,pop41,b
400,pop41,a
400,pop48,a
400,pop18,a
400,pop18,b
400,pop17,a
400,pop17,b
400,pop17,c
400,pop61,a
400,pop61,b
400,pop64,a
400,pop64,b
400,pop64,c
400,pop25,a
400,pop25,b
400,pop25,c
400,pop38,b
400,pop34,c
400,pop44,c
400,pop22,b
400,pop40,c
400,pop40,a
400,pop40,b
400,pop33,c
400,pop43,b
400,pop43,c
500,pop2,b
500,pop2,a
500,pop8,a
500,pop8,b
500,pop8,c
500,pop13,b
500,pop13,a
500,pop14,b
500,pop14,c
500,pop14,a
500,pop24,b
500,pop24,c
500,pop24,a
500,pop42,b
500,pop42,c
500,pop42,a
500,pop53,c
500,pop53,b
500,pop53,a
500,pop5,a
500,pop5,b
500,pop5,c
500,pop3,c
500,pop46,b
500,pop26,b
500,pop26,a
500,pop32,a
500,pop32,b
500,pop32,c
500,pop19,a
500,pop19,b
500,pop19,c
500,pop41,a
500,pop48,b
500,pop48,c
500,pop15,b
500,pop15,a
500,pop15,c
500,pop17,a
500,pop0,a
500,pop0,b
500,pop61,c
500,pop55,a
500,pop9,b
500,pop9,c
500,pop9,a
500,pop64,a
500,pop64,b
500,pop64,c
500,pop25,a
500,pop25,b
500,pop38,b
500,pop44,b
500,pop29,c
500,pop39,b
500,pop39,a
500,pop21,c
500,pop1,c
500,pop67,b
500,pop51,c
500,pop7,a
600,pop2,b
600,pop8,a
600,pop8,b
600,pop8,c
600,pop13,b
600,pop13,a
600,pop13,c
600,pop14,b
600,pop14,c
600,pop14,a
600,pop24,a
600,pop24,b
600,pop24,c
600,pop42,b
600,pop42,a
600,pop42,c
600,pop53,b
600,pop53,a
600,pop53,c
600,pop5,b
600,pop5,a
600,pop3,a
600,pop3,b
600,pop3,c
600,pop46,a
600,pop46,b
600,pop46,c
600,pop32,c
600,pop32,b
600,pop19,a
600,pop19,b
600,pop19,c
600,pop41,b
600,pop41,c
600,pop48,a
600,pop48,b
600,pop48,c
600,pop15,a
600,pop15,b
600,pop66,b
600,pop66,a
600,pop66,c
600,pop17,a
600,pop17,b
600,pop17,c
600,pop0,b
600,pop0,c
600,pop61,a
600,pop55,a
600,pop55,b
600,pop55,c
600,pop16,b
600,pop52,b
600,pop52,a
600,pop25,a
600,pop25,b
600,pop27,a
600,pop27,b
600,pop27,c
600,pop72,c
600,pop29,a
600,pop29,b
600,pop59,b
600,pop10,b
700,pop2,b
700,pop2,a
700,pop2,c
700,pop8,b
700,pop8,c
700,pop8,a
700,pop13,b
700,pop13,a
700,pop13,c
700,pop14,b
700,pop14,c
700,pop14,a
700,pop24,a
700,pop24,c
700,pop24,b
700,pop42,b
700,pop42,a
700,pop53,a
700,pop53,b
700,pop53,c
700,pop5,a
700,pop5,b
700,pop3,c
700,pop3,a
700,pop46,b
700,pop46,a
700,pop26,c
700,pop26,a
700,pop26,b
700,pop32,c
700,pop32,b
700,pop32,a
700,pop19,b
700,pop41,a
700,pop41,b
700,pop41,c
700,pop48,a
700,pop48,b
700,pop48,c
700,pop18,a
700,pop23,b
700,pop15,c
700,pop66,a
700,pop17,a
700,pop17,c
700,pop0,a
700,pop9,c
700,pop9,b
700,pop16,b
700,pop64,a
700,pop25,a
700,pop27,c
700,pop27,a
700,pop29,b
700,pop29,a
700,pop59,c
800,pop2,b
800,pop2,c
800,pop2,a
800,pop8,a
800,pop8,b
800,pop13,a
800,pop13,b
800,pop13,c
800,pop14,a
800,pop14,b
800,pop14,c
800,pop24,c
800,pop24,a
800,pop24,b
800,pop42,c
800,pop42,a
800,pop42,b
800,pop53,a
800,pop53,b
800,pop5,a
800,pop3,b
800,pop3,c
800,pop46,c
800,pop46,b
800,pop26,a
