time,node,node_capacity,used_resources
0,pop0,10,0
0,pop1,10,0
0,pop2,10,0
0,pop3,10,0
0,pop4,0,0
0,pop5,10,0
0,pop6,0,0
0,pop7,10,0
0,pop8,50,0
0,pop9,0,0
0,pop10,10,0
0,pop11,10,0
0,pop12,10,0
0,pop13,50,0
0,pop14,0,0
0,pop15,0,0
0,pop16,0,0
0,pop17,10,0
0,pop18,10,0
0,pop19,10,0
0,pop20,50,0
0,pop21,10,0
0,pop22,0,0
0,pop23,10,0
0,pop24,0,0
0,pop25,10,0
0,pop26,0,0
0,pop27,50,0
0,pop28,10,0
0,pop29,0,0
0,pop30,0,0
0,pop31,10,0
0,pop32,0,0
0,pop33,10,0
0,pop34,0,0
0,pop35,10,0
0,pop36,10,0
0,pop37,10,0
0,pop38,50,0
0,pop39,10,0
0,pop40,0,0
0,pop41,0,0
0,pop42,10,0
0,pop43,0,0
0,pop44,10,0
0,pop45,10,0
0,pop46,0,0
0,pop47,0,0
0,pop48,0,0
0,pop49,0,0
0,pop50,10,0
0,pop51,0,0
0,pop52,50,0
0,pop53,0,0
0,pop54,0,0
0,pop55,0,0
0,pop56,10,0
0,pop57,0,0
0,pop58,0,0
0,pop59,0,0
0,pop60,0,0
0,pop61,0,0
0,pop62,10,0
0,pop63,0,0
0,pop64,0,0
0,pop65,0,0
0,pop66,10,0
0,pop67,0,0
0,pop68,10,0
0,pop69,0,0
0,pop70,50,0
0,pop71,0,0
0,pop72,50,0
100,pop0,10,0
100,pop1,10,0
100,pop2,10,0.0
100,pop3,10,0.0
100,pop4,0,0
100,pop5,10,4.0
100,pop6,0,0
100,pop7,10,8.0
100,pop8,50,28.0
100,pop9,0,0
100,pop10,10,0.0
100,pop11,10,0
100,pop12,10,3.0
100,pop13,50,11.0
100,pop14,0,0
100,pop15,0,0
100,pop16,0,0
100,pop17,10,0.0
100,pop18,10,4.0
100,pop19,10,8.0
100,pop20,50,44.0
100,pop21,10,2.0
100,pop22,0,0
100,pop23,10,7.0
100,pop24,0,0
100,pop25,10,0
100,pop26,0,0
100,pop27,50,43.0
100,pop28,10,0
100,pop29,0,0
100,pop30,0,0
100,pop31,10,0
100,pop32,0,0
100,pop33,10,4.0
100,pop34,0,0
100,pop35,10,0
100,pop36,10,0
100,pop37,10,3.0
100,pop38,50,14.0
100,pop39,10,0
100,pop40,0,0
100,pop41,0,0
100,pop42,10,5.0
100,pop43,0,0
100,pop44,10,0.0
100,pop45,10,4.0
100,pop46,0,0
100,pop47,0,0
100,pop48,0,0
100,pop49,0,0
100,pop50,10,0
100,pop51,0,0
100,pop52,50,42.0
100,pop53,0,0
100,pop54,0,0
100,pop55,0,0
100,pop56,10,0
100,pop57,0,0
100,pop58,0,0
100,pop59,0,0
100,pop60,0,0
100,pop61,0,0
100,pop62,10,0
100,pop63,0,0
100,pop64,0,0
100,pop65,0,0
100,pop66,10,0.0
100,pop67,0,0
100,pop68,10,0
100,pop69,0,0
100,pop70,50,36.0
100,pop71,0,0
100,pop72,50,39.0
200,pop0,10,0
200,pop1,10,0.0
200,pop2,10,0.0
200,pop3,10,0.0
200,pop4,0,0
200,pop5,10,0.0
200,pop6,0,0
200,pop7,10,8.0
200,pop8,50,18.0
200,pop9,0,0
200,pop10,10,0.0
200,pop11,10,0
200,pop12,10,6.0
200,pop13,50,17.0
200,pop14,0,0
200,pop15,0,0
200,pop16,0,0
200,pop17,10,0.0
200,pop18,10,0.0
200,pop19,10,1.0
200,pop20,50,32.0
200,pop21,10,0.0
200,pop22,0,0
200,pop23,10,3.0
200,pop24,0,0
200,pop25,10,0
200,pop26,0,0
200,pop27,50,38.0
200,pop28,10,0
200,pop29,0,0
200,pop30,0,0
200,pop31,10,0
200,pop32,0,0
200,pop33,10,0.0
200,pop34,0,0
200,pop35,10,0.0
200,pop36,10,0.0
200,pop37,10,2.0
200,pop38,50,14.0
200,pop39,10,0
200,pop40,0,0
200,pop41,0,0
200,pop42,10,5.0
200,pop43,0,0
200,pop44,10,0.0
200,pop45,10,5.0
200,pop46,0,0
200,pop47,0,0
200,pop48,0,0
200,pop49,0,0
200,pop50,10,0
200,pop51,0,0
200,pop52,50,17.0
200,pop53,0,0
200,pop54,0,0
200,pop55,0,0
200,pop56,10,0
200,pop57,0,0
200,pop58,0,0
200,pop59,0,0
200,pop60,0,0
200,pop61,0,0
200,pop62,10,0
200,pop63,0,0
200,pop64,0,0
200,pop65,0,0
200,pop66,10,0.0
200,pop67,0,0
200,pop68,10,0
200,pop69,0,0
200,pop70,50,12.0
200,pop71,0,0
200,pop72,50,25.0
300,pop0,10,0
300,pop1,10,0.0
300,pop2,10,0.0
300,pop3,10,0.0
300,pop4,0,0
300,pop5,10,4.0
300,pop6,0,0
300,pop7,10,0.0
300,pop8,50,4.0
300,pop9,0,0
300,pop10,10,0.0
300,pop11,10,0
300,pop12,10,2.0
300,pop13,50,9.0
300,pop14,0,0
300,pop15,0,0
300,pop16,0,0
300,pop17,10,2.0
300,pop18,10,1.0
300,pop19,10,0.0
300,pop20,50,22.0
300,pop21,10,6.0
300,pop22,0,0
300,pop23,10,2.0
300,pop24,0,0
300,pop25,10,0
300,pop26,0,0
300,pop27,50,35.0
300,pop28,10,0
300,pop29,0,0
300,pop30,0,0
300,pop31,10,0
300,pop32,0,0
300,pop33,10,2.0
300,pop34,0,0
300,pop35,10,0.0
300,pop36,10,0.0
300,pop37,10,0.0
300,pop38,50,18.0
300,pop39,10,0.0
300,pop40,0,0
300,pop41,0,0
300,pop42,10,10.0
300,pop43,0,0
300,pop44,10,0.0
300,pop45,10,2.0
300,pop46,0,0
300,pop47,0,0
300,pop48,0,0
300,pop49,0,0
300,pop50,10,0
300,pop51,0,0
300,pop52,50,48.0
300,pop53,0,0
300,pop54,0,0
300,pop55,0,0
300,pop56,10,0
300,pop57,0,0
300,pop58,0,0
300,pop59,0,0
300,pop60,0,0
300,pop61,0,0
300,pop62,10,0
300,pop63,0,0
300,pop64,0,0
300,pop65,0,0
300,pop66,10,0.0
300,pop67,0,0
300,pop68,10,0
300,pop69,0,0
300,pop70,50,26.0
300,pop71,0,0
300,pop72,50,10.0
400,pop0,10,0
400,pop1,10,0.0
400,pop2,10,0.0
400,pop3,10,0.0
400,pop4,0,0
400,pop5,10,4.0
400,pop6,0,0
400,pop7,10,4.0
400,pop8,50,2.0
400,pop9,0,0
400,pop10,10,0.0
400,pop11,10,0
400,pop12,10,0.0
400,pop13,50,21.0
400,pop14,0,0
400,pop15,0,0
400,pop16,0,0
400,pop17,10,8.0
400,pop18,10,4.0
400,pop19,10,1.0
400,pop20,50,24.0
400,pop21,10,4.0
400,pop22,0,0
400,pop23,10,8.0
400,pop24,0,0
400,pop25,10,0
400,pop26,0,0
400,pop27,50,20.0
400,pop28,10,0
400,pop29,0,0
400,pop30,0,0
400,pop31,10,0
400,pop32,0,0
400,pop33,10,5.0
400,pop34,0,0
400,pop35,10,0.0
400,pop36,10,0.0
400,pop37,10,0.0
400,pop38,50,24.0
400,pop39,10,0.0
400,pop40,0,0
400,pop41,0,0
400,pop42,10,6.0
400,pop43,0,0
400,pop44,10,0.0
400,pop45,10,5.0
400,pop46,0,0
400,pop47,0,0
400,pop48,0,0
400,pop49,0,0
400,pop50,10,0
400,pop51,0,0
400,pop52,50,34.0
400,pop53,0,0
400,pop54,0,0
400,pop55,0,0
400,pop56,10,0
400,pop57,0,0
400,pop58,0,0
400,pop59,0,0
400,pop60,0,0
400,pop61,0,0
400,pop62,10,0
400,pop63,0,0
400,pop64,0,0
400,pop65,0,0
400,pop66,10,1.0
400,pop67,0,0
400,pop68,10,0
400,pop69,0,0
400,pop70,50,9.0
400,pop71,0,0
400,pop72,50,10.0
500,pop0,10,0
500,pop1,10,0.0
500,pop2,10,0.0
500,pop3,10,0.0
500,pop4,0,0
500,pop5,10,0.0
500,pop6,0,0
500,pop7,10,0.0
500,pop8,50,20.0
500,pop9,0,0
500,pop10,10,0.0
500,pop11,10,0
500,pop12,10,5.0
500,pop13,50,45.0
500,pop14,0,0
500,pop15,0,0
500,pop16,0,0
500,pop17,10,0.0
500,pop18,10,2.0
500,pop19,10,0.0
500,pop20,50,36.0
500,pop21,10,1.0
500,pop22,0,0
500,pop23,10,8.0
500,pop24,0,0
500,pop25,10,0
500,pop26,0,0
500,pop27,50,22.0
500,pop28,10,0
500,pop29,0,0
500,pop30,0,0
500,pop31,10,0
500,pop32,0,0
500,pop33,10,8.0
500,pop34,0,0
500,pop35,10,0.0
500,pop36,10,0.0
500,pop37,10,4.0
500,pop38,50,16.0
500,pop39,10,0.0
500,pop40,0,0
500,pop41,0,0
500,pop42,10,8.0
500,pop43,0,0
500,pop44,10,0.0
500,pop45,10,5.0
500,pop46,0,0
500,pop47,0,0
500,pop48,0,0
500,pop49,0,0
500,pop50,10,0
500,pop51,0,0
500,pop52,50,16.0
500,pop53,0,0
500,pop54,0,0
500,pop55,0,0
500,pop56,10,0
500,pop57,0,0
500,pop58,0,0
500,pop59,0,0
500,pop60,0,0
500,pop61,0,0
500,pop62,10,0
500,pop63,0,0
500,pop64,0,0
500,pop65,0,0
500,pop66,10,0.0
500,pop67,0,0
500,pop68,10,0
500,pop69,0,0
500,pop70,50,22.0
500,pop71,0,0
500,pop72,50,23.0
600,pop0,10,0
600,pop1,10,0.0
600,pop2,10,0.0
600,pop3,10,0.0
600,pop4,0,0
600,pop5,10,2.0
600,pop6,0,0
600,pop7,10,0.0
600,pop8,50,11.0
600,pop9,0,0
600,pop10,10,0.0
600,pop11,10,0.0
600,pop12,10,3.0
600,pop13,50,14.0
600,pop14,0,0
600,pop15,0,0
600,pop16,0,0
600,pop17,10,4.0
600,pop18,10,6.0
600,pop19,10,2.0
600,pop20,50,41.0
600,pop21,10,6.0
600,pop22,0,0
600,pop23,10,10.0
600,pop24,0,0
600,pop25,10,0
600,pop26,0,0
600,pop27,50,32.0
600,pop28,10,0.0
600,pop29,0,0
600,pop30,0,0
600,pop31,10,0
600,pop32,0,0
600,pop33,10,1.0
600,pop34,0,0
600,pop35,10,0.0
600,pop36,10,0.0
600,pop37,10,2.0
600,pop38,50,10.0
600,pop39,10,0.0
600,pop40,0,0
600,pop41,0,0
