time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,14,0,0,14,0,0,0,2.642857142857143,0,0.0,0,0,0.0,0.0
100,307,101,63,143,34.701198713931326,40.79859505398659,4.9747300495195415,2.6416938110749184,4.9402539208364455,21.547231270358306,28.00990099009901,26.485148514851485,0.037429762613800766,0.269176855181431
200,632,269,203,160,37.89186400425877,50.09945784125483,4.94178193094308,2.6582278481012658,5.202373887240356,27.740506329113924,36.985130111524164,28.936802973977695,0.039473537123846804,0.3173677674761661
300,955,444,352,159,37.81869580204306,50.862699764232424,4.948273480860529,2.6534031413612564,5.284277198211624,29.702617801047122,37.806306306306304,28.89189189189189,0.04015431533246656,0.3312400816141452
400,1270,629,482,159,38.20335397889507,52.45189166264016,4.952400419780956,2.6559055118110235,5.3086005635314635,31.153543307086615,39.25914149443561,29.271860095389506,0.04080348783303524,0.34172423427513626
500,1585,807,631,147,39.32289709547388,52.3884643774958,4.959170831233758,2.6548895899053626,5.312650413309616,32.03343848580442,39.22304832713755,29.09913258983891,0.04077496026566391,0.34850000171628254
600,1895,985,765,145,39.31014289391213,52.61975026731803,4.963449853331081,2.6527704485488126,5.327877370745648,32.46490765171504,39.47208121827411,29.240609137055838,0.040322980537039574,0.3448362335570838
700,2199,1161,874,164,39.61818294113353,53.05833978070447,4.97039590829133,2.6534788540245566,5.3215514087083795,33.06912232833106,39.92248062015504,29.613264427217917,0.04003650696604127,0.3449236259087678
800,2522,1355,1016,151,39.7553212279396,53.4938208459469,4.9665055645939855,2.656225218080888,5.321946300264717,33.480570975416335,40.361623616236166,29.79409594095941,0.039862762648037536,0.34682591738310076
900,2816,1524,1140,152,39.74630677449661,54.09143574813054,4.974468558202142,2.657315340909091,5.330678843904884,33.99254261363637,40.949475065616795,30.0242782152231,0.0396690825525892,0.34649494338639564
1000,3122,1702,1260,160,39.92815985113344,54.262575484454,4.980306600079531,2.66111467008328,5.3378013404021205,34.184497117232546,41.07579318448884,29.99882491186839,0.039736129696098646,0.3473007306084272
