time,node,sf
100,pop29,b
100,pop29,a
100,pop29,c
100,pop37,b
100,pop37,c
100,pop37,a
100,pop37,d
100,pop37,e
100,pop45,a
100,pop45,e
100,pop45,b
100,pop45,c
100,pop45,d
100,pop7,a
100,pop7,b
100,pop7,c
100,pop7,d
100,pop7,e
100,pop30,d
100,pop30,a
100,pop30,e
100,pop52,a
100,pop52,c
100,pop52,d
100,pop52,b
100,pop52,e
100,pop23,a
100,pop23,b
100,pop23,d
100,pop23,c
100,pop56,c
100,pop56,a
100,pop56,b
100,pop56,d
100,pop56,e
100,pop41,d
100,pop41,a
100,pop41,e
100,pop41,b
100,pop41,c
100,pop16,c
100,pop20,e
100,pop20,d
100,pop10,b
100,pop10,e
100,pop10,c
100,pop10,a
100,pop40,e
100,pop28,c
100,pop28,b
100,pop31,b
100,pop31,e
100,pop26,c
100,pop11,a
100,pop19,c
200,pop29,d
200,pop29,e
200,pop29,a
200,pop29,b
200,pop37,d
200,pop37,a
200,pop37,b
200,pop37,e
200,pop45,a
200,pop45,b
200,pop45,d
200,pop45,c
200,pop45,e
200,pop7,a
200,pop7,b
200,pop7,d
200,pop7,e
200,pop7,c
200,pop30,e
200,pop52,b
200,pop52,d
200,pop52,a
200,pop52,c
200,pop52,e
200,pop23,a
200,pop23,c
200,pop23,b
200,pop56,b
200,pop56,a
200,pop56,c
200,pop56,d
200,pop56,e
200,pop41,a
200,pop41,c
200,pop41,e
200,pop27,a
200,pop27,b
200,pop27,c
200,pop20,a
200,pop20,b
200,pop20,c
200,pop10,a
200,pop10,b
200,pop40,c
200,pop40,b
200,pop43,b
200,pop43,a
200,pop43,c
200,pop14,b
200,pop31,e
200,pop31,b
200,pop31,a
200,pop31,d
200,pop31,c
200,pop26,e
200,pop19,c
200,pop19,b
200,pop19,a
200,pop32,a
200,pop32,b
200,pop32,c
200,pop0,b
200,pop0,c
200,pop15,c
200,pop3,e
300,pop29,b
300,pop29,a
300,pop29,d
300,pop29,c
300,pop37,b
300,pop37,a
300,pop37,d
300,pop37,c
300,pop37,e
300,pop45,b
300,pop45,c
300,pop45,d
300,pop45,a
300,pop7,b
300,pop7,a
300,pop7,c
300,pop7,e
300,pop52,a
300,pop52,c
300,pop52,e
300,pop52,d
300,pop52,b
300,pop23,a
300,pop23,c
300,pop23,b
300,pop56,a
300,pop56,b
300,pop56,c
300,pop41,c
300,pop41,b
300,pop41,a
300,pop27,c
300,pop27,a
300,pop27,d
300,pop27,b
300,pop16,d
300,pop16,e
300,pop16,a
300,pop16,b
300,pop16,c
300,pop20,d
300,pop20,b
300,pop20,e
300,pop10,d
300,pop10,e
300,pop10,a
300,pop10,c
300,pop40,b
300,pop40,c
300,pop55,a
300,pop55,e
300,pop55,b
300,pop55,c
300,pop31,c
300,pop31,a
300,pop39,a
300,pop39,c
300,pop0,b
300,pop0,a
300,pop13,d
300,pop13,e
300,pop15,b
300,pop15,c
400,pop29,b
400,pop29,c
400,pop29,e
400,pop29,d
400,pop29,a
400,pop37,d
400,pop37,c
400,pop37,e
400,pop37,b
400,pop37,a
400,pop45,b
400,pop45,a
400,pop45,c
400,pop45,d
400,pop45,e
400,pop7,a
400,pop7,b
400,pop7,c
400,pop30,c
400,pop30,b
400,pop30,a
400,pop52,a
400,pop52,b
400,pop52,c
400,pop52,e
400,pop52,d
400,pop23,b
400,pop23,a
400,pop23,c
400,pop56,c
400,pop56,b
400,pop56,e
400,pop56,a
400,pop56,d
400,pop41,c
400,pop41,d
400,pop41,b
400,pop41,e
400,pop41,a
400,pop27,b
400,pop27,c
400,pop27,a
400,pop16,c
400,pop16,d
400,pop16,e
400,pop20,d
400,pop20,e
400,pop20,b
400,pop10,a
400,pop10,b
400,pop10,c
400,pop10,d
400,pop40,d
400,pop40,c
400,pop43,e
400,pop28,a
400,pop28,c
400,pop28,b
400,pop55,b
400,pop55,a
400,pop55,c
400,pop55,d
400,pop55,e
400,pop14,c
400,pop31,e
400,pop26,e
400,pop11,a
400,pop11,c
400,pop11,b
400,pop19,a
400,pop19,b
400,pop19,c
400,pop32,d
400,pop32,e
400,pop47,b
400,pop47,c
400,pop39,c
400,pop0,c
400,pop0,b
400,pop18,d
400,pop18,b
400,pop18,e
400,pop18,c
500,pop29,b
500,pop29,a
500,pop29,c
500,pop37,a
500,pop37,d
500,pop37,b
500,pop37,c
500,pop45,d
500,pop45,c
500,pop45,b
500,pop45,e
500,pop45,a
500,pop7,a
500,pop7,b
500,pop7,e
500,pop7,d
500,pop30,a
500,pop30,c
500,pop30,b
500,pop30,e
500,pop52,b
500,pop52,a
500,pop52,c
500,pop52,d
500,pop52,e
500,pop56,a
500,pop56,b
500,pop56,c
500,pop56,d
500,pop56,e
500,pop41,a
500,pop41,b
500,pop41,c
500,pop27,d
500,pop27,e
500,pop27,b
500,pop27,a
500,pop16,a
500,pop16,b
500,pop20,e
500,pop20,c
500,pop20,b
500,pop20,d
500,pop10,b
500,pop10,c
500,pop10,a
500,pop40,c
500,pop40,b
500,pop40,a
500,pop28,a
500,pop28,d
500,pop55,c
500,pop55,a
500,pop14,a
500,pop14,b
500,pop31,c
500,pop31,a
500,pop26,d
500,pop26,e
500,pop11,c
500,pop11,a
500,pop11,b
500,pop47,e
500,pop47,d
500,pop39,a
500,pop39,b
500,pop39,c
500,pop0,a
500,pop13,e
500,pop3,c
600,pop29,b
600,pop29,d
600,pop29,e
600,pop29,a
600,pop29,c
600,pop37,a
600,pop37,c
600,pop37,b
600,pop45,a
600,pop45,b
600,pop45,e
600,pop45,c
600,pop7,b
600,pop7,a
600,pop7,c
600,pop30,b
600,pop30,a
600,pop30,c
600,pop52,b
600,pop52,c
600,pop52,a
600,pop52,e
600,pop52,d
600,pop23,b
600,pop23,d
600,pop23,e
600,pop56,c
600,pop56,a
600,pop56,b
600,pop56,e
600,pop41,b
600,pop41,c
600,pop41,a
600,pop27,c
600,pop27,a
600,pop27,d
600,pop16,a
600,pop16,c
600,pop16,e
600,pop20,a
600,pop20,b
600,pop20,e
600,pop10,a
600,pop10,b
600,pop10,e
600,pop10,d
600,pop40,a
600,pop40,c
600,pop43,c
600,pop28,b
600,pop28,d
600,pop28,c
600,pop28,e
600,pop55,c
600,pop31,a
600,pop31,b
600,pop31,d
600,pop31,e
600,pop26,e
600,pop11,c
600,pop19,c
600,pop47,d
600,pop47,e
600,pop47,a
700,pop29,e
700,pop29,a
700,pop29,b
700,pop29,c
700,pop29,d
700,pop37,c
700,pop37,e
700,pop37,a
700,pop37,b
700,pop45,a
700,pop45,b
700,pop45,c
700,pop7,a
700,pop7,b
700,pop7,c
700,pop30,b
700,pop30,a
700,pop30,c
700,pop52,a
700,pop52,d
700,pop52,e
700,pop52,b
700,pop23,b
700,pop23,c
700,pop23,d
700,pop23,a
700,pop56,c
700,pop56,a
700,pop56,b
700,pop56,d
700,pop41,c
700,pop41,b
700,pop41,e
700,pop27,b
700,pop27,d
700,pop27,a
700,pop20,a
700,pop20,e
700,pop20,b
700,pop10,e
700,pop10,d
700,pop10,c
700,pop10,a
700,pop28,a
700,pop28,b
700,pop28,c
700,pop14,b
700,pop14,c
700,pop31,b
700,pop19,a
700,pop32,a
700,pop47,c
700,pop47,e
700,pop0,b
700,pop18,c
800,pop29,d
800,pop29,e
800,pop29,b
800,pop37,e
800,pop37,b
800,pop37,a
