time,node,sf
100,pop39,a
100,pop39,b
100,pop39,c
100,pop7,c
100,pop45,b
100,pop45,c
100,pop45,a
100,pop33,a
100,pop33,b
100,pop33,c
100,pop22,b
100,pop22,a
100,pop22,c
100,pop44,a
100,pop44,b
100,pop44,c
100,pop52,a
100,pop52,c
100,pop42,b
100,pop42,d
100,pop42,a
100,pop42,e
100,pop42,c
100,pop36,a
100,pop50,b
100,pop50,a
100,pop55,a
100,pop55,c
100,pop29,a
100,pop29,b
100,pop29,c
100,pop57,c
100,pop57,b
100,pop57,a
100,pop16,c
100,pop34,b
100,pop34,c
100,pop6,b
100,pop6,a
100,pop56,b
100,pop56,d
100,pop56,a
100,pop56,c
100,pop56,e
100,pop8,c
100,pop51,b
100,pop51,d
100,pop51,a
100,pop51,c
100,pop51,e
100,pop40,d
100,pop40,b
100,pop20,b
100,pop20,d
100,pop20,a
100,pop20,c
100,pop20,e
100,pop17,e
100,pop17,d
100,pop48,d
100,pop48,b
100,pop48,e
100,pop48,a
100,pop25,d
100,pop25,e
100,pop3,b
100,pop3,a
100,pop3,c
100,pop46,d
100,pop46,e
100,pop11,a
100,pop11,b
100,pop1,a
100,pop1,b
100,pop1,c
100,pop47,d
100,pop47,e
100,pop47,b
100,pop47,a
100,pop30,a
100,pop30,b
100,pop30,c
100,pop31,c
100,pop15,e
200,pop39,c
200,pop39,d
200,pop7,d
200,pop33,d
200,pop21,a
200,pop21,b
200,pop21,c
200,pop21,d
200,pop21,e
200,pop44,c
200,pop44,a
200,pop44,d
200,pop52,b
200,pop52,a
200,pop52,c
200,pop37,b
200,pop37,a
200,pop37,c
200,pop36,b
200,pop36,a
200,pop36,c
200,pop50,a
200,pop50,b
200,pop50,c
200,pop55,b
200,pop55,c
200,pop16,a
200,pop16,b
200,pop34,b
200,pop34,a
200,pop34,c
200,pop53,a
200,pop53,b
200,pop53,c
200,pop56,d
200,pop56,b
200,pop56,a
200,pop56,e
200,pop8,a
200,pop8,d
200,pop8,b
200,pop23,a
200,pop23,c
200,pop51,a
200,pop51,b
200,pop51,c
200,pop40,d
200,pop40,e
200,pop20,a
200,pop20,c
200,pop20,d
200,pop17,c
200,pop25,a
200,pop25,b
200,pop25,c
200,pop3,a
200,pop3,b
200,pop3,c
200,pop1,b
200,pop1,a
200,pop1,c
200,pop47,b
200,pop47,a
200,pop47,c
200,pop30,d
200,pop30,e
200,pop31,a
200,pop31,c
200,pop0,b
200,pop0,a
200,pop0,c
200,pop35,a
200,pop35,b
200,pop10,a
200,pop10,c
200,pop15,a
200,pop15,d
200,pop41,c
200,pop41,a
200,pop41,b
300,pop39,b
300,pop39,c
300,pop39,a
300,pop39,d
300,pop7,a
300,pop7,b
300,pop7,c
300,pop33,c
300,pop33,d
300,pop33,e
300,pop22,b
300,pop22,a
300,pop21,e
300,pop21,a
300,pop21,b
300,pop44,c
300,pop44,d
300,pop44,e
300,pop52,d
300,pop52,e
300,pop42,a
300,pop42,b
300,pop42,c
300,pop36,d
300,pop50,c
300,pop55,e
300,pop57,d
300,pop57,e
300,pop34,a
300,pop6,e
300,pop6,b
300,pop6,a
300,pop6,c
300,pop27,b
300,pop53,b
300,pop53,c
