time,node,sf
100,pop7,a
100,pop7,b
100,pop7,c
100,pop23,e
100,pop23,c
100,pop23,a
100,pop23,b
100,pop23,d
100,pop4,a
100,pop4,b
100,pop4,c
100,pop4,e
100,pop4,d
100,pop3,e
100,pop3,a
100,pop3,b
100,pop3,c
100,pop2,b
100,pop2,c
100,pop2,a
100,pop2,d
100,pop2,e
100,pop0,a
100,pop0,d
100,pop0,e
100,pop0,b
100,pop13,b
100,pop13,a
100,pop20,b
100,pop20,c
100,pop15,b
100,pop15,a
100,pop15,c
200,pop7,d
200,pop7,e
200,pop23,b
200,pop23,a
200,pop23,e
200,pop23,c
200,pop23,d
200,pop4,b
200,pop4,c
200,pop4,d
200,pop4,a
200,pop4,e
200,pop3,e
200,pop3,b
200,pop3,a
200,pop3,c
200,pop2,b
200,pop2,a
200,pop2,c
200,pop13,a
200,pop15,c
200,pop15,d
200,pop15,e
200,pop15,a
200,pop15,b
200,pop6,e
300,pop7,d
300,pop7,a
300,pop7,b
300,pop7,e
300,pop7,c
300,pop23,d
300,pop23,e
300,pop23,b
300,pop23,a
300,pop23,c
300,pop4,a
300,pop4,c
300,pop4,b
300,pop3,c
300,pop3,b
300,pop3,d
300,pop3,a
300,pop2,a
300,pop2,c
300,pop2,d
300,pop2,b
300,pop2,e
300,pop0,e
300,pop0,a
300,pop0,d
300,pop0,c
300,pop8,a
300,pop8,b
300,pop8,c
300,pop13,b
300,pop20,d
300,pop15,a
300,pop15,b
300,pop15,c
400,pop7,c
400,pop7,d
400,pop7,a
400,pop7,e
400,pop23,c
400,pop23,b
400,pop23,a
400,pop23,d
400,pop23,e
400,pop4,b
400,pop4,a
400,pop4,c
400,pop4,d
400,pop4,e
400,pop3,c
400,pop3,b
400,pop2,b
400,pop2,a
400,pop2,d
400,pop2,c
400,pop2,e
400,pop0,c
400,pop0,b
400,pop0,a
400,pop20,c
400,pop20,a
400,pop15,d
400,pop15,e
400,pop6,b
400,pop6,c
500,pop7,a
500,pop7,b
500,pop7,c
500,pop23,a
500,pop23,b
500,pop23,e
500,pop23,c
500,pop23,d
500,pop4,c
500,pop4,b
500,pop4,a
500,pop4,d
500,pop3,c
500,pop3,d
500,pop3,b
500,pop3,e
500,pop2,c
500,pop2,d
500,pop2,b
500,pop2,e
500,pop2,a
500,pop0,a
500,pop0,c
500,pop0,b
500,pop0,d
500,pop8,b
500,pop8,e
500,pop8,c
500,pop20,b
500,pop9,c
600,pop7,b
600,pop7,c
600,pop7,d
600,pop7,e
600,pop23,b
600,pop23,a
600,pop23,d
600,pop23,c
600,pop23,e
600,pop4,b
600,pop4,e
600,pop4,c
600,pop4,a
600,pop4,d
600,pop3,c
600,pop3,b
600,pop3,a
600,pop3,d
600,pop3,e
600,pop2,a
600,pop2,b
600,pop2,c
600,pop2,d
600,pop2,e
600,pop0,c
600,pop8,c
600,pop13,a
600,pop13,b
600,pop13,c
600,pop15,d
600,pop15,e
600,pop15,b
600,pop6,e
600,pop9,b
700,pop7,c
700,pop7,a
700,pop7,d
700,pop7,b
700,pop23,a
700,pop23,b
700,pop23,d
700,pop23,e
700,pop23,c
700,pop4,e
700,pop4,b
700,pop4,a
700,pop4,d
700,pop4,c
700,pop3,d
700,pop3,b
700,pop3,e
700,pop3,c
700,pop2,b
700,pop2,a
700,pop2,c
700,pop0,d
700,pop13,b
700,pop13,c
700,pop20,a
800,pop7,b
800,pop7,a
800,pop7,d
800,pop7,c
800,pop7,e
800,pop23,b
800,pop23,a
800,pop23,c
800,pop23,d
800,pop23,e
800,pop4,e
800,pop4,b
800,pop4,c
800,pop4,a
800,pop4,d
800,pop3,b
800,pop3,a
800,pop3,c
800,pop3,d
800,pop2,b
800,pop2,d
800,pop2,a
800,pop2,e
800,pop2,c
800,pop0,a
800,pop0,c
800,pop0,b
800,pop8,e
800,pop13,a
800,pop13,c
800,pop13,b
800,pop20,b
800,pop20,c
800,pop15,b
800,pop15,a
900,pop7,c
900,pop7,e
900,pop7,d
900,pop7,a
900,pop23,e
900,pop23,a
900,pop23,b
900,pop23,c
900,pop4,a
900,pop4,b
900,pop4,c
900,pop4,d
900,pop4,e
900,pop3,b
900,pop3,c
900,pop2,b
900,pop2,e
900,pop2,d
900,pop2,a
900,pop2,c
900,pop0,a
900,pop0,e
900,pop8,a
900,pop8,c
900,pop20,c
900,pop15,d
900,pop9,c
1000.0,pop7,b
1000.0,pop7,a
1000.0,pop7,c
1000.0,pop23,b
1000.0,pop23,a
1000.0,pop23,c
1000.0,pop23,e
1000.0,pop23,d
1000.0,pop4,c
1000.0,pop4,a
1000.0,pop4,b
1000.0,pop4,d
1000.0,pop4,e
1000.0,pop3,a
1000.0,pop3,c
1000.0,pop3,b
1000.0,pop3,d
1000.0,pop3,e
1000.0,pop2,a
1000.0,pop2,b
1000.0,pop2,d
1000.0,pop2,e
1000.0,pop2,c
1000.0,pop0,a
1000.0,pop0,c
1000.0,pop0,e
1000.0,pop8,b
1000.0,pop15,b
1000.0,pop15,a
1000.0,pop15,c
1000.0,pop15,d
1000.0,pop9,a
