time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.727272727272727,0,0.0,0,0,0.0,0.0
100,269,174,0,95,0,34.27147022926666,5.010240244881548,2.691449814126394,4.096774193548387,18.88475836431227,20.902298850574713,14.683908045977011,0.41742709313264525,0.10138581843838235
200,504,414,0,90,0,36.308212813384216,4.994282271346465,2.6765873015873014,4.1248097412480975,21.50793650793651,22.92753623188406,14.753623188405797,0.42192421045289646,0.10040485906446152
300,753,659,0,94,0,36.45563489081724,5.018575182450526,2.6653386454183265,4.127180783817952,21.677290836653388,23.136570561456754,14.98937784522003,0.41979714893172465,0.09963531440366608
400,992,891,0,101,0,36.59559763477749,5.012993018456345,2.6754032258064515,4.13929784824462,22.106854838709676,23.217732884399553,14.860830527497194,0.4264909540544108,0.1001780409851485
500,1225,1137,0,88,0,36.873011911437644,4.999121952290677,2.68734693877551,4.129923574368019,22.93877551020408,23.481970096745822,14.97537379067722,0.4285523053702102,0.10264964189529213
600,1455,1364,0,91,0,37.086922998280166,4.987246638162364,2.6783505154639173,4.137858814833066,23.08384879725086,23.708944281524925,15.1341642228739,0.4295124392336366,0.102297335811648
700,1690,1595,0,95,0,37.00081571880793,4.9953718646816,2.6792899408284025,4.133869942808727,23.09585798816568,23.624451410658306,15.184326018808777,0.42443200000000453,0.1016164800000002
800,1941,1831,0,110,0,37.12121006337515,4.998866891367474,2.6713034518289542,4.127807193719189,23.295208655332303,23.75587110868378,15.139268159475696,0.42295343837708643,0.1034339765627894
900,2173,2086,0,87,0,37.40962489638558,5.001118003577683,2.6709618039576624,4.120886126384573,23.797975149562816,24.076222435282837,15.085810162991372,0.4279034029362939,0.10618681885364385
1000,2432,2326,0,106,0,37.49527705415359,5.001626012662432,2.6632401315789473,4.121531236658602,23.817434210526315,24.174548581255372,15.115649183147033,0.42892624016513214,0.10677596997154003
