time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,14,0,0,14,0,0,0,2.5714285714285716,0,0.0,0,0,0.0,0.0
100,333,184,0,149,0,36.20906577579192,5.038932456587382,2.6726726726726726,6.265188042430087,19.51051051051051,22.82608695652174,21.554347826086957,0.4040532081377158,0.12312265258215979
200,657,507,0,150,0,42.46722799926059,5.01109010284945,2.680365296803653,6.486679174484053,26.312024353120243,29.11242603550296,25.429980276134124,0.42606846262912884,0.14933689487542956
300,968,809,0,159,0,44.56019245862882,5.011318721501179,2.6632231404958677,6.571428571428571,29.272727272727273,31.196538936959207,25.977750309023484,0.436142260463456,0.1622909124213431
400,1299,1141,0,158,0,45.4802769618092,5.007692145809305,2.6551193225558123,6.60665004156276,30.591993841416475,32.17353198948291,26.279579316389132,0.44221685499380103,0.17025550757291333
500,1630,1470,0,160,0,45.79970757821242,4.988838594244347,2.658282208588957,6.603929273084479,30.933128834355827,32.56394557823129,26.34081632653061,0.44518955675022537,0.1699255533323453
600,1963,1795,1,167,4.944667807784096,45.65337002840803,4.993474558520311,2.653591441670912,6.620841855958661,31.3301069791136,32.41448467966574,26.261281337047354,0.44902138177670536,0.1725428139691063
700,2275,2130,1,144,4.944667807784096,45.95431168546327,4.995097595169767,2.6606593406593406,6.590289143480633,31.85934065934066,32.710798122065725,26.318779342723005,0.45016817528629194,0.17457608338094416
800,2571,2438,1,132,4.944667807784096,46.27898567987867,4.990388389741042,2.659665499805523,6.583465818759937,32.213146635550366,33.022149302707135,26.376127973748975,0.4464284088321735,0.17268525684801525
900,2894,2733,1,160,4.944667807784096,46.11320480727633,4.990490049087451,2.661022805805114,6.572274121086786,31.846233586731167,32.83205268935236,26.468349798755945,0.44291932306903764,0.16965267885004046
1000,3206,3038,1,167,4.944667807784096,46.09068257055573,4.988059603506681,2.6640673736743605,6.593541773449513,32.099812850904556,32.82784726793943,26.72811059907834,0.4420019442823437,0.17012332722273074
