time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,26,0,0,26,0,0,0,2.6538461538461537,0,0.0,0,0,0.0,0.0
100,622,263,145,214,26.781877405899056,32.372853733306016,4.983511323643009,2.670418006430868,5.248722316865417,14.860128617363344,19.380228136882128,15.551330798479087,0.0962218622626383,0.4225016799744102
200,1185,672,323,190,30.887365183229807,34.95543250312738,4.988047838935383,2.6751054852320677,5.4267116682738665,18.9957805907173,21.794642857142858,16.013392857142858,0.0933287892848059,0.45344677030382596
300,1731,1069,460,202,31.022979333465308,36.352246161670074,4.990175327751926,2.676487579433853,5.469744229569557,20.26112073945696,23.095416276894294,16.474275023386344,0.08969045899807984,0.454929540366131
400,2305,1469,626,210,30.496019242076482,36.998892889191154,4.9873202831038395,2.6663774403470715,5.494009216589862,20.688937093275488,23.78080326752893,16.688223281143635,0.08990882517972812,0.4533470267744625
500,2885,1849,811,225,31.142186797878498,37.02145407453565,4.991488838250125,2.6641247833622184,5.504933466099393,21.0790294627383,23.71389940508383,16.585722011898323,0.09056933855479353,0.46056784960663427
600,3483,2250,1022,211,31.662871939763072,37.468829479011895,4.999835228140619,2.6617858168245765,5.516030311862431,21.734711455641687,24.150222222222222,16.775555555555556,0.09119801583521223,0.4706736685776662
700,4050,2603,1236,211,32.14000526082698,37.75248340651808,5.000797168250736,2.663456790123457,5.530475302889096,21.97851851851852,24.4410295812524,16.875912408759124,0.09144124713090244,0.4731459525999788
800,4620,3007,1425,188,31.90990817192804,37.84027612214663,5.001252434438422,2.661255411255411,5.544667027612344,22.166666666666668,24.516794146990357,16.837046890588628,0.09173639851078415,0.4743109804529815
900,5189,3403,1583,203,31.67179228275293,37.81255072619472,5.00018035189508,2.6625554056658314,5.531482017163244,22.111004047022547,24.47810755215986,16.844548927416984,0.09120714391728196,0.47152217769643234
1000,5771,3775,1770,226,31.654665932613312,37.865618034430575,5.000058927551565,2.6655692254375323,5.532183260370162,22.11627101022353,24.5517880794702,16.847417218543047,0.0915125122171334,0.47229417189441386
