time,node,node_capacity,used_resources
0,pop0,0,0
0,pop1,0,0
0,pop2,10,0
0,pop3,0,0
0,pop4,0,0
0,pop5,0,0
0,pop6,0,0
0,pop7,10,0
0,pop8,0,0
0,pop9,0,0
0,pop10,10,0
0,pop11,10,0
0,pop12,0,0
0,pop13,10,0
0,pop14,0,0
0,pop15,10,0
0,pop16,10,0
0,pop17,0,0
0,pop18,10,0
0,pop19,0,0
0,pop20,10,0
0,pop21,0,0
0,pop22,0,0
0,pop23,0,0
0,pop24,0,0
0,pop25,10,0
0,pop26,0,0
0,pop27,0,0
0,pop28,0,0
0,pop29,0,0
0,pop30,0,0
0,pop31,0,0
0,pop32,10,0
100,pop0,0,0
100,pop1,0,0
100,pop2,10,8.0
100,pop3,0,0
100,pop4,0,0
100,pop5,0,0
100,pop6,0,0
100,pop7,10,7.0
100,pop8,0,0
100,pop9,0,0
100,pop10,10,4.0
100,pop11,10,8.0
100,pop12,0,0
100,pop13,10,3.0
100,pop14,0,0
100,pop15,10,9.0
100,pop16,10,9.0
100,pop17,0,0
100,pop18,10,8.0
100,pop19,0,0
100,pop20,10,8.0
100,pop21,0,0
100,pop22,0,0
100,pop23,0,0
100,pop24,0,0
100,pop25,10,6.0
100,pop26,0,0
100,pop27,0,0
100,pop28,0,0
100,pop29,0,0
100,pop30,0,0
100,pop31,0,0
100,pop32,10,7.0
200,pop0,0,0
200,pop1,0,0
200,pop2,10,8.0
200,pop3,0,0
200,pop4,0,0
200,pop5,0,0
200,pop6,0,0
200,pop7,10,5.0
200,pop8,0,0
200,pop9,0,0
200,pop10,10,5.0
200,pop11,10,10.0
200,pop12,0,0
200,pop13,10,8.0
200,pop14,0,0
200,pop15,10,6.0
200,pop16,10,9.0
200,pop17,0,0
200,pop18,10,4.0
200,pop19,0,0
200,pop20,10,5.0
200,pop21,0,0
200,pop22,0,0
200,pop23,0,0
200,pop24,0,0
200,pop25,10,10.0
200,pop26,0,0
200,pop27,0,0
200,pop28,0,0
200,pop29,0,0
200,pop30,0,0
200,pop31,0,0
200,pop32,10,2.0
300,pop0,0,0
300,pop1,0,0
300,pop2,10,8.0
300,pop3,0,0
300,pop4,0,0
300,pop5,0,0
300,pop6,0,0
300,pop7,10,8.0
300,pop8,0,0
300,pop9,0,0
300,pop10,10,6.0
300,pop11,10,10.0
300,pop12,0,0
300,pop13,10,8.0
300,pop14,0,0
300,pop15,10,6.0
300,pop16,10,9.0
300,pop17,0,0
300,pop18,10,10.0
300,pop19,0,0
300,pop20,10,8.0
300,pop21,0,0
300,pop22,0,0
300,pop23,0,0
300,pop24,0,0
300,pop25,10,5.0
300,pop26,0,0
300,pop27,0,0
300,pop28,0,0
300,pop29,0,0
300,pop30,0,0
300,pop31,0,0
300,pop32,10,10.0
400,pop0,0,0
400,pop1,0,0
400,pop2,10,6.0
400,pop3,0,0
400,pop4,0,0
400,pop5,0,0
400,pop6,0,0
400,pop7,10,5.0
400,pop8,0,0
400,pop9,0,0
400,pop10,10,7.0
400,pop11,10,5.0
400,pop12,0,0
400,pop13,10,5.0
400,pop14,0,0
400,pop15,10,9.0
400,pop16,10,6.0
400,pop17,0,0
400,pop18,10,5.0
400,pop19,0,0
400,pop20,10,8.0
400,pop21,0,0
400,pop22,0,0
400,pop23,0,0
400,pop24,0,0
400,pop25,10,9.0
400,pop26,0,0
400,pop27,0,0
400,pop28,0,0
400,pop29,0,0
400,pop30,0,0
400,pop31,0,0
400,pop32,10,8.0
500,pop0,0,0
500,pop1,0,0
500,pop2,10,7.0
500,pop3,0,0
500,pop4,0,0
500,pop5,0,0
500,pop6,0,0
500,pop7,10,4.0
500,pop8,0,0
500,pop9,0,0
500,pop10,10,9.0
500,pop11,10,5.0
500,pop12,0,0
500,pop13,10,8.0
500,pop14,0,0
500,pop15,10,9.0
500,pop16,10,9.0
500,pop17,0,0
500,pop18,10,4.0
500,pop19,0,0
500,pop20,10,5.0
500,pop21,0,0
500,pop22,0,0
500,pop23,0,0
500,pop24,0,0
500,pop25,10,6.0
500,pop26,0,0
500,pop27,0,0
500,pop28,0,0
500,pop29,0,0
500,pop30,0,0
500,pop31,0,0
500,pop32,10,6.0
600,pop0,0,0
600,pop1,0,0
600,pop2,10,7.0
600,pop3,0,0
600,pop4,0,0
600,pop5,0,0
600,pop6,0,0
600,pop7,10,6.0
600,pop8,0,0
600,pop9,0,0
600,pop10,10,9.0
600,pop11,10,4.0
600,pop12,0,0
600,pop13,10,8.0
600,pop14,0,0
600,pop15,10,10.0
600,pop16,10,2.0
600,pop17,0,0
600,pop18,10,3.0
600,pop19,0,0
600,pop20,10,10.0
600,pop21,0,0
600,pop22,0,0
600,pop23,0,0
600,pop24,0,0
600,pop25,10,5.0
600,pop26,0,0
600,pop27,0,0
600,pop28,0,0
600,pop29,0,0
600,pop30,0,0
600,pop31,0,0
600,pop32,10,10.0
700,pop0,0,0
700,pop1,0,0
700,pop2,10,10.0
700,pop3,0,0
700,pop4,0,0
700,pop5,0,0
700,pop6,0,0
700,pop7,10,6.0
700,pop8,0,0
700,pop9,0,0
700,pop10,10,8.0
700,pop11,10,9.0
700,pop12,0,0
700,pop13,10,2.0
700,pop14,0,0
700,pop15,10,8.0
700,pop16,10,10.0
700,pop17,0,0
700,pop18,10,3.0
700,pop19,0,0
700,pop20,10,9.0
700,pop21,0,0
700,pop22,0,0
700,pop23,0,0
700,pop24,0,0
700,pop25,10,10.0
700,pop26,0,0
700,pop27,0,0
700,pop28,0,0
700,pop29,0,0
700,pop30,0,0
700,pop31,0,0
700,pop32,10,4.0
800,pop0,0,0
800,pop1,0,0
800,pop2,10,8.0
800,pop3,0,0
800,pop4,0,0
800,pop5,0,0
800,pop6,0,0
800,pop7,10,9.0
800,pop8,0,0
800,pop9,0,0
800,pop10,10,10.0
800,pop11,10,7.0
800,pop12,0,0
800,pop13,10,9.0
800,pop14,0,0
800,pop15,10,5.0
800,pop16,10,7.0
800,pop17,0,0
800,pop18,10,5.0
800,pop19,0,0
800,pop20,10,9.0
800,pop21,0,0
800,pop22,0,0
800,pop23,0,0
800,pop24,0,0
800,pop25,10,5.0
800,pop26,0,0
800,pop27,0,0
800,pop28,0,0
800,pop29,0,0
800,pop30,0,0
800,pop31,0,0
800,pop32,10,4.0
900,pop0,0,0
900,pop1,0,0
900,pop2,10,10.0
900,pop3,0,0
900,pop4,0,0
900,pop5,0,0
900,pop6,0,0
900,pop7,10,8.0
900,pop8,0,0
900,pop9,0,0
900,pop10,10,7.0
900,pop11,10,6.0
900,pop12,0,0
900,pop13,10,8.0
900,pop14,0,0
900,pop15,10,7.0
900,pop16,10,7.0
900,pop17,0,0
900,pop18,10,5.0
900,pop19,0,0
900,pop20,10,8.0
900,pop21,0,0
900,pop22,0,0
900,pop23,0,0
900,pop24,0,0
900,pop25,10,9.0
900,pop26,0,0
900,pop27,0,0
900,pop28,0,0
900,pop29,0,0
900,pop30,0,0
900,pop31,0,0
900,pop32,10,10.0
1000.0,pop0,0,0
1000.0,pop1,0,0
1000.0,pop2,10,8.0
1000.0,pop3,0,0
1000.0,pop4,0,0
1000.0,pop5,0,0
1000.0,pop6,0,0
1000.0,pop7,10,8.0
1000.0,pop8,0,0
1000.0,pop9,0,0
1000.0,pop10,10,10.0
1000.0,pop11,10,5.0
1000.0,pop12,0,0
1000.0,pop13,10,5.0
1000.0,pop14,0,0
1000.0,pop15,10,10.0
1000.0,pop16,10,9.0
1000.0,pop17,0,0
1000.0,pop18,10,4.0
1000.0,pop19,0,0
1000.0,pop20,10,5.0
1000.0,pop21,0,0
1000.0,pop22,0,0
1000.0,pop23,0,0
1000.0,pop24,0,0
1000.0,pop25,10,9.0
1000.0,pop26,0,0
1000.0,pop27,0,0
1000.0,pop28,0,0
1000.0,pop29,0,0
1000.0,pop30,0,0
1000.0,pop31,0,0
1000.0,pop32,10,10.0
