time,node,sf
100,pop9,a
100,pop9,b
100,pop9,d
100,pop9,c
100,pop9,e
100,pop11,c
100,pop11,b
100,pop11,d
100,pop11,a
100,pop11,e
100,pop13,c
100,pop13,a
100,pop13,b
100,pop30,c
100,pop30,d
100,pop30,b
100,pop30,e
100,pop30,a
100,pop31,b
100,pop31,c
100,pop31,a
100,pop31,d
100,pop31,e
200,pop9,a
200,pop9,c
200,pop9,b
200,pop9,d
200,pop9,e
200,pop11,c
200,pop11,d
200,pop11,e
200,pop11,b
200,pop11,a
200,pop13,a
200,pop13,e
200,pop13,d
200,pop13,b
200,pop13,c
200,pop30,b
200,pop30,c
200,pop30,e
200,pop30,d
200,pop30,a
200,pop31,a
200,pop31,b
200,pop31,d
200,pop31,e
200,pop31,c
300,pop9,c
300,pop9,b
300,pop9,a
300,pop9,d
300,pop9,e
300,pop11,c
300,pop11,b
300,pop11,d
300,pop11,a
300,pop11,e
300,pop13,a
300,pop13,c
300,pop13,d
300,pop13,e
300,pop13,b
300,pop30,a
300,pop30,c
300,pop30,d
300,pop30,e
300,pop30,b
300,pop31,c
300,pop31,a
300,pop31,b
300,pop31,d
300,pop31,e
400,pop9,a
400,pop9,c
400,pop9,e
400,pop9,b
400,pop9,d
400,pop11,e
400,pop11,a
400,pop11,c
400,pop11,b
400,pop13,c
400,pop13,b
400,pop13,a
400,pop30,a
400,pop30,b
400,pop30,c
400,pop31,a
400,pop31,b
400,pop31,c
400,pop31,e
400,pop31,d
500,pop9,b
500,pop9,c
500,pop9,d
500,pop9,a
500,pop9,e
500,pop11,d
500,pop11,e
500,pop11,a
500,pop11,b
500,pop11,c
500,pop13,c
500,pop13,a
500,pop13,b
500,pop13,e
500,pop13,d
500,pop30,c
500,pop30,b
500,pop30,a
500,pop30,d
500,pop30,e
500,pop31,a
500,pop31,b
500,pop31,c
500,pop31,d
500,pop31,e
600,pop9,b
600,pop9,c
600,pop9,a
600,pop11,a
600,pop11,b
600,pop11,c
600,pop11,d
600,pop11,e
600,pop13,b
600,pop13,e
600,pop13,a
600,pop13,c
600,pop30,e
600,pop30,b
600,pop30,c
600,pop30,a
600,pop31,c
600,pop31,a
600,pop31,b
600,pop31,d
600,pop31,e
700,pop9,d
700,pop9,e
700,pop9,b
700,pop9,a
700,pop9,c
700,pop11,a
700,pop11,c
700,pop11,e
700,pop11,b
700,pop11,d
700,pop13,a
700,pop13,e
700,pop13,b
700,pop13,c
700,pop30,c
700,pop30,a
700,pop30,b
700,pop31,a
700,pop31,b
700,pop31,c
700,pop31,d
700,pop31,e
800,pop9,c
800,pop9,b
800,pop9,a
800,pop11,a
800,pop11,b
800,pop11,c
800,pop11,d
800,pop11,e
800,pop13,d
800,pop13,e
800,pop13,a
800,pop13,b
800,pop30,c
800,pop30,b
800,pop30,a
800,pop30,d
800,pop30,e
800,pop31,a
800,pop31,b
800,pop31,c
800,pop31,d
800,pop31,e
900,pop9,b
900,pop9,c
900,pop9,d
900,pop9,a
900,pop9,e
900,pop11,d
900,pop11,c
900,pop11,b
900,pop11,e
900,pop13,b
900,pop13,d
900,pop13,a
900,pop13,e
900,pop13,c
900,pop30,b
900,pop30,a
900,pop30,c
900,pop31,a
900,pop31,b
900,pop31,c
900,pop31,d
900,pop31,e
1000.0,pop9,e
1000.0,pop9,c
1000.0,pop9,d
1000.0,pop9,a
1000.0,pop9,b
1000.0,pop11,a
1000.0,pop11,b
1000.0,pop11,c
1000.0,pop11,d
1000.0,pop11,e
1000.0,pop13,d
1000.0,pop13,e
1000.0,pop13,a
1000.0,pop13,b
1000.0,pop13,c
1000.0,pop30,a
1000.0,pop30,c
1000.0,pop30,d
1000.0,pop30,e
1000.0,pop30,b
1000.0,pop31,b
1000.0,pop31,a
1000.0,pop31,c
1000.0,pop31,d
1000.0,pop31,e
