time,node,sf
100,pop9,a
100,pop9,c
100,pop9,b
100,pop11,c
100,pop11,a
100,pop11,b
100,pop13,a
100,pop13,b
100,pop13,c
100,pop30,a
100,pop31,e
100,pop31,b
100,pop31,c
100,pop31,d
100,pop32,e
100,pop32,a
100,pop32,c
100,pop32,d
100,pop29,a
100,pop29,e
100,pop29,c
100,pop29,b
100,pop8,b
100,pop22,b
100,pop22,c
100,pop4,a
100,pop4,b
100,pop4,c
100,pop12,d
100,pop12,a
100,pop12,b
100,pop12,e
100,pop12,c
100,pop16,b
100,pop16,c
100,pop10,c
100,pop10,b
100,pop21,d
100,pop28,b
100,pop28,a
100,pop28,c
100,pop5,c
200,pop9,d
200,pop9,e
200,pop11,a
200,pop11,b
200,pop11,c
200,pop30,c
200,pop30,a
200,pop30,b
200,pop31,e
200,pop31,d
200,pop32,b
200,pop32,d
200,pop32,a
200,pop29,d
200,pop29,a
200,pop29,e
200,pop8,d
200,pop8,b
200,pop8,e
200,pop8,a
200,pop8,c
200,pop22,d
200,pop22,b
200,pop22,e
200,pop22,a
200,pop22,c
200,pop19,b
200,pop4,d
200,pop4,e
200,pop16,e
200,pop16,a
200,pop16,c
200,pop16,b
200,pop10,a
200,pop10,d
200,pop10,b
200,pop28,b
200,pop28,a
200,pop28,c
200,pop5,b
200,pop5,c
300,pop9,c
300,pop9,e
300,pop9,a
300,pop9,d
300,pop9,b
300,pop11,b
300,pop11,a
300,pop11,c
300,pop32,a
300,pop32,c
300,pop29,b
300,pop29,a
300,pop29,c
300,pop22,b
300,pop22,c
300,pop22,a
300,pop19,a
300,pop19,c
300,pop19,d
300,pop19,e
300,pop12,e
300,pop12,b
300,pop12,c
300,pop10,a
300,pop10,b
300,pop10,c
300,pop21,a
300,pop21,d
300,pop21,b
300,pop21,e
300,pop28,b
300,pop28,a
300,pop28,c
300,pop28,d
300,pop28,e
300,pop5,c
300,pop0,c
400,pop9,c
400,pop9,d
400,pop9,e
400,pop11,a
400,pop11,b
400,pop11,c
400,pop30,c
400,pop31,c
400,pop31,b
400,pop31,a
400,pop32,c
400,pop32,b
400,pop32,a
400,pop29,c
400,pop29,d
400,pop29,e
400,pop22,a
400,pop22,b
400,pop22,c
400,pop19,b
400,pop19,a
400,pop12,b
400,pop12,c
400,pop16,d
400,pop16,a
400,pop16,e
400,pop16,b
400,pop16,c
400,pop10,a
400,pop10,b
400,pop21,a
400,pop21,b
400,pop21,c
400,pop28,d
400,pop28,b
400,pop28,e
400,pop28,a
400,pop5,b
400,pop5,a
400,pop5,c
400,pop24,b
400,pop24,a
400,pop24,c
400,pop14,b
400,pop14,a
500,pop9,e
500,pop9,c
500,pop9,d
500,pop11,b
500,pop11,c
500,pop30,b
500,pop30,a
500,pop31,b
500,pop31,a
500,pop31,c
500,pop32,c
500,pop32,b
500,pop32,a
500,pop29,b
500,pop29,d
500,pop29,a
500,pop29,e
500,pop29,c
500,pop8,b
500,pop8,a
500,pop22,d
500,pop22,e
500,pop4,d
500,pop12,a
500,pop12,b
500,pop16,c
500,pop16,b
500,pop10,a
500,pop10,b
500,pop10,c
500,pop21,a
500,pop21,b
500,pop21,c
500,pop5,c
600,pop9,a
600,pop9,c
600,pop9,b
600,pop9,d
600,pop9,e
600,pop11,a
600,pop11,c
600,pop11,b
600,pop30,a
600,pop30,b
600,pop30,c
600,pop31,a
600,pop31,b
600,pop31,c
600,pop32,c
600,pop32,d
600,pop32,e
600,pop32,a
600,pop29,d
600,pop29,e
600,pop8,c
600,pop8,b
600,pop8,d
600,pop22,b
600,pop22,a
600,pop22,c
600,pop4,b
600,pop4,a
600,pop4,c
600,pop16,b
600,pop16,a
600,pop16,c
600,pop10,c
600,pop21,c
600,pop28,d
600,pop28,e
600,pop5,b
600,pop5,a
600,pop5,c
600,pop24,b
600,pop24,d
600,pop24,a
600,pop24,e
600,pop24,c
700,pop9,e
700,pop9,b
700,pop9,a
700,pop9,c
700,pop11,a
700,pop11,b
700,pop11,c
700,pop30,d
700,pop30,e
700,pop30,a
700,pop31,b
700,pop31,d
700,pop31,c
700,pop31,e
700,pop32,c
700,pop32,d
700,pop32,b
700,pop29,a
700,pop29,b
700,pop29,c
700,pop8,b
700,pop8,a
700,pop8,c
700,pop22,c
700,pop19,e
700,pop19,c
700,pop4,b
700,pop4,a
700,pop4,c
700,pop16,a
700,pop16,b
700,pop16,c
700,pop10,c
700,pop10,e
700,pop10,a
700,pop10,b
700,pop21,d
700,pop21,e
700,pop28,a
700,pop28,c
700,pop5,c
700,pop24,b
700,pop14,b
700,pop14,a
700,pop14,c
800,pop9,b
800,pop9,a
800,pop9,c
800,pop11,b
800,pop11,a
800,pop11,c
800,pop30,d
800,pop30,a
800,pop30,e
800,pop30,b
800,pop30,c
800,pop31,b
800,pop31,a
800,pop32,d
800,pop32,e
800,pop29,b
800,pop29,a
800,pop8,a
800,pop8,c
800,pop22,d
800,pop22,e
800,pop22,a
800,pop22,b
800,pop19,c
800,pop4,a
800,pop4,c
800,pop12,c
800,pop12,d
