time,node,sf
100,pop0,c
100,pop0,e
100,pop0,d
100,pop0,b
100,pop0,a
100,pop2,a
100,pop2,c
100,pop2,b
100,pop2,d
100,pop5,e
100,pop5,a
100,pop5,c
100,pop5,d
100,pop8,b
100,pop8,a
100,pop8,d
100,pop8,c
100,pop11,d
100,pop11,c
100,pop11,a
100,pop11,b
100,pop14,a
100,pop14,c
100,pop14,d
100,pop21,a
100,pop21,c
100,pop21,d
100,pop21,e
100,pop21,b
100,pop26,b
100,pop26,c
100,pop26,a
100,pop26,d
100,pop26,e
100,pop13,c
100,pop13,b
100,pop13,d
100,pop13,e
100,pop13,a
100,pop20,c
100,pop20,a
100,pop20,b
100,pop12,c
100,pop7,b
100,pop22,e
100,pop3,d
100,pop3,e
100,pop3,b
200,pop0,b
200,pop0,a
200,pop0,c
200,pop0,e
200,pop0,d
200,pop2,b
200,pop2,d
200,pop2,e
200,pop2,c
200,pop2,a
200,pop5,b
200,pop5,c
200,pop5,e
200,pop5,a
200,pop8,d
200,pop8,e
200,pop8,a
200,pop8,b
200,pop8,c
200,pop11,b
200,pop11,a
200,pop11,c
200,pop11,d
200,pop14,a
200,pop14,b
200,pop14,c
200,pop21,c
200,pop21,b
200,pop21,d
200,pop21,e
200,pop21,a
200,pop26,c
200,pop26,b
200,pop26,a
200,pop13,a
200,pop13,c
200,pop13,d
200,pop13,e
200,pop13,b
200,pop20,e
200,pop20,c
200,pop20,b
200,pop20,a
200,pop12,c
200,pop12,d
200,pop22,b
200,pop22,a
200,pop22,e
200,pop3,e
300,pop0,e
300,pop0,a
300,pop0,b
300,pop0,c
300,pop2,a
300,pop2,c
300,pop2,b
300,pop5,b
300,pop5,d
300,pop5,c
300,pop5,e
300,pop5,a
300,pop8,c
300,pop8,a
300,pop8,d
300,pop8,b
300,pop8,e
300,pop11,b
300,pop11,a
300,pop11,c
300,pop11,e
300,pop11,d
300,pop14,c
300,pop14,a
300,pop14,b
300,pop21,a
300,pop21,b
300,pop21,c
300,pop21,d
300,pop21,e
300,pop26,d
300,pop26,e
300,pop26,b
300,pop13,a
300,pop13,b
300,pop13,e
300,pop13,d
300,pop13,c
300,pop20,b
300,pop20,a
300,pop20,c
300,pop22,c
300,pop22,b
300,pop3,c
300,pop3,e
300,pop3,b
300,pop17,b
300,pop17,c
400,pop0,b
400,pop0,c
400,pop0,d
400,pop0,a
400,pop0,e
400,pop2,d
400,pop2,b
400,pop2,c
400,pop2,a
400,pop5,d
400,pop5,e
400,pop5,b
400,pop5,c
400,pop5,a
400,pop8,d
400,pop8,b
400,pop8,e
400,pop8,a
400,pop11,a
400,pop11,c
400,pop11,b
400,pop11,d
400,pop11,e
400,pop14,e
400,pop14,a
400,pop14,b
400,pop14,d
400,pop21,c
400,pop21,a
400,pop21,b
400,pop21,d
400,pop21,e
400,pop26,b
400,pop26,a
400,pop26,c
400,pop26,e
400,pop13,e
400,pop13,d
400,pop13,b
400,pop13,c
400,pop13,a
400,pop20,b
400,pop20,c
400,pop20,e
400,pop20,a
400,pop12,b
400,pop24,c
400,pop7,d
400,pop7,e
400,pop22,e
400,pop22,c
400,pop22,a
400,pop3,e
400,pop3,c
400,pop31,b
500,pop0,b
500,pop0,a
500,pop0,e
500,pop0,c
500,pop2,a
500,pop2,b
500,pop2,d
500,pop2,e
500,pop2,c
500,pop5,a
500,pop5,b
500,pop5,c
500,pop5,e
500,pop5,d
500,pop8,d
500,pop8,b
500,pop8,a
500,pop8,c
500,pop8,e
500,pop11,a
500,pop11,d
500,pop11,e
500,pop11,c
500,pop11,b
500,pop14,a
500,pop14,b
500,pop14,c
500,pop21,c
500,pop21,d
500,pop21,e
500,pop21,b
500,pop21,a
500,pop26,a
500,pop26,c
500,pop26,d
500,pop26,e
500,pop13,d
500,pop13,c
500,pop13,b
500,pop13,a
500,pop13,e
500,pop20,c
500,pop20,d
500,pop20,b
500,pop20,e
500,pop20,a
500,pop12,a
500,pop24,b
500,pop24,c
500,pop7,b
500,pop7,c
500,pop3,b
500,pop17,c
500,pop31,c
600,pop0,b
600,pop0,c
600,pop0,a
600,pop2,e
600,pop2,a
600,pop2,b
600,pop2,d
600,pop5,a
600,pop5,c
600,pop5,d
600,pop5,e
600,pop5,b
600,pop8,a
600,pop8,b
600,pop8,c
600,pop8,d
600,pop11,b
600,pop11,c
600,pop11,d
600,pop11,e
600,pop14,a
600,pop14,b
600,pop14,c
600,pop21,b
600,pop21,a
600,pop21,c
600,pop26,b
600,pop26,a
600,pop26,c
600,pop26,d
600,pop26,e
600,pop13,b
600,pop13,a
600,pop13,c
600,pop20,a
600,pop20,c
600,pop20,d
600,pop20,b
600,pop12,e
600,pop12,d
600,pop12,b
600,pop24,c
600,pop22,c
600,pop22,d
600,pop22,e
600,pop22,b
600,pop3,c
600,pop3,b
600,pop17,c
600,pop31,a
600,pop31,c
700,pop0,a
700,pop0,b
700,pop0,d
700,pop0,c
700,pop2,c
700,pop2,e
700,pop2,a
700,pop2,b
700,pop5,c
700,pop5,e
700,pop5,d
700,pop5,b
700,pop8,b
700,pop8,a
700,pop8,c
700,pop11,a
700,pop11,d
700,pop11,e
700,pop11,c
700,pop11,b
700,pop14,b
700,pop14,c
700,pop14,a
700,pop21,a
700,pop21,b
700,pop21,c
700,pop26,b
700,pop26,a
700,pop26,c
700,pop13,b
700,pop13,c
700,pop13,a
700,pop13,d
700,pop20,b
700,pop20,a
700,pop20,c
700,pop12,c
700,pop12,a
700,pop24,e
700,pop22,a
700,pop22,c
700,pop3,a
700,pop3,c
700,pop3,e
800,pop0,b
800,pop0,a
800,pop0,c
800,pop2,b
800,pop2,a
800,pop2,c
800,pop5,c
800,pop5,d
800,pop5,b
800,pop5,a
800,pop5,e
800,pop8,c
800,pop8,b
800,pop8,e
800,pop8,d
800,pop8,a
800,pop11,c
800,pop11,b
800,pop11,a
800,pop11,d
800,pop14,b
800,pop14,a
800,pop14,d
800,pop14,c
800,pop14,e
800,pop21,b
800,pop21,c
800,pop21,d
800,pop21,a
800,pop21,e
800,pop26,a
800,pop26,c
800,pop26,d
800,pop26,e
800,pop13,b
800,pop13,c
800,pop13,a
800,pop20,b
800,pop20,a
800,pop20,c
800,pop7,e
800,pop3,b
800,pop3,a
900,pop0,a
900,pop0,b
900,pop0,d
900,pop2,b
900,pop2,e
900,pop2,a
900,pop2,c
900,pop5,a
900,pop5,e
900,pop5,c
900,pop5,b
900,pop5,d
900,pop8,b
900,pop8,a
900,pop8,c
900,pop11,b
900,pop11,d
900,pop11,e
900,pop11,c
900,pop14,c
900,pop14,b
900,pop14,e
900,pop14,d
900,pop14,a
900,pop21,b
900,pop21,c
900,pop21,a
900,pop21,e
900,pop21,d
900,pop26,b
900,pop26,c
900,pop26,d
900,pop26,e
900,pop13,b
900,pop13,d
900,pop13,e
