time,node,sf
100,pop6,a
100,pop6,b
100,pop6,c
100,pop6,d
100,pop8,d
100,pop8,e
100,pop8,a
100,pop8,b
100,pop8,c
100,pop10,b
100,pop10,d
100,pop10,c
100,pop10,e
100,pop30,c
100,pop30,a
100,pop30,b
100,pop30,d
100,pop30,e
100,pop40,b
100,pop40,c
100,pop40,a
100,pop40,d
100,pop44,a
100,pop44,d
100,pop44,c
100,pop44,e
100,pop44,b
100,pop45,a
100,pop45,c
100,pop45,e
100,pop45,b
100,pop54,b
100,pop54,c
100,pop54,a
100,pop54,d
200,pop6,d
200,pop6,e
200,pop6,a
200,pop6,b
200,pop6,c
200,pop8,a
200,pop8,b
200,pop8,e
200,pop8,c
200,pop8,d
200,pop10,b
200,pop10,e
200,pop10,a
200,pop10,c
200,pop30,a
200,pop30,b
200,pop30,c
200,pop30,d
200,pop40,a
200,pop40,d
200,pop40,e
200,pop40,b
200,pop40,c
200,pop44,a
200,pop44,b
200,pop44,c
200,pop44,e
200,pop45,b
200,pop45,a
200,pop45,c
200,pop45,d
200,pop45,e
200,pop54,a
200,pop54,b
200,pop54,c
200,pop54,d
300,pop6,d
300,pop6,e
300,pop6,c
300,pop6,a
300,pop6,b
300,pop8,b
300,pop8,d
300,pop8,e
300,pop8,a
300,pop8,c
300,pop10,d
300,pop10,e
300,pop10,b
300,pop10,a
300,pop10,c
300,pop30,a
300,pop30,d
300,pop30,b
300,pop30,c
300,pop30,e
300,pop40,b
300,pop40,a
300,pop40,c
300,pop40,d
300,pop40,e
300,pop44,a
300,pop44,b
300,pop44,c
300,pop44,d
300,pop45,a
300,pop45,b
300,pop45,c
300,pop45,d
300,pop45,e
300,pop54,b
300,pop54,a
300,pop54,c
400,pop6,c
400,pop6,b
400,pop6,d
400,pop6,a
400,pop6,e
400,pop8,b
400,pop8,c
400,pop8,d
400,pop8,a
400,pop8,e
400,pop10,a
400,pop10,c
400,pop10,b
400,pop10,d
400,pop10,e
400,pop30,d
400,pop30,e
400,pop30,a
400,pop30,b
400,pop40,a
400,pop40,c
400,pop40,d
400,pop40,b
400,pop40,e
400,pop44,a
400,pop44,d
400,pop44,c
400,pop44,b
400,pop44,e
400,pop45,c
400,pop45,b
400,pop45,a
400,pop54,a
400,pop54,c
400,pop54,d
400,pop54,b
400,pop54,e
500,pop6,b
500,pop6,a
500,pop6,c
500,pop6,d
500,pop6,e
500,pop8,b
500,pop8,a
500,pop8,c
500,pop8,d
500,pop8,e
500,pop10,b
500,pop10,a
500,pop10,c
500,pop30,b
500,pop30,c
500,pop30,e
500,pop30,a
500,pop40,b
500,pop40,a
500,pop40,d
500,pop40,e
500,pop40,c
500,pop44,d
500,pop44,e
500,pop44,b
500,pop44,a
500,pop45,c
500,pop45,b
500,pop45,a
500,pop45,d
500,pop45,e
500,pop54,a
500,pop54,b
500,pop54,c
500,pop54,d
500,pop54,e
600,pop6,b
600,pop6,a
600,pop6,c
600,pop6,d
600,pop8,c
600,pop8,b
600,pop8,a
600,pop8,d
600,pop8,e
600,pop10,b
600,pop10,c
600,pop10,a
600,pop10,d
600,pop10,e
600,pop30,c
600,pop30,d
600,pop30,e
600,pop30,a
600,pop30,b
600,pop40,b
600,pop40,a
600,pop40,c
600,pop44,a
600,pop44,b
600,pop44,e
600,pop44,c
600,pop45,b
600,pop45,a
600,pop45,c
600,pop45,e
600,pop45,d
600,pop54,c
600,pop54,a
600,pop54,d
600,pop54,e
600,pop54,b
700,pop6,b
700,pop6,c
700,pop6,a
700,pop6,d
700,pop6,e
700,pop8,c
700,pop8,a
700,pop8,b
700,pop8,d
700,pop10,c
700,pop10,b
700,pop10,d
700,pop10,e
700,pop10,a
700,pop30,a
700,pop30,b
700,pop30,c
700,pop40,b
700,pop40,c
700,pop40,a
700,pop40,d
700,pop40,e
700,pop44,c
700,pop44,b
700,pop44,d
700,pop44,a
700,pop44,e
700,pop45,b
700,pop45,d
700,pop45,e
700,pop45,a
700,pop45,c
700,pop54,b
700,pop54,c
700,pop54,a
800,pop6,a
800,pop6,e
800,pop6,b
800,pop6,c
800,pop6,d
800,pop8,b
800,pop8,a
800,pop8,d
800,pop8,e
800,pop8,c
800,pop10,c
800,pop10,d
800,pop10,e
800,pop10,a
800,pop10,b
800,pop30,d
800,pop30,e
800,pop30,b
800,pop30,c
800,pop30,a
800,pop40,a
800,pop40,c
800,pop40,d
800,pop40,e
800,pop40,b
800,pop44,c
800,pop44,b
800,pop44,a
800,pop45,c
800,pop45,b
800,pop45,a
800,pop54,a
800,pop54,c
800,pop54,b
900,pop6,a
900,pop6,b
900,pop6,d
900,pop6,e
900,pop6,c
900,pop8,d
900,pop8,e
900,pop8,b
900,pop8,c
900,pop8,a
900,pop10,a
900,pop10,b
900,pop10,c
900,pop10,d
900,pop10,e
900,pop30,b
900,pop30,a
900,pop30,c
900,pop30,d
900,pop30,e
900,pop40,c
900,pop40,a
900,pop40,b
900,pop44,b
900,pop44,c
900,pop44,d
900,pop44,e
900,pop45,b
900,pop45,a
900,pop45,e
900,pop45,c
900,pop45,d
900,pop54,a
900,pop54,b
900,pop54,d
900,pop54,e
900,pop54,c
1000.0,pop6,a
1000.0,pop6,c
1000.0,pop6,d
1000.0,pop6,b
1000.0,pop6,e
1000.0,pop8,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop8,e
1000.0,pop8,d
1000.0,pop10,c
1000.0,pop10,b
1000.0,pop10,a
1000.0,pop10,d
1000.0,pop10,e
1000.0,pop30,c
1000.0,pop30,b
1000.0,pop30,a
1000.0,pop30,d
1000.0,pop30,e
1000.0,pop40,d
1000.0,pop40,e
1000.0,pop40,a
1000.0,pop40,c
1000.0,pop40,b
1000.0,pop44,b
1000.0,pop44,a
1000.0,pop44,c
1000.0,pop45,a
1000.0,pop45,b
1000.0,pop45,c
1000.0,pop45,e
1000.0,pop54,a
1000.0,pop54,c
1000.0,pop54,b
1000.0,pop54,d
1000.0,pop54,e
