time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,28,0,0,28,0,0,0,2.5,0,0.0,0,0,0.0,0.0
100,663,397,21,245,19.76925483093859,35.310318181777454,4.944165418856405,2.7028657616892913,3.7607021866338157,18.417797888386122,22.095717884130984,13.821158690176322,0.32297733220698555,0.12354621461878865
200,1269,984,42,243,18.01205091096055,36.39575355012334,4.981386452211335,2.66193853427896,3.8110281447444,20.91410559495666,23.1260162601626,13.897357723577235,0.33711060678452387,0.12899762618690677
300,1861,1561,88,212,17.838300879406926,36.84950658419416,4.981142442577592,2.659860290166577,3.8271662763466043,21.953250940354646,23.620755925688663,14.021780909673286,0.3383807244874184,0.12965373511675873
400,2532,2130,130,272,17.325715450041844,37.006000302068955,4.975490369054459,2.6579778830963665,3.8363537636598113,22.322669826224327,23.820657276995306,14.004694835680752,0.3377892263455609,0.13223143198929627
500,3139,2725,191,223,16.38528144381629,37.38161713973738,4.990599891770337,2.6597642561325263,3.837962962962963,22.71232876712329,24.12073394495413,14.058348623853211,0.34242237670858017,0.13366416135580964
600,3750,3296,214,240,16.32777516805625,37.34098887014666,4.994728737120861,2.6570666666666667,3.836846353933088,22.8144,24.071601941747574,14.206614077669903,0.3428497934550772,0.13264962503400043
700,4355,3864,258,233,16.178697662713127,37.485983228462935,4.99934497746921,2.662686567164179,3.8265660147165352,23.04638346727899,24.181418219461698,14.153985507246377,0.34407863182831233,0.13464864824155617
800,4991,4457,321,213,16.417019870034228,37.676899194562715,4.9974368077797084,2.6643959126427568,3.826329515069488,23.224003205770387,24.346421359658965,14.203724478348665,0.3456497865756888,0.13608687087019966
900,5568,5012,348,208,16.330228691788424,37.75144083647027,5.001123799073674,2.6661278735632186,3.8276797829036635,23.305675287356323,24.41340782122905,14.232242617717478,0.3425570583261994,0.13428655886916074
1000,6208,5583,388,237,16.445693842359166,37.707598626604195,4.998935181634992,2.663498711340206,3.827248418098541,23.285921391752577,24.38527673293928,14.22873007343722,0.34420541494986945,0.13544588770946872
