time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,16,0,0,16,0,0,0,2.375,0,0.0,0,0,0.0,0.0
100,387,151,108,128,23.39757840384522,32.628518401961244,4.955755964990071,2.689922480620155,5.616033755274262,13.757105943152455,19.32450331125828,16.47019867549669,0.10662219239726851,0.3898872847011153
200,732,386,229,117,25.875518434085855,37.73141529462554,4.9723748102802166,2.7008196721311477,5.8147512864493995,18.524590163934427,24.29015544041451,18.06217616580311,0.09992819129547227,0.43775060144346384
300,1073,602,350,121,26.38234607268886,39.048886928075035,4.981639686322189,2.683131407269338,5.891383665450463,19.562907735321527,25.642857142857142,18.66112956810631,0.0971173739810735,0.4344376870839438
400,1428,816,494,118,27.10935092683797,39.24733638224877,4.990728001033868,2.67296918767507,5.917561272027547,20.458683473389357,25.839460784313726,18.770833333333332,0.0975362812197781,0.444069233674941
500,1793,1034,637,122,27.136957745217778,39.001721430444874,4.999648399523444,2.660345789180145,5.916454081632653,20.696040156162855,25.596711798839458,18.852998065764023,0.09927583576036066,0.4520734273910638
600,2163,1264,777,122,28.005887464649515,39.33679125468244,4.989845315472944,2.660656495607952,5.939229376777864,21.236245954692556,26.02848101265823,18.89873417721519,0.09952181876324655,0.4645943929218605
700,2535,1478,927,130,27.89873137782182,39.73948645439022,4.994929464768568,2.662721893491124,5.941512752858399,21.31913214990138,26.401217861975642,18.816644113667117,0.10091913529237269,0.469652139008327
800,2885,1701,1063,121,27.973995161807867,40.035689997747404,5.002079722381952,2.6644714038128248,5.958401383418196,21.497746967071055,26.706055261610818,19.083480305702526,0.1005895892120688,0.47017147046202046
900,3233,1912,1181,140,27.739009467450924,40.314214104557536,5.000632137106842,2.6656356325394372,5.966272898476288,21.558304979894835,26.950836820083683,19.02458158995816,0.10051139662197099,0.4704727921498613
1000,3585,2131,1317,137,27.67517378647118,40.02631478621941,4.994659067973035,2.6686192468619248,5.963312693498452,21.491213389121338,26.690755513843268,19.056780854059127,0.10117457188068252,0.46995071650254433
