time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,14,0,0,14,0,0,0,2.7857142857142856,0,0.0,0,0,0.0,0.0
100,351,189,0,162,0,34.73922990166281,4.9868670153319155,2.658119658119658,5.070121951219512,18.951566951566953,21.576719576719576,18.386243386243386,0.17924088210347744,0.07313718034960445
200,655,512,0,143,0,40.21904970279785,5.005192255790011,2.6381679389312978,5.057058823529411,26.250381679389314,27.095703125,18.474609375,0.2005665359477132,0.08957486590038295
300,962,819,0,143,0,42.03030849521814,5.00998179573035,2.636174636174636,5.067419962335217,27.97089397089397,28.847374847374848,18.516483516483518,0.19875191815856735,0.09207766783275004
400,1265,1115,0,150,0,42.96561229020695,5.007875409126858,2.6482213438735176,5.081439393939394,29.693280632411067,29.73811659192825,18.960538116591927,0.20394373163783938,0.09672606610579618
500,1579,1420,0,159,0,44.434074577732495,4.99596322824272,2.6523115896136797,5.052504968099571,30.59341355288157,31.213380281690142,18.942253521126762,0.21098880973052941,0.10072894891510588
600,1904,1743,0,161,0,45.014323752155164,4.991535622481131,2.6570378151260505,5.092115401078675,31.24002100840336,31.798623063683305,18.907630522088354,0.2109279397439153,0.10282071379074059
700,2239,2065,0,174,0,45.622726261469985,4.995253865831459,2.661009379187137,5.080279480963924,31.82492184010719,32.3593220338983,18.965617433414042,0.21697867623744183,0.10562273422332201
800,2556,2406,0,150,0,45.991225966439494,4.997885923888448,2.65962441314554,5.068944176259438,32.04381846635368,32.72776392352452,19.07231920199501,0.21828468243910865,0.10573199872713604
900,2879,2731,0,148,0,45.97861194775824,4.995949793215805,2.6585620006946855,5.069589041095891,32.13615838832928,32.70560234346393,19.062248260710362,0.21910641806319014,0.10576360576728555
1000,3180,3045,0,135,0,45.89722568814391,4.993308111037919,2.6569182389937107,5.070375136098189,32.21761006289308,32.63382594417077,19.042692939244663,0.2186468477276554,0.10480908222188332
