time,node,sf
100,pop28,a
100,pop28,c
100,pop28,d
100,pop28,e
100,pop36,b
100,pop36,c
100,pop36,d
100,pop36,e
100,pop36,a
100,pop37,a
100,pop37,b
100,pop37,c
100,pop10,e
100,pop52,c
100,pop52,b
100,pop51,b
100,pop33,c
100,pop41,b
200,pop28,b
200,pop28,a
200,pop28,c
200,pop36,a
200,pop36,d
200,pop36,b
200,pop36,e
200,pop36,c
200,pop37,d
200,pop37,e
200,pop37,a
200,pop37,b
200,pop52,a
200,pop52,d
200,pop51,b
200,pop51,c
200,pop51,e
200,pop8,a
200,pop8,c
200,pop8,e
300,pop28,c
300,pop28,d
300,pop28,e
300,pop28,a
300,pop28,b
300,pop36,a
300,pop36,b
300,pop37,e
300,pop37,d
300,pop37,a
300,pop37,b
300,pop37,c
300,pop52,b
300,pop52,e
300,pop51,e
300,pop51,d
300,pop51,b
300,pop8,a
400,pop28,b
400,pop28,a
400,pop28,c
400,pop28,d
400,pop28,e
400,pop36,b
400,pop36,a
400,pop36,c
400,pop37,a
400,pop37,b
400,pop37,d
400,pop37,c
400,pop37,e
400,pop52,c
400,pop52,e
400,pop52,a
400,pop51,c
400,pop51,a
400,pop53,d
400,pop53,a
400,pop50,a
400,pop56,a
400,pop56,c
400,pop1,e
500,pop28,a
500,pop28,c
500,pop28,d
500,pop28,b
500,pop28,e
500,pop36,e
500,pop36,a
500,pop36,c
500,pop36,d
500,pop36,b
500,pop37,d
500,pop37,e
500,pop37,a
500,pop37,b
500,pop37,c
500,pop51,e
500,pop51,d
500,pop51,c
500,pop51,b
500,pop26,c
500,pop33,b
500,pop33,c
500,pop1,b
500,pop1,c
600,pop28,d
600,pop28,b
600,pop28,a
600,pop28,e
600,pop36,a
600,pop36,b
600,pop36,c
600,pop37,a
600,pop37,b
600,pop37,c
600,pop52,e
600,pop51,a
600,pop51,b
600,pop53,c
600,pop53,b
600,pop22,e
700,pop28,a
700,pop28,b
700,pop28,c
700,pop28,d
700,pop36,b
700,pop36,a
700,pop36,d
700,pop37,e
700,pop37,c
700,pop37,b
700,pop37,a
700,pop52,a
700,pop52,b
700,pop52,c
700,pop51,d
700,pop51,a
700,pop51,e
700,pop51,c
700,pop46,d
700,pop46,b
700,pop46,e
700,pop46,c
700,pop53,c
700,pop53,b
700,pop29,e
800,pop28,a
800,pop28,b
800,pop28,e
800,pop28,d
800,pop28,c
800,pop36,a
800,pop36,b
800,pop36,d
800,pop36,e
800,pop36,c
800,pop37,d
800,pop37,e
800,pop37,a
800,pop52,e
800,pop52,a
800,pop52,c
800,pop51,b
800,pop51,c
800,pop46,a
800,pop53,e
800,pop45,b
900,pop28,b
900,pop28,a
900,pop28,d
900,pop28,e
900,pop28,c
900,pop36,a
900,pop36,b
900,pop36,c
900,pop36,d
900,pop37,a
900,pop37,e
900,pop37,b
900,pop37,c
900,pop52,b
900,pop52,c
900,pop51,b
900,pop51,e
900,pop46,c
900,pop53,b
900,pop53,a
900,pop53,c
900,pop33,a
900,pop22,b
900,pop21,c
900,pop1,a
1000.0,pop28,c
1000.0,pop28,a
1000.0,pop28,b
1000.0,pop28,d
1000.0,pop36,a
1000.0,pop36,b
1000.0,pop36,c
1000.0,pop37,d
1000.0,pop37,e
1000.0,pop37,a
1000.0,pop37,c
1000.0,pop37,b
1000.0,pop52,b
1000.0,pop52,e
1000.0,pop52,a
1000.0,pop51,b
1000.0,pop51,c
1000.0,pop51,a
1000.0,pop50,a
1000.0,pop19,b
1000.0,pop26,c
1000.0,pop33,b
1000.0,pop41,b
1000.0,pop41,c
1000.0,pop1,c
