time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,2.6,0,0.0,0,0,0.0,0.0
100,228,155,0,73,0,29.019608860016096,4.941742869884406,2.662280701754386,4.462989840348331,13.486842105263158,15.987096774193548,15.212903225806452,0.1697019167527954,0.032641485796611115
200,438,370,0,68,0,29.62653815927492,4.952338674031183,2.6552511415525113,4.457417582417582,14.817351598173516,16.586486486486486,15.275675675675675,0.16657423036732572,0.030773364566468037
300,669,586,0,83,0,29.984016254644928,4.96414221023542,2.6846038863976083,4.451251078515962,15.423019431988042,16.762798634812288,15.426621160409557,0.17558524275248533,0.03264840149296254
400,887,818,0,69,0,30.158131517360548,4.959389705661132,2.6843291995490417,4.464992150706436,16.03269447576099,16.82885085574572,15.37286063569682,0.1775558929730756,0.03290718574118895
500,1108,1041,0,67,0,30.066631525685363,4.962490737681455,2.677797833935018,4.47458051590283,16.125451263537904,16.795389048991353,15.48030739673391,0.1739830580987465,0.03218924160748426
600,1339,1256,0,83,0,30.06243138970283,4.96764525262643,2.6743838685586256,4.477901693515077,16.192681105302466,16.801751592356688,15.617834394904458,0.17439789760009575,0.032550741884604315
700,1566,1494,0,72,0,30.24301419711099,4.972196843782642,2.6794380587484037,4.488525730180807,16.486590038314176,16.934404283801875,15.635876840696119,0.1777526681662701,0.03354038542838234
800,1823,1725,0,98,0,30.408519306256,4.969969704104568,2.678003291278113,4.481943825234062,16.543609434997258,17.088695652173914,15.612173913043478,0.18159634404623148,0.03497868388405681
900,2056,1982,0,74,0,30.51505177444031,4.966567955509181,2.6736381322957197,4.486531769557932,16.931420233463037,17.23915237134208,15.616548940464178,0.18323711057334113,0.036090424654617884
1000,2287,2211,0,76,0,30.559841810284365,4.974596672749402,2.668998688237866,4.4924057971014495,16.94228246611281,17.29127091813659,15.63681592039801,0.18261112358801174,0.035822561054155835
