time,node,sf
100,pop24,a
100,pop24,c
100,pop24,b
100,pop31,a
100,pop31,b
100,pop22,b
100,pop22,a
100,pop22,c
100,pop52,d
100,pop52,e
100,pop1,b
100,pop1,a
100,pop21,a
100,pop21,b
100,pop21,c
100,pop0,a
100,pop0,b
100,pop0,c
100,pop51,b
100,pop51,a
100,pop51,c
100,pop5,b
100,pop5,a
100,pop5,c
100,pop5,d
100,pop5,e
100,pop20,a
100,pop28,b
100,pop28,e
100,pop28,a
100,pop28,c
100,pop33,b
100,pop33,c
100,pop8,e
100,pop44,d
100,pop44,a
100,pop30,a
100,pop30,b
100,pop30,c
100,pop3,b
100,pop3,a
100,pop3,c
100,pop42,a
100,pop42,c
100,pop10,a
100,pop10,b
100,pop10,c
100,pop54,c
100,pop12,e
100,pop38,c
100,pop34,a
100,pop34,c
100,pop34,d
100,pop34,e
100,pop45,e
100,pop36,b
100,pop36,a
100,pop36,c
100,pop18,e
100,pop18,b
100,pop18,c
100,pop50,a
100,pop50,c
100,pop50,b
100,pop39,c
100,pop4,b
100,pop4,a
100,pop11,b
100,pop14,b
100,pop14,c
100,pop14,a
100,pop19,b
100,pop19,c
100,pop57,a
100,pop57,b
100,pop57,c
100,pop46,d
100,pop46,e
100,pop56,a
200,pop24,e
200,pop24,b
200,pop31,a
200,pop31,c
200,pop22,a
200,pop22,b
200,pop22,c
200,pop52,d
200,pop52,e
200,pop21,a
200,pop21,c
200,pop21,b
200,pop21,d
200,pop21,e
200,pop0,a
200,pop0,b
200,pop51,a
200,pop51,b
200,pop51,c
200,pop5,e
200,pop5,b
200,pop5,a
200,pop5,c
200,pop20,c
200,pop28,b
200,pop28,a
200,pop28,c
200,pop8,b
200,pop30,a
200,pop30,c
200,pop55,a
200,pop55,c
200,pop55,b
200,pop3,c
200,pop42,a
200,pop54,b
200,pop54,a
200,pop53,d
200,pop53,b
200,pop53,e
200,pop53,a
200,pop12,a
200,pop12,c
200,pop38,a
200,pop38,b
200,pop38,c
200,pop34,a
200,pop34,b
200,pop34,c
200,pop36,a
200,pop36,c
200,pop36,b
200,pop50,b
200,pop50,a
200,pop50,d
200,pop50,c
200,pop50,e
200,pop39,d
200,pop48,a
200,pop4,d
200,pop4,e
200,pop11,b
200,pop19,b
200,pop19,a
200,pop19,c
200,pop17,b
200,pop17,a
200,pop17,c
200,pop57,b
200,pop16,b
200,pop9,c
200,pop27,a
200,pop27,c
200,pop43,a
300,pop24,c
300,pop24,b
300,pop31,a
300,pop31,b
300,pop31,c
300,pop22,b
300,pop22,a
300,pop22,d
300,pop22,c
300,pop52,d
300,pop52,e
300,pop52,b
300,pop1,e
300,pop1,a
300,pop1,b
300,pop21,b
300,pop21,c
300,pop21,a
300,pop0,b
300,pop51,a
300,pop51,c
300,pop51,b
300,pop5,b
300,pop5,a
300,pop5,c
300,pop20,d
300,pop20,e
300,pop33,c
300,pop8,c
300,pop44,c
300,pop44,b
300,pop30,c
300,pop55,a
300,pop55,b
300,pop55,c
300,pop3,d
300,pop3,e
300,pop3,a
300,pop42,b
300,pop42,a
300,pop42,d
300,pop42,c
300,pop54,c
300,pop53,e
300,pop53,a
300,pop12,b
300,pop38,b
300,pop38,a
300,pop38,c
300,pop34,c
300,pop34,d
300,pop34,e
300,pop50,a
300,pop50,b
300,pop50,c
300,pop48,c
300,pop4,c
300,pop19,d
300,pop57,a
300,pop57,b
300,pop57,c
300,pop16,c
300,pop9,a
300,pop9,b
300,pop9,c
400,pop24,a
