time,node,sf
100,pop24,d
100,pop24,e
100,pop17,b
100,pop16,a
100,pop16,b
100,pop32,e
100,pop32,a
100,pop32,b
100,pop32,c
100,pop67,d
100,pop67,e
100,pop15,c
100,pop25,b
100,pop25,a
100,pop25,c
100,pop21,d
100,pop21,a
100,pop21,b
100,pop21,e
100,pop21,c
100,pop42,d
100,pop42,e
100,pop42,b
100,pop42,a
100,pop46,c
100,pop44,a
100,pop44,c
100,pop9,d
100,pop61,c
100,pop61,b
100,pop61,a
100,pop26,b
100,pop26,a
100,pop55,b
100,pop19,c
100,pop1,b
100,pop1,a
100,pop1,c
100,pop43,a
100,pop43,c
100,pop43,b
100,pop23,a
100,pop23,d
100,pop23,b
100,pop23,e
100,pop23,c
100,pop45,a
100,pop45,b
100,pop29,d
100,pop29,e
100,pop3,a
100,pop22,a
100,pop22,c
100,pop11,b
100,pop6,d
100,pop6,e
100,pop4,b
100,pop4,a
100,pop4,c
100,pop38,c
100,pop38,d
100,pop38,b
100,pop63,c
100,pop63,a
100,pop50,c
100,pop10,c
100,pop56,e
100,pop66,a
100,pop66,b
100,pop66,c
100,pop49,b
100,pop49,a
100,pop49,c
100,pop53,a
100,pop53,b
100,pop53,c
100,pop2,b
100,pop2,a
100,pop2,c
100,pop35,a
100,pop35,b
200,pop24,a
200,pop24,b
200,pop24,c
200,pop17,a
200,pop17,c
200,pop16,b
200,pop32,a
200,pop32,c
200,pop67,d
200,pop67,e
200,pop14,c
200,pop25,a
200,pop21,a
200,pop21,c
200,pop42,e
200,pop46,b
200,pop46,c
200,pop46,a
200,pop44,a
200,pop9,c
200,pop9,b
200,pop61,b
200,pop61,c
200,pop26,b
200,pop26,a
200,pop62,c
200,pop20,b
200,pop43,a
200,pop43,d
200,pop43,c
200,pop43,e
200,pop23,b
200,pop23,a
200,pop23,c
200,pop45,e
200,pop45,b
200,pop45,a
200,pop57,b
200,pop57,a
200,pop57,d
200,pop57,e
200,pop57,c
200,pop29,e
200,pop3,b
200,pop3,c
200,pop22,d
200,pop22,a
200,pop22,e
200,pop22,b
