time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,2.7,0,0.0,0,0,0.0,0.0
100,207,122,8,77,7.100631808645634,32.574286266754655,4.990082654059878,2.7246376811594204,4.356390977443609,13.995169082125605,19.057377049180328,16.75409836065574,0.028571679743302325,0.12816421617107268
200,431,320,29,82,16.873443311548296,33.98966238678618,5.016278020863466,2.6937354988399074,4.472716829408386,18.067285382830626,20.625,16.121875,0.0317108680921548,0.18121517843698468
300,664,534,49,81,19.3718758144467,35.81852336182369,5.028605545649796,2.6656626506024095,4.536757301107754,20.353915662650603,22.50749063670412,16.247191011235955,0.032661840159009296,0.20900473020862137
400,900,758,69,73,17.54543998924365,35.93949099459954,5.022354429574795,2.672222222222222,4.524945242151375,20.65888888888889,22.484168865435358,16.062005277044854,0.033821376281112946,0.21250021036333722
500,1131,946,91,94,17.347995701516332,36.360286440480465,5.014997901583272,2.6816976127320955,4.5521425862722795,21.227232537577365,22.955602536997887,16.118393234672304,0.033688115526532,0.21905234353569716
600,1369,1159,115,95,17.646430362876647,36.828412064275966,5.018246906137336,2.6880934989043097,4.565994147543508,21.655953250547846,23.38740293356342,16.174288179465055,0.03356007585554777,0.22239604276021416
700,1589,1369,144,76,18.222945239094646,37.31174997567657,5.017589929210579,2.6897419760855885,4.584777792258569,22.139081183134046,23.85975164353543,16.27246165084003,0.03356454497705764,0.2253509090586553
800,1830,1570,173,87,18.017449997925063,37.321880198542054,5.016487674061171,2.6841530054644807,4.585666293393057,22.37704918032787,23.904458598726116,16.270063694267517,0.03378688691709943,0.2279556674042539
900,2048,1776,205,67,18.040745840657248,37.78290530675183,5.009799365403607,2.6826171875,4.587933753943218,22.724609375,24.35135135135135,16.36036036036036,0.0335484859542895,0.23031386289799607
1000,2256,1959,220,77,18.37938932930976,37.800071917291966,5.010190424712613,2.6786347517730498,4.589973142345569,22.726063829787233,24.40684022460439,16.325165900969882,0.033461272442423876,0.22874726691136968
