time,node,sf
100,pop15,b
100,pop15,a
100,pop15,c
100,pop15,d
100,pop12,b
100,pop12,a
100,pop12,e
100,pop12,c
100,pop12,d
100,pop17,b
100,pop17,d
100,pop17,a
100,pop17,e
100,pop17,c
100,pop53,d
100,pop53,a
100,pop53,b
100,pop53,c
100,pop53,e
100,pop36,a
100,pop36,b
100,pop36,d
100,pop36,c
100,pop36,e
100,pop54,a
100,pop54,e
100,pop54,b
100,pop54,d
100,pop54,c
100,pop47,c
100,pop47,a
100,pop47,b
100,pop10,b
100,pop10,a
100,pop10,c
100,pop8,b
100,pop8,a
100,pop8,d
100,pop8,c
100,pop35,b
100,pop35,c
100,pop35,d
100,pop35,a
100,pop27,a
100,pop27,b
100,pop27,c
100,pop30,d
100,pop30,a
100,pop30,e
100,pop30,b
100,pop30,c
100,pop21,b
100,pop21,a
100,pop46,a
100,pop46,c
100,pop46,e
100,pop46,b
100,pop46,d
100,pop9,c
100,pop26,b
100,pop26,c
100,pop26,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop31,d
100,pop31,a
100,pop31,b
100,pop18,d
100,pop18,b
100,pop18,a
100,pop18,e
100,pop18,c
100,pop50,c
100,pop4,a
100,pop32,b
100,pop32,a
100,pop32,c
100,pop43,a
100,pop43,c
100,pop55,c
100,pop55,e
100,pop55,a
100,pop38,a
100,pop38,b
100,pop38,c
200,pop15,a
200,pop15,b
200,pop15,c
200,pop15,d
200,pop15,e
200,pop12,b
200,pop12,a
200,pop12,c
200,pop12,d
200,pop12,e
200,pop17,b
200,pop17,a
200,pop17,c
200,pop17,e
200,pop17,d
200,pop53,d
200,pop53,a
200,pop53,b
200,pop53,c
200,pop53,e
200,pop36,b
200,pop36,c
200,pop36,e
200,pop36,a
200,pop36,d
200,pop54,a
200,pop54,b
200,pop54,d
200,pop54,c
200,pop47,c
200,pop47,a
200,pop10,a
200,pop10,c
200,pop10,d
200,pop8,a
200,pop8,b
200,pop8,d
200,pop8,e
200,pop8,c
200,pop35,e
200,pop35,b
200,pop35,a
200,pop35,c
200,pop27,e
200,pop27,c
200,pop30,d
200,pop30,b
200,pop30,a
200,pop30,c
200,pop30,e
200,pop21,a
200,pop21,c
200,pop21,b
200,pop46,e
200,pop46,a
200,pop46,b
200,pop46,c
200,pop9,a
200,pop9,e
200,pop9,b
200,pop9,c
200,pop26,a
200,pop26,c
200,pop26,b
200,pop37,b
200,pop37,a
200,pop37,c
200,pop31,a
200,pop31,c
200,pop31,d
200,pop31,b
200,pop40,a
200,pop40,c
200,pop40,b
200,pop50,e
200,pop50,a
200,pop50,c
200,pop50,b
200,pop32,d
200,pop32,c
200,pop32,e
200,pop43,a
200,pop43,b
200,pop43,c
200,pop55,a
200,pop55,b
200,pop55,c
200,pop38,a
200,pop38,c
200,pop51,b
200,pop51,a
300,pop15,d
300,pop15,e
300,pop15,a
300,pop15,b
300,pop15,c
300,pop12,b
300,pop12,a
300,pop12,c
300,pop12,d
300,pop12,e
300,pop17,b
300,pop17,a
300,pop17,c
300,pop17,d
300,pop17,e
300,pop53,a
300,pop53,b
300,pop53,c
300,pop53,e
300,pop53,d
300,pop36,b
300,pop36,c
300,pop36,a
300,pop36,d
300,pop36,e
300,pop54,d
300,pop54,b
300,pop54,e
300,pop54,a
300,pop54,c
300,pop47,a
300,pop47,c
300,pop10,a
300,pop10,c
300,pop10,e
300,pop10,b
300,pop8,b
300,pop8,d
300,pop8,a
