time,node,sf
100,pop19,a
100,pop19,b
100,pop2,e
100,pop2,b
100,pop2,a
100,pop14,c
100,pop14,b
100,pop14,a
100,pop7,c
100,pop7,e
100,pop32,a
100,pop6,d
100,pop6,e
100,pop6,c
100,pop13,e
100,pop5,a
100,pop5,c
100,pop12,d
100,pop12,b
100,pop12,e
100,pop12,a
100,pop16,d
100,pop16,e
100,pop23,b
100,pop23,a
100,pop23,c
100,pop4,c
100,pop4,a
100,pop4,b
100,pop0,d
100,pop0,e
100,pop17,a
100,pop18,c
100,pop18,b
100,pop1,c
200,pop19,c
200,pop19,d
200,pop19,a
200,pop19,e
200,pop14,c
200,pop14,a
200,pop14,b
200,pop7,c
200,pop32,d
200,pop32,e
200,pop20,a
200,pop20,b
200,pop20,c
200,pop21,b
200,pop6,b
200,pop12,d
200,pop12,e
200,pop16,d
200,pop16,e
200,pop22,a
200,pop23,d
200,pop23,e
200,pop0,b
200,pop0,a
200,pop17,d
200,pop17,e
200,pop3,b
200,pop18,a
200,pop18,b
200,pop15,a
200,pop11,d
300,pop19,c
300,pop2,b
300,pop2,d
300,pop2,e
300,pop14,e
300,pop14,d
300,pop14,a
300,pop14,b
300,pop7,d
300,pop7,c
300,pop20,a
300,pop20,c
300,pop21,c
300,pop6,e
300,pop6,d
300,pop6,a
300,pop13,b
300,pop13,e
300,pop13,a
300,pop13,c
300,pop5,a
300,pop5,c
300,pop12,c
300,pop12,b
300,pop23,a
300,pop23,b
300,pop23,c
300,pop0,b
300,pop0,c
300,pop17,a
300,pop17,e
300,pop17,d
300,pop17,b
300,pop3,d
300,pop18,c
300,pop1,c
300,pop15,a
300,pop15,c
300,pop11,a
400,pop19,b
400,pop19,a
400,pop19,c
400,pop2,a
400,pop2,d
400,pop2,b
400,pop14,e
400,pop14,b
400,pop7,c
400,pop7,b
400,pop20,b
400,pop20,a
400,pop20,c
400,pop21,b
400,pop6,e
400,pop13,d
400,pop5,e
400,pop12,c
400,pop16,b
400,pop16,a
400,pop16,c
400,pop22,d
400,pop22,a
400,pop4,e
400,pop0,a
400,pop0,c
400,pop17,c
400,pop17,e
400,pop18,d
400,pop18,a
400,pop18,b
400,pop18,c
400,pop1,a
500,pop19,a
500,pop19,b
500,pop19,c
500,pop2,d
500,pop2,e
500,pop2,a
500,pop2,b
500,pop14,b
500,pop14,a
500,pop14,c
500,pop7,b
500,pop7,a
500,pop7,c
500,pop32,b
500,pop32,a
500,pop32,c
500,pop21,b
500,pop21,a
500,pop6,c
500,pop13,b
500,pop5,a
500,pop5,c
500,pop12,e
500,pop16,d
500,pop16,b
500,pop16,e
500,pop16,a
500,pop16,c
500,pop10,a
500,pop0,c
500,pop0,b
500,pop9,c
500,pop11,d
600,pop19,d
600,pop19,e
600,pop19,a
600,pop19,b
600,pop2,b
600,pop2,d
600,pop14,d
600,pop14,e
600,pop7,a
600,pop20,c
600,pop21,a
600,pop21,b
600,pop21,c
600,pop6,a
600,pop13,a
600,pop13,b
600,pop5,a
600,pop12,d
600,pop12,e
600,pop12,a
600,pop12,b
600,pop16,b
600,pop16,a
600,pop16,c
600,pop22,d
600,pop22,c
600,pop22,e
600,pop23,c
600,pop4,a
600,pop4,c
600,pop0,c
600,pop17,b
600,pop17,a
600,pop18,d
600,pop18,e
600,pop18,b
600,pop18,a
700,pop19,c
700,pop19,e
700,pop19,b
700,pop19,d
700,pop19,a
700,pop2,a
700,pop2,b
700,pop2,c
700,pop14,b
700,pop14,a
700,pop7,a
700,pop7,e
700,pop7,c
700,pop32,d
700,pop32,e
700,pop20,b
700,pop6,b
700,pop6,a
700,pop6,c
700,pop13,b
700,pop13,a
700,pop5,a
700,pop5,d
700,pop5,e
700,pop12,a
700,pop12,b
700,pop12,c
700,pop16,d
700,pop23,c
700,pop4,a
700,pop4,c
700,pop0,b
700,pop0,a
700,pop0,d
700,pop0,c
700,pop0,e
700,pop17,a
700,pop17,b
700,pop17,c
700,pop18,e
700,pop1,c
700,pop15,d
700,pop15,e
700,pop11,c
800,pop19,d
800,pop19,c
800,pop19,e
800,pop19,b
800,pop19,a
800,pop2,d
800,pop2,e
800,pop2,b
800,pop14,a
800,pop14,b
800,pop14,c
800,pop7,c
800,pop7,a
800,pop7,b
800,pop20,b
800,pop20,c
800,pop21,c
800,pop13,b
800,pop5,c
800,pop5,a
800,pop12,b
800,pop12,a
800,pop12,c
800,pop16,c
800,pop23,a
800,pop23,e
800,pop23,b
800,pop23,c
800,pop4,a
800,pop4,c
800,pop0,c
800,pop0,a
800,pop17,a
800,pop17,b
800,pop3,d
800,pop18,e
800,pop18,c
800,pop15,b
900,pop19,b
900,pop19,c
900,pop2,c
900,pop2,a
900,pop14,a
900,pop14,b
900,pop14,c
900,pop7,d
900,pop7,b
900,pop7,e
900,pop7,a
900,pop7,c
900,pop32,c
900,pop32,d
900,pop32,e
900,pop20,a
900,pop6,c
900,pop13,a
900,pop5,e
900,pop5,a
900,pop5,b
900,pop5,c
900,pop16,d
900,pop4,b
900,pop0,b
900,pop0,a
900,pop0,c
900,pop17,a
900,pop17,d
900,pop3,e
900,pop3,a
900,pop18,b
900,pop18,c
900,pop18,a
900,pop9,c
1000.0,pop19,b
1000.0,pop19,a
1000.0,pop19,c
1000.0,pop2,b
1000.0,pop2,a
1000.0,pop2,c
1000.0,pop14,e
1000.0,pop14,a
