time,node,sf
100,pop0,a
100,pop0,d
100,pop0,e
100,pop0,c
100,pop2,a
100,pop2,b
100,pop2,c
100,pop6,e
100,pop6,c
100,pop6,d
100,pop6,a
100,pop6,b
100,pop8,a
100,pop8,b
100,pop8,d
100,pop8,c
100,pop10,b
100,pop10,c
100,pop10,d
100,pop10,e
100,pop10,a
100,pop12,b
100,pop12,a
100,pop12,c
100,pop12,d
100,pop12,e
100,pop23,c
100,pop23,d
100,pop13,d
100,pop13,a
100,pop13,b
100,pop13,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop7,b
100,pop7,a
100,pop7,c
100,pop25,b
100,pop25,d
100,pop25,c
100,pop25,e
100,pop5,e
100,pop5,c
100,pop5,b
100,pop15,e
100,pop19,c
100,pop19,a
100,pop9,c
100,pop3,e
200,pop0,b
200,pop0,d
200,pop0,a
200,pop0,c
200,pop0,e
200,pop2,d
200,pop2,e
200,pop2,b
200,pop2,c
200,pop6,a
200,pop6,c
200,pop6,b
200,pop8,c
200,pop8,d
200,pop8,e
200,pop8,b
200,pop10,b
200,pop10,a
200,pop10,d
200,pop10,c
200,pop10,e
200,pop12,a
200,pop12,b
200,pop12,d
200,pop12,c
200,pop23,a
200,pop23,c
200,pop23,b
200,pop23,d
200,pop23,e
200,pop13,a
200,pop13,c
200,pop14,c
200,pop14,a
200,pop24,a
200,pop7,a
200,pop7,b
200,pop7,c
200,pop25,c
200,pop25,a
200,pop5,c
200,pop5,b
200,pop19,b
200,pop19,a
200,pop19,c
200,pop9,e
200,pop9,c
200,pop17,b
300,pop0,e
300,pop0,d
300,pop0,b
300,pop0,a
300,pop0,c
300,pop2,b
300,pop2,a
300,pop2,c
300,pop6,d
300,pop6,b
300,pop6,e
300,pop8,d
300,pop8,b
300,pop8,a
300,pop8,c
300,pop8,e
300,pop10,e
300,pop10,a
300,pop12,b
300,pop12,c
300,pop12,a
300,pop23,c
300,pop23,b
300,pop23,a
300,pop13,a
300,pop14,a
300,pop14,b
300,pop14,c
300,pop14,d
300,pop24,e
300,pop24,b
300,pop24,c
300,pop7,a
300,pop7,b
300,pop7,c
300,pop7,d
300,pop25,a
300,pop5,c
300,pop5,a
300,pop5,b
300,pop19,c
300,pop19,e
300,pop19,a
300,pop18,a
300,pop18,c
300,pop9,e
300,pop20,c
300,pop20,b
300,pop21,c
400,pop0,d
400,pop0,e
400,pop0,c
400,pop0,a
400,pop2,a
400,pop2,c
400,pop2,d
400,pop2,e
400,pop2,b
400,pop6,a
400,pop6,c
400,pop6,d
400,pop6,e
400,pop6,b
400,pop8,b
400,pop8,a
400,pop8,c
400,pop8,d
400,pop10,c
400,pop10,d
400,pop10,e
400,pop10,b
400,pop10,a
400,pop12,c
400,pop12,d
400,pop12,e
400,pop12,b
400,pop12,a
400,pop23,d
400,pop23,c
400,pop23,e
400,pop23,a
400,pop23,b
400,pop13,d
400,pop13,e
400,pop14,c
400,pop14,b
400,pop14,a
400,pop24,c
400,pop24,b
