time,node,sf
100,pop4,a
100,pop4,b
100,pop4,c
100,pop4,d
100,pop4,e
100,pop5,a
100,pop5,b
100,pop5,c
100,pop16,d
100,pop16,a
100,pop16,b
100,pop16,e
100,pop16,c
100,pop23,a
100,pop23,d
100,pop23,e
100,pop23,b
100,pop23,c
100,pop26,a
100,pop26,d
100,pop26,c
100,pop26,e
100,pop39,b
100,pop39,d
100,pop39,e
100,pop39,a
100,pop39,c
100,pop40,c
100,pop40,d
100,pop40,e
100,pop47,a
100,pop47,c
100,pop47,b
100,pop50,a
100,pop50,b
100,pop50,c
100,pop53,a
100,pop53,b
100,pop53,d
100,pop53,e
100,pop72,b
100,pop72,c
100,pop72,a
100,pop38,e
100,pop44,e
100,pop44,a
100,pop44,b
100,pop44,d
100,pop19,c
100,pop22,b
100,pop22,c
100,pop22,d
100,pop46,c
100,pop60,d
100,pop60,b
100,pop55,b
100,pop61,b
100,pop61,a
100,pop61,c
100,pop17,a
100,pop45,e
100,pop49,b
100,pop49,c
100,pop28,d
100,pop28,e
100,pop41,b
100,pop20,c
100,pop7,b
100,pop18,d
100,pop48,a
100,pop36,c
200,pop4,a
200,pop4,b
200,pop4,d
200,pop4,c
200,pop4,e
200,pop5,b
200,pop5,a
200,pop5,c
200,pop16,d
200,pop16,e
200,pop16,a
200,pop16,b
200,pop23,b
200,pop23,a
200,pop23,c
200,pop23,d
200,pop23,e
200,pop26,a
200,pop26,c
200,pop26,e
200,pop26,d
200,pop26,b
200,pop39,a
200,pop39,b
200,pop39,c
200,pop40,b
200,pop40,c
200,pop40,d
200,pop40,e
200,pop40,a
200,pop47,a
200,pop47,d
200,pop47,e
200,pop47,c
200,pop47,b
200,pop50,b
200,pop50,d
200,pop50,e
200,pop50,a
200,pop50,c
200,pop53,a
200,pop53,c
200,pop53,b
200,pop72,b
200,pop72,a
200,pop72,c
200,pop38,e
200,pop19,c
200,pop22,c
200,pop22,a
200,pop46,c
200,pop71,a
200,pop71,c
200,pop60,c
200,pop55,b
200,pop55,a
200,pop6,c
200,pop42,a
200,pop42,b
200,pop42,c
200,pop49,a
200,pop28,a
200,pop28,b
200,pop28,c
200,pop13,b
200,pop13,c
200,pop41,e
200,pop27,b
200,pop20,c
200,pop59,e
200,pop18,b
200,pop36,a
200,pop35,c
300,pop4,b
300,pop4,a
300,pop4,c
300,pop5,a
300,pop5,c
300,pop5,b
300,pop5,d
300,pop16,b
300,pop16,a
300,pop16,e
300,pop16,c
300,pop16,d
300,pop23,a
300,pop23,b
300,pop23,c
300,pop23,d
300,pop23,e
300,pop26,c
300,pop26,b
300,pop26,d
300,pop26,a
300,pop39,d
300,pop39,e
300,pop39,a
300,pop40,c
300,pop40,a
300,pop47,a
300,pop47,b
300,pop47,c
300,pop47,d
300,pop47,e
300,pop50,b
300,pop50,a
300,pop50,c
300,pop53,a
300,pop53,c
300,pop53,b
300,pop72,c
300,pop72,d
300,pop72,e
300,pop72,a
300,pop72,b
300,pop38,a
300,pop38,c
300,pop38,e
300,pop44,e
300,pop19,a
300,pop19,b
300,pop22,a
300,pop22,c
300,pop46,a
300,pop46,c
300,pop71,c
300,pop71,b
300,pop60,e
300,pop60,b
300,pop61,c
300,pop61,d
300,pop61,e
300,pop42,b
300,pop17,c
300,pop49,b
300,pop49,c
300,pop49,d
300,pop49,e
300,pop28,b
300,pop28,a
300,pop28,c
300,pop13,e
300,pop41,b
300,pop27,d
300,pop27,c
300,pop20,a
300,pop15,c
300,pop24,b
300,pop24,c
300,pop1,a
300,pop1,c
300,pop57,a
300,pop58,c
400,pop4,a
400,pop4,c
400,pop4,b
400,pop5,b
400,pop5,a
400,pop5,c
400,pop16,d
400,pop16,e
400,pop16,b
400,pop16,a
400,pop23,b
400,pop23,d
400,pop23,e
400,pop26,c
400,pop26,b
400,pop26,a
400,pop26,d
400,pop26,e
400,pop39,b
400,pop39,e
400,pop39,a
400,pop39,d
400,pop39,c
400,pop40,c
400,pop40,a
400,pop40,d
400,pop40,e
400,pop40,b
400,pop47,b
400,pop47,a
400,pop47,c
400,pop47,d
400,pop47,e
400,pop50,a
400,pop50,b
400,pop50,c
400,pop53,d
400,pop53,a
400,pop53,b
400,pop53,c
400,pop72,b
400,pop72,a
400,pop72,c
400,pop72,d
400,pop72,e
400,pop38,c
400,pop38,b
400,pop44,c
400,pop44,e
400,pop44,a
400,pop19,a
400,pop19,b
400,pop22,b
400,pop46,c
400,pop55,e
400,pop61,a
400,pop6,c
400,pop6,b
400,pop6,a
400,pop42,b
400,pop42,c
400,pop45,c
400,pop49,c
400,pop49,e
400,pop49,b
400,pop28,b
400,pop28,a
400,pop41,e
400,pop27,d
400,pop20,e
400,pop20,c
400,pop20,a
400,pop15,a
400,pop15,c
400,pop15,b
400,pop48,c
400,pop36,a
400,pop36,b
400,pop36,c
400,pop25,a
400,pop25,c
400,pop35,b
400,pop32,a
400,pop62,c
400,pop31,c
500,pop4,c
500,pop4,d
500,pop4,e
500,pop5,b
