time,node,sf
100,pop8,a
100,pop8,b
100,pop8,d
100,pop16,a
100,pop16,e
100,pop16,b
100,pop16,d
100,pop16,c
100,pop54,c
100,pop54,b
100,pop54,a
100,pop54,d
100,pop54,e
100,pop63,e
100,pop63,d
100,pop63,b
100,pop63,a
100,pop63,c
100,pop71,c
100,pop71,b
100,pop71,d
100,pop71,e
100,pop20,d
100,pop20,e
100,pop20,b
100,pop20,c
100,pop20,a
100,pop26,b
100,pop26,c
100,pop25,a
100,pop25,c
100,pop25,b
100,pop48,a
100,pop48,c
100,pop48,d
100,pop10,a
100,pop10,c
100,pop10,d
100,pop10,b
100,pop10,e
100,pop2,a
100,pop2,c
100,pop2,e
100,pop46,b
100,pop35,b
100,pop35,a
100,pop35,c
100,pop5,b
100,pop42,a
200,pop8,d
200,pop8,b
200,pop8,a
200,pop8,e
200,pop8,c
200,pop16,a
200,pop16,c
200,pop16,d
200,pop16,e
200,pop54,d
200,pop54,a
200,pop54,b
200,pop54,c
200,pop54,e
200,pop63,d
200,pop63,e
200,pop63,a
200,pop63,b
200,pop71,b
200,pop71,a
200,pop71,d
200,pop71,c
200,pop71,e
200,pop20,a
200,pop20,c
200,pop20,d
200,pop20,e
200,pop26,e
200,pop26,d
200,pop25,a
200,pop25,b
200,pop25,c
200,pop25,d
200,pop25,e
200,pop48,e
200,pop48,a
200,pop48,b
200,pop48,c
200,pop10,b
200,pop10,a
200,pop10,c
200,pop10,d
200,pop2,e
200,pop46,b
200,pop15,a
200,pop35,c
200,pop5,b
200,pop5,a
200,pop5,c
200,pop44,b
200,pop44,a
200,pop44,c
200,pop23,a
200,pop23,b
200,pop70,a
200,pop70,c
300,pop8,d
300,pop8,e
300,pop8,b
300,pop8,a
300,pop8,c
300,pop16,b
300,pop16,d
300,pop16,a
300,pop16,c
300,pop16,e
300,pop54,a
300,pop54,b
300,pop54,c
300,pop54,d
300,pop54,e
300,pop63,c
300,pop63,d
300,pop63,e
300,pop63,b
300,pop63,a
300,pop71,b
300,pop71,c
300,pop71,a
300,pop71,d
300,pop71,e
300,pop20,b
300,pop20,c
300,pop20,d
300,pop20,a
300,pop26,b
300,pop26,a
300,pop26,c
300,pop25,c
300,pop25,b
300,pop25,d
300,pop25,e
300,pop10,b
300,pop10,a
300,pop10,e
300,pop10,c
300,pop10,d
300,pop46,a
300,pop46,b
300,pop46,c
300,pop67,c
300,pop15,a
300,pop15,b
300,pop15,c
300,pop35,a
300,pop35,c
300,pop23,b
300,pop23,a
300,pop23,c
300,pop34,d
300,pop34,e
400,pop8,a
400,pop8,c
400,pop8,d
400,pop8,e
400,pop8,b
400,pop16,b
400,pop16,a
400,pop16,c
400,pop16,d
400,pop54,b
400,pop54,d
400,pop54,e
400,pop54,a
400,pop54,c
400,pop63,b
400,pop63,a
400,pop63,c
400,pop63,d
400,pop63,e
400,pop71,b
400,pop71,a
400,pop71,c
400,pop71,d
400,pop71,e
400,pop20,a
400,pop20,b
400,pop20,d
400,pop20,e
400,pop20,c
400,pop26,e
400,pop25,d
400,pop25,a
400,pop25,b
400,pop25,c
400,pop48,b
400,pop48,c
400,pop48,d
400,pop10,b
400,pop10,a
400,pop10,c
400,pop10,e
400,pop10,d
400,pop2,e
400,pop2,b
400,pop2,a
400,pop46,c
400,pop9,c
400,pop35,c
400,pop35,b
400,pop5,e
400,pop44,e
400,pop0,d
400,pop0,e
400,pop23,a
400,pop23,c
500,pop8,b
500,pop8,c
500,pop8,a
500,pop16,c
500,pop16,a
500,pop16,b
500,pop16,d
500,pop16,e
500,pop54,a
500,pop54,d
500,pop54,e
500,pop54,b
500,pop54,c
500,pop63,d
500,pop63,e
500,pop63,b
500,pop63,a
500,pop63,c
500,pop71,c
500,pop71,a
500,pop71,b
500,pop71,d
500,pop71,e
500,pop20,b
500,pop20,c
500,pop20,a
500,pop26,e
500,pop26,d
500,pop25,a
500,pop25,c
500,pop25,b
500,pop48,b
500,pop48,a
500,pop48,c
500,pop10,c
500,pop10,d
500,pop10,e
500,pop10,b
500,pop10,a
500,pop2,a
500,pop2,c
500,pop9,a
500,pop44,d
500,pop44,e
500,pop23,b
500,pop23,a
500,pop23,c
500,pop70,a
500,pop70,c
600,pop8,b
600,pop8,a
600,pop8,c
600,pop16,e
600,pop16,b
600,pop16,d
600,pop16,c
600,pop16,a
600,pop54,a
600,pop54,b
600,pop54,c
600,pop63,b
600,pop63,a
600,pop63,c
600,pop71,a
600,pop71,b
600,pop71,c
600,pop71,d
600,pop20,a
600,pop20,b
600,pop20,c
600,pop20,d
600,pop20,e
600,pop26,a
600,pop26,c
600,pop26,b
600,pop25,a
600,pop25,c
600,pop25,b
600,pop25,d
600,pop48,c
600,pop10,c
600,pop10,b
600,pop10,a
600,pop10,d
600,pop10,e
600,pop2,b
600,pop2,a
600,pop46,a
600,pop9,a
600,pop9,b
600,pop9,c
600,pop15,c
600,pop15,b
600,pop23,b
600,pop23,c
600,pop23,a
600,pop23,d
700,pop8,a
700,pop8,b
700,pop8,c
700,pop8,d
700,pop16,b
700,pop16,c
700,pop16,d
700,pop16,e
700,pop54,b
700,pop54,d
700,pop54,a
700,pop54,c
700,pop54,e
700,pop63,d
700,pop63,e
700,pop63,a
700,pop71,b
700,pop71,d
700,pop71,e
700,pop71,a
700,pop20,d
700,pop20,e
700,pop20,b
700,pop20,a
700,pop20,c
700,pop26,c
700,pop26,a
700,pop26,b
700,pop25,d
700,pop25,a
700,pop25,e
700,pop25,c
700,pop25,b
700,pop48,a
700,pop48,c
700,pop48,b
700,pop48,e
700,pop48,d
700,pop10,c
700,pop10,b
700,pop10,d
700,pop10,a
700,pop10,e
700,pop2,e
700,pop46,a
700,pop46,b
700,pop46,e
700,pop46,d
700,pop46,c
700,pop23,e
700,pop23,c
800,pop8,a
800,pop8,c
800,pop8,e
800,pop8,b
800,pop16,a
800,pop16,b
800,pop16,c
800,pop16,d
800,pop16,e
800,pop54,a
800,pop54,c
800,pop54,d
800,pop54,e
800,pop54,b
800,pop63,a
800,pop63,c
800,pop63,b
800,pop71,b
800,pop71,c
800,pop71,a
800,pop71,d
800,pop20,b
800,pop20,e
800,pop20,c
800,pop20,d
800,pop20,a
800,pop26,c
800,pop26,a
800,pop26,b
800,pop25,d
800,pop25,b
800,pop25,a
800,pop25,c
800,pop25,e
800,pop48,b
800,pop48,a
800,pop48,c
800,pop10,c
800,pop10,b
800,pop10,a
800,pop10,d
800,pop10,e
800,pop2,e
800,pop46,c
800,pop46,b
800,pop46,a
800,pop9,b
800,pop9,e
800,pop9,a
800,pop9,c
800,pop67,a
800,pop67,c
800,pop44,a
800,pop44,c
800,pop44,e
800,pop23,b
800,pop23,a
800,pop43,a
800,pop43,b
900,pop8,a
900,pop8,b
900,pop8,d
900,pop8,c
900,pop8,e
900,pop16,c
900,pop16,e
900,pop16,d
900,pop16,a
900,pop54,b
900,pop54,c
900,pop54,d
900,pop54,e
900,pop63,c
900,pop63,a
900,pop63,d
900,pop63,e
900,pop63,b
900,pop71,b
900,pop71,a
900,pop71,c
900,pop71,d
900,pop20,a
900,pop20,b
900,pop26,d
900,pop26,c
900,pop26,e
900,pop26,a
900,pop25,c
900,pop25,d
900,pop25,e
900,pop25,a
900,pop25,b
900,pop48,a
900,pop48,c
900,pop48,b
900,pop10,c
900,pop10,b
900,pop10,a
900,pop10,d
900,pop10,e
900,pop2,c
900,pop46,c
900,pop46,a
900,pop15,c
900,pop44,a
900,pop44,b
900,pop23,c
1000.0,pop8,a
1000.0,pop8,d
1000.0,pop8,e
1000.0,pop16,a
1000.0,pop16,c
1000.0,pop16,d
1000.0,pop16,e
1000.0,pop16,b
1000.0,pop54,a
1000.0,pop54,b
1000.0,pop54,c
1000.0,pop63,b
1000.0,pop63,a
1000.0,pop63,c
1000.0,pop71,a
1000.0,pop71,b
1000.0,pop71,c
1000.0,pop20,a
1000.0,pop20,d
1000.0,pop20,c
1000.0,pop20,e
1000.0,pop20,b
1000.0,pop26,b
1000.0,pop25,c
1000.0,pop25,b
1000.0,pop25,d
1000.0,pop25,e
1000.0,pop48,a
1000.0,pop48,b
1000.0,pop48,d
1000.0,pop10,b
1000.0,pop10,c
1000.0,pop10,a
1000.0,pop10,e
1000.0,pop2,b
1000.0,pop2,a
1000.0,pop46,c
1000.0,pop9,e
1000.0,pop35,c
1000.0,pop23,c
1000.0,pop36,b
