time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,9,0,0,9,0,0,0,2.6666666666666665,0,0.0,0,0,0.0,0.0
100,211,107,0,104,0,42.234485896167705,4.912068002707494,2.677725118483412,4.5638297872340425,24.398104265402843,29.102803738317757,19.80373831775701,0.3622037510656434,0.09008803104575211
200,410,305,0,105,0,45.61800046448243,4.948034782517833,2.6682926829268294,4.777156549520766,29.17560975609756,32.4688524590164,21.072131147540983,0.39167060491493033,0.10301366243961355
300,610,491,0,119,0,47.03996587714462,4.963519201581217,2.680327868852459,4.825408805031446,31.444262295081966,33.765784114052956,21.248472505091648,0.3933242885088626,0.11047006531204634
400,807,705,0,102,0,48.04790201763498,4.967367628951119,2.677819083023544,4.869637267538207,32.77199504337051,34.723404255319146,21.33049645390071,0.4072703177346603,0.11289850438736732
500,1007,899,0,108,0,48.76149925543934,4.974038828711711,2.683217477656405,4.902208201892744,33.95034756703078,35.41713014460512,21.232480533926584,0.4038506090453369,0.11338730172028595
600,1193,1095,1,97,46.69578411868448,49.29097234043664,4.988769514249544,2.683989941324392,4.908950800237108,34.70829840737636,35.912328767123284,21.4,0.4035104155019098,0.11360950858413808
700,1410,1301,1,108,46.69578411868448,48.99687809809391,4.993377762420261,2.680141843971631,4.9224320775679224,34.56524822695035,35.63335895465027,21.502690238278248,0.40959552119981946,0.11430727013191587
800,1596,1508,1,87,46.69578411868448,48.92274193345681,4.991926288220973,2.674812030075188,4.9346661906461975,34.64160401002506,35.57161803713528,21.338196286472147,0.40349014724129,0.11205168170988274
900,1803,1697,1,105,46.69578411868448,48.76903295039856,4.989599142704703,2.669994453688297,4.929256880006345,34.471991125901276,35.44195639363583,21.303476723629934,0.40444369255061147,0.11242331773824936
1000,2003,1897,1,105,46.69578411868448,48.60235475240413,4.98908804095597,2.6660009985022466,4.924571265921867,34.550673989016474,35.295730100158146,21.260411175540327,0.408302135536595,0.11363565247490519
