time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,15,0,0,15,0,0,0,2.7333333333333334,0,0.0,0,0,0.0,0.0
100,358,213,0,145,0,37.69582934599639,4.993725913960558,2.689944134078212,4.269628727936701,19.594972067039105,24.549295774647888,23.384976525821596,0.22116808912476904,0.06933766877927805
200,681,544,0,137,0,39.84411823941674,4.97120013661224,2.68575624082232,4.35659760087241,23.465491923641704,26.544117647058822,24.915441176470587,0.2123723013833948,0.0703607512111418
300,1023,866,0,157,0,40.43564705967575,4.993993914968258,2.6852394916911044,4.391741845940319,24.744868035190617,27.05311778290993,25.323325635103927,0.21482762375590722,0.0725007335508888
400,1361,1226,0,135,0,40.92858964586551,4.998625011616686,2.680382072005878,4.417187109667749,25.98383541513593,27.50652528548124,25.80831973898858,0.21986317223535698,0.07528282012028
500,1718,1570,0,148,0,40.747417569265544,4.994138920168829,2.6792782305005822,4.422432485708653,26.11757857974389,27.363057324840764,25.74968152866242,0.22238188835023617,0.07580553969343751
600,2063,1913,0,150,0,40.71162748491817,4.990689429107619,2.675714978187106,4.411094843012852,26.28696073679108,27.365394668060638,25.763199163617355,0.21993073672010535,0.07514459420370641
700,2411,2274,0,137,0,40.81180135483154,4.990994649466218,2.676068021567814,4.419399474193995,26.49440066362505,27.46306068601583,25.933157431838172,0.21927741666842673,0.07485521118613121
800,2726,2595,0,131,0,40.67495340120794,4.995261813170006,2.6724137931034484,4.407772304324029,26.587307410124726,27.34874759152216,25.86396917148362,0.21667117586386964,0.07381211143636619
900,3037,2902,0,135,0,40.71158707814513,4.991548262516339,2.6727033256503128,4.404929002774605,26.660190977938754,27.38352860096485,25.822191592005513,0.21581850822706272,0.0735464523143282
1000,3376,3234,0,142,0,40.65455500613911,4.995646722330662,2.6718009478672986,4.394790752121744,26.688981042654028,27.320037105751393,25.789115646258505,0.2153930472322752,0.07325375922712049
