time,node,sf
100,pop15,b
100,pop15,c
100,pop15,a
100,pop15,d
100,pop15,e
100,pop4,b
100,pop55,a
100,pop55,b
100,pop55,c
100,pop60,a
100,pop60,b
100,pop60,c
100,pop42,b
100,pop27,b
100,pop27,a
100,pop27,c
100,pop21,a
100,pop21,b
100,pop23,a
100,pop23,c
100,pop23,d
100,pop1,a
100,pop1,d
100,pop1,b
100,pop1,e
100,pop1,c
100,pop10,a
100,pop10,b
100,pop10,c
100,pop0,e
100,pop48,b
100,pop48,c
100,pop48,a
100,pop53,b
100,pop53,a
100,pop53,c
100,pop64,c
100,pop9,b
100,pop9,a
100,pop9,c
100,pop45,a
100,pop45,b
100,pop45,c
100,pop18,a
100,pop41,d
100,pop41,a
100,pop41,e
100,pop41,b
100,pop41,c
100,pop6,a
100,pop6,d
100,pop59,b
100,pop5,b
100,pop5,a
100,pop5,c
100,pop37,d
100,pop37,e
100,pop43,b
100,pop43,a
100,pop43,c
100,pop62,d
100,pop62,a
100,pop62,c
100,pop62,e
100,pop65,d
100,pop65,a
100,pop65,b
100,pop65,c
100,pop33,e
100,pop67,a
100,pop67,b
100,pop67,d
100,pop67,c
100,pop22,e
100,pop31,a
100,pop66,c
100,pop3,e
200,pop17,c
200,pop15,c
200,pop15,b
200,pop15,a
200,pop4,e
200,pop4,d
200,pop24,a
200,pop24,d
200,pop24,e
200,pop12,b
200,pop12,a
200,pop55,b
200,pop55,a
200,pop55,c
200,pop60,a
200,pop60,c
200,pop42,c
200,pop27,a
200,pop51,b
200,pop51,c
200,pop51,a
200,pop21,e
200,pop21,c
200,pop21,d
200,pop23,d
200,pop10,a
200,pop0,b
200,pop0,c
200,pop48,d
200,pop48,e
200,pop48,b
200,pop53,b
200,pop53,a
200,pop53,c
200,pop9,a
200,pop9,b
200,pop9,e
200,pop9,c
200,pop9,d
200,pop45,a
200,pop45,e
200,pop45,b
200,pop45,c
200,pop18,b
200,pop18,a
200,pop18,c
200,pop41,c
200,pop41,b
200,pop41,d
200,pop6,d
200,pop49,b
200,pop59,d
