time,node,sf
100,pop0,e
100,pop0,a
100,pop0,b
100,pop0,c
100,pop4,c
100,pop4,b
100,pop4,a
100,pop5,a
100,pop5,b
100,pop5,c
100,pop5,d
100,pop5,e
100,pop6,a
100,pop6,c
100,pop6,b
100,pop6,d
100,pop7,b
100,pop7,d
100,pop7,c
100,pop7,e
100,pop7,a
100,pop8,b
100,pop8,a
100,pop8,c
100,pop9,d
100,pop9,e
100,pop9,a
100,pop9,b
100,pop9,c
100,pop10,b
100,pop10,a
100,pop10,d
100,pop10,e
100,pop10,c
100,pop11,a
100,pop11,c
100,pop11,b
100,pop12,a
100,pop12,b
100,pop12,c
100,pop12,e
100,pop12,d
100,pop15,c
100,pop15,e
100,pop15,d
100,pop15,b
100,pop15,a
100,pop16,b
100,pop16,c
100,pop16,e
100,pop16,a
100,pop18,b
100,pop18,a
100,pop18,c
100,pop19,c
100,pop19,a
100,pop19,b
100,pop19,d
100,pop20,b
100,pop20,c
100,pop20,d
100,pop20,e
100,pop20,a
100,pop21,a
100,pop21,b
100,pop21,d
100,pop21,c
100,pop21,e
100,pop24,c
100,pop24,a
100,pop24,b
100,pop26,e
100,pop26,d
100,pop26,a
100,pop26,b
100,pop26,c
100,pop28,d
100,pop28,e
100,pop28,a
100,pop28,b
100,pop28,c
100,pop30,a
100,pop30,b
100,pop30,c
100,pop31,a
100,pop31,b
100,pop31,d
100,pop31,c
100,pop31,e
100,pop35,a
100,pop35,b
100,pop35,c
100,pop38,b
100,pop38,c
100,pop38,a
100,pop38,d
100,pop40,b
100,pop40,c
100,pop40,a
100,pop42,a
100,pop42,b
100,pop42,d
100,pop42,c
100,pop42,e
100,pop48,c
100,pop48,e
100,pop48,d
100,pop48,b
100,pop48,a
100,pop49,b
100,pop49,d
100,pop49,e
100,pop49,a
100,pop49,c
100,pop50,b
100,pop50,a
100,pop50,c
100,pop50,d
100,pop50,e
100,pop51,b
100,pop51,c
100,pop51,d
100,pop51,e
100,pop52,b
100,pop52,c
100,pop52,a
100,pop60,a
100,pop60,d
100,pop60,e
100,pop60,b
100,pop60,c
100,pop63,c
100,pop63,d
100,pop63,e
100,pop63,b
100,pop69,c
100,pop69,b
100,pop69,d
100,pop69,e
100,pop69,a
100,pop70,a
100,pop70,b
100,pop70,c
100,pop70,e
100,pop70,d
100,pop71,a
100,pop71,b
100,pop71,c
100,pop71,d
100,pop71,e
100,pop72,d
100,pop72,b
100,pop72,a
100,pop72,e
100,pop72,c
200,pop0,b
200,pop0,a
200,pop0,c
200,pop0,d
200,pop0,e
200,pop4,d
200,pop4,e
200,pop4,a
200,pop4,b
200,pop4,c
200,pop5,a
200,pop5,b
200,pop5,c
200,pop5,d
200,pop5,e
200,pop6,c
200,pop6,b
200,pop6,a
200,pop6,d
200,pop6,e
200,pop7,c
200,pop7,a
200,pop7,d
200,pop7,e
200,pop7,b
200,pop8,d
200,pop8,b
200,pop8,a
200,pop8,c
200,pop8,e
200,pop9,b
200,pop9,a
200,pop9,c
200,pop9,d
200,pop9,e
200,pop10,c
200,pop10,d
200,pop10,e
200,pop10,b
200,pop10,a
200,pop11,b
200,pop11,a
200,pop11,c
200,pop12,a
200,pop12,d
200,pop12,b
200,pop12,c
200,pop12,e
200,pop15,a
200,pop15,b
200,pop15,c
200,pop16,c
200,pop16,b
200,pop16,a
200,pop16,d
200,pop18,a
200,pop18,b
200,pop18,c
200,pop19,b
200,pop19,a
200,pop19,c
200,pop20,b
200,pop20,c
200,pop20,a
200,pop20,d
200,pop20,e
200,pop21,b
200,pop21,a
200,pop21,c
200,pop21,d
200,pop21,e
200,pop24,c
200,pop24,b
200,pop24,a
200,pop24,d
200,pop24,e
200,pop26,c
200,pop26,a
200,pop26,b
200,pop26,e
200,pop26,d
200,pop28,d
200,pop28,c
200,pop28,e
200,pop28,b
200,pop30,a
200,pop30,c
200,pop30,b
200,pop31,a
200,pop31,e
200,pop31,c
200,pop31,d
200,pop31,b
200,pop35,b
200,pop35,d
200,pop35,e
200,pop35,a
200,pop35,c
200,pop38,b
200,pop38,c
200,pop38,a
200,pop40,a
200,pop40,b
200,pop40,c
200,pop42,b
200,pop42,a
200,pop42,c
200,pop42,d
200,pop42,e
200,pop48,c
200,pop48,e
