time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,9,0,0,9,0,0,0,2.7777777777777777,0,0.0,0,0,0.0,0.0
100,200,79,0,121,0,49.42590859234392,4.9346391974633805,2.65,6.052516411378556,27.66,36.265822784810126,34.44303797468354,0.12420369832510358,0.053014561964015466
200,403,265,0,138,0,58.88913677353389,5.048395280414422,2.662531017369727,6.111292295148798,37.1985111662531,45.630188679245286,44.21132075471698,0.1414924163755912,0.06363442094332401
300,602,467,0,135,0,60.89744073454271,5.023033445602602,2.6528239202657806,6.14083820662768,41.863787375415285,47.58029978586724,46.11777301927195,0.14183911898723708,0.06828295168829399
400,782,674,0,108,0,61.086880560909464,5.019790222798911,2.6547314578005117,6.174837779379957,43.808184143222505,47.72848664688427,45.97626112759644,0.14052422718929083,0.06863057092095745
500,984,854,0,130,0,60.38595621827569,5.021243525161956,2.6514227642276422,6.128757799205899,43.922764227642276,47.094847775175644,45.46135831381733,0.14002963432895674,0.06784784291925547
600,1177,1048,0,129,0,60.8718121012257,5.016232277274191,2.6542056074766354,6.163409465505063,44.47918436703483,47.56583969465649,45.968511450381676,0.13768684017978405,0.06643668201548016
700,1399,1264,0,135,0,60.77354051768747,5.025709381748766,2.653323802716226,6.168951573133445,44.70836311651179,47.450949367088604,45.85126582278481,0.14057031969478162,0.06786654110608673
800,1602,1466,0,136,0,60.99063803877558,5.032109483015744,2.6541822721598,6.155742532604123,45.668539325842694,47.69304229195089,45.92155525238745,0.14183006368337886,0.0692925068666016
900,1801,1675,0,126,0,61.21629462591005,5.019484253434626,2.6579677956690726,6.140631953716066,45.967795669072736,47.88537313432836,45.9289552238806,0.14014245685230292,0.06861986322921647
1000,2014,1878,0,136,0,61.21749811509974,5.019546880929826,2.6618669314796426,6.15213493591872,46.00049652432969,47.87646432374867,46.10596379126731,0.13998873613795576,0.06818891727245616
