time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,2.6363636363636362,0,0.0,0,0,0.0,0.0
100,260,149,0,111,0,35.65755908188345,4.949807879136969,2.6653846153846152,4.535816618911174,18.265384615384615,22.644295302013422,18.033557046979865,0.3117007705925223,0.0971475873424982
200,472,393,0,79,0,38.851147173727064,4.998004187140598,2.6483050847457625,4.6400336417157275,23.377118644067796,25.60050890585242,19.071246819338423,0.33060141764941886,0.10242458290772874
300,690,608,0,82,0,38.62044591828948,4.98928984125734,2.6608695652173915,4.671727298768261,23.63623188405797,25.35361842105263,18.986842105263158,0.31830237043804405,0.09707629583100631
400,934,817,0,117,0,38.84033122207122,5.004134040829787,2.6616702355460387,4.639599100020454,24.285867237687366,25.514075887392902,19.053855569155445,0.3226977073084836,0.10061510930060942
500,1198,1084,0,114,0,39.53613636748707,5.009996839397818,2.6636060100166943,4.662583346255233,25.09933222036728,26.19741697416974,19.333025830258304,0.3319919521799349,0.10667144856093803
600,1431,1334,0,97,0,40.08111354266618,5.007353875870497,2.657582110412299,4.68341327947488,25.92732354996506,26.770614692653673,19.61544227886057,0.33205146659452406,0.10901120505837357
700,1663,1557,3,103,16.142078172403515,40.44002567009769,5.011459589369746,2.6548406494287433,4.69067067927773,26.242934455802764,27.122029543994863,19.711624919717405,0.3300175301365949,0.11003393491711233
800,1915,1796,3,116,16.142078172403515,40.57119455690384,5.002908440165695,2.6595300261096604,4.7009569377990434,26.678851174934724,27.283964365256125,19.77227171492205,0.33355111344312477,0.1127208038540305
900,2149,2048,3,98,16.142078172403515,40.85698346535243,5.00354587521672,2.658911121451838,4.698774649030269,26.944160074453233,27.57958984375,19.72900390625,0.33571009543493635,0.11320368921108279
1000,2386,2286,3,97,16.142078172403515,40.784987627407624,4.999761678692928,2.6605196982397317,4.702133878982753,26.967309304274938,27.492563429571305,19.675415573053368,0.3339054279301171,0.1129493991320798
