time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,4,0,0,4,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,99,40,0,59,0,45.60631784965441,5.113221761403474,2.6464646464646466,4.411184210526316,27.09090909090909,32.575,30.45,0.04034141201264479,0.024844480431848885
200,179,132,0,47,0,54.32268749372659,5.049269525760153,2.664804469273743,4.4198174706649285,37.87709497206704,40.97727272727273,35.45454545454545,0.05335851421211152,0.03196549187454036
300,270,222,0,48,0,55.25764873167713,5.048716885643089,2.685185185185185,4.423255813953489,38.74444444444445,41.810810810810814,35.887387387387385,0.05548281139188539,0.030887480281084307
400,363,314,0,49,0,54.80926256601208,5.010776869173708,2.677685950413223,4.439431396786156,39.57575757575758,41.4203821656051,35.98407643312102,0.05504563011779652,0.03174768018705962
500,451,400,0,51,0,55.65412772516174,5.00336589432568,2.680709534368071,4.44155206286837,40.1019955654102,42.275,36.82,0.056051863772552404,0.031765746745086205
600,555,492,0,63,0,55.44140387939727,5.008939016693433,2.6810810810810812,4.461967343687774,40.37477477477478,42.040650406504064,37.01219512195122,0.056681239677450534,0.03206086395873628
700,644,597,0,47,0,55.328748078378,5.007766255861253,2.687888198757764,4.464072367298174,40.61335403726708,41.87102177554439,36.67001675041876,0.05732690207993841,0.03185856604912125
800,745,691,0,54,0,55.22028839018403,4.9947192326141625,2.683221476510067,4.461921499707088,40.893959731543625,41.808972503617944,36.72937771345875,0.058288599887522045,0.032670163129450716
900,835,793,0,42,0,55.40892741504492,4.9920009047004035,2.673053892215569,4.4491777806551855,41.15089820359282,42.0390920554855,36.896595208070615,0.059769123179816995,0.03307885258837702
1000,919,868,0,51,0,55.30001810676017,4.996240003752811,2.673558215451578,4.465327820437094,41.130576713819366,41.9573732718894,36.8721198156682,0.058830737172667055,0.03268692889159167
