time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,6,0,0,6,inf,inf,inf,3.0,inf,0.0,inf,inf,0.0,0.0
100,133,87,0,46,inf,30.520713618573797,4.523915592922469,2.654135338345865,3.9888059701492535,16.075187969924812,18.666666666666668,15.74712643678161,0.09242061765985173,0.024176878502897316
200,241,199,0,42,inf,32.86271017092811,4.623181918451155,2.66804979253112,4.0503089143865845,19.04149377593361,20.55778894472362,15.251256281407036,0.09325913981337024,0.025227316025563246
300,374,324,0,50,inf,34.5504215479391,4.638769835557688,2.7058823529411766,4.1946666666666665,21.029411764705884,22.074074074074073,15.342592592592593,0.09610504589647476,0.028268531368990418
400,512,459,0,53,inf,34.403884226008316,4.643424895103756,2.7109375,4.19070133963751,20.7734375,21.877995642701524,15.270152505446623,0.10045043431895628,0.028406055534265083
500,651,599,0,52,inf,34.69408756829494,4.634125063385779,2.705069124423963,4.2822850197508355,21.648233486943166,22.153589315525878,15.512520868113523,0.10387976780457135,0.029667628048153913
600,797,743,0,54,inf,35.14542758456434,4.643304719921795,2.7063989962358845,4.318514899853444,22.1831869510665,22.621803499327054,15.654104979811574,0.10567029703216857,0.030866468484264005
700,932,882,0,50,inf,35.584407713981314,4.635318737562151,2.7006437768240343,4.316752312435765,22.533261802575108,23.038548752834465,15.753968253968255,0.10662894610262934,0.031333366505780585
800,1056,1001,0,55,inf,35.5696204369287,4.642424671000831,2.703598484848485,4.338296713274015,22.62405303030303,23.043956043956044,15.731268731268731,0.10568104611661729,0.030882795207171288
900,1191,1140,0,51,inf,35.65522633513128,4.653857827125739,2.697732997481108,4.360801421877524,22.6607892527288,23.114912280701756,15.74561403508772,0.10565094691900181,0.030778855251221822
1000.0,1335,1289,0,46,inf,35.46782756353392,4.666085863366924,2.6868913857677903,4.340529648819804,22.590262172284643,22.95577967416602,15.674941815360745,0.10704581903007385,0.030983828156433108
