time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,24,0,0,24,inf,inf,inf,2.5416666666666665,inf,0.0,inf,inf,0.0,0.0
100,519,245,0,274,inf,42.30961661593481,4.727437940188711,2.66859344894027,4.49020979020979,24.74373795761079,29.99591836734694,28.39183673469388,0.2604776896141831,0.12685353816292472
200,1084,714,26,344,35.82403386022738,48.651629769814484,4.714786763953073,2.660516605166052,4.642517050572642,33.28136531365314,36.24929971988796,30.141456582633054,0.30684361061411775,0.17106302977411805
300,1625,1227,64,334,42.33639216386056,53.6955141486749,4.716105614261553,2.651076923076923,4.775236652783037,38.804307692307695,41.297473512632436,31.267318663406684,0.31450992063491834,0.1917095816464221
400,2165,1753,101,311,43.467750347429465,55.58552765977764,4.705163616385141,2.6581986143187066,4.8046252863532235,40.68729792147806,43.17855105533371,31.475185396463207,0.3155645599069356,0.19783687679842968
500,2719,2253,129,337,43.53701214937523,56.25513237424549,4.688044164395625,2.6712026480323647,4.806711637181282,41.66936373666789,43.84909010208611,31.82911673324456,0.31701728745254343,0.19965529326676235
600,3244,2775,166,303,44.1887962942625,56.86692237281624,4.692263329871597,2.6750924784217016,4.816293094433019,42.590937114673245,44.41009009009009,31.763603603603602,0.31730984182463534,0.2004519469939337
700,3749,3242,193,314,44.73315098339905,57.014087899866226,4.691356151675583,2.6705788210189385,4.815917575033597,43.014403841024276,44.548426896977176,31.740900678593462,0.3165813900837739,0.20013806800377368
800,4311,3755,241,315,41.90997752329011,57.38963490193709,4.696055802296819,2.670842032011134,4.812934397850296,43.209232196706104,44.92223701731025,31.90439414114514,0.3162657744394504,0.20102405562753398
900,4875,4261,286,328,42.87722275832185,57.44167044427547,4.694847692262439,2.6683076923076925,4.812083285925588,43.37784615384616,44.969960103262146,31.87256512555738,0.3196691067307935,0.20280497210490606
1000.0,5423,4766,331,326,42.695246890867125,57.74082986438454,4.694140797082735,2.670661995205606,4.816113512191144,43.56260372487553,45.258707511540074,31.961812840956778,0.31927015853448776,0.20291034665998842
