time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,41,0,0,41,inf,inf,inf,2.5121951219512195,inf,0.0,inf,inf,0.0,0.0
100,957,317,16,624,31.676277823947622,51.9947406817688,4.726901148278765,2.6656217345872517,5.662277304415182,30.553814002089865,39.76656151419559,25.83596214511041,0.45834113755134115,0.26745428960027345
200,1852,1067,88,697,42.712010264366434,63.72410036071846,4.717659813281055,2.6560475161987043,5.846218369914721,45.159827213822894,51.279287722586695,31.106841611996252,0.5002725810655371,0.3491583771871281
300,2783,1929,146,708,40.30435151413702,70.4395392561853,4.712509700804736,2.6611570247933884,5.877916082763169,51.24326266618757,57.994297563504404,31.941938828408503,0.5184700043159292,0.3866491209140622
400,3681,2760,251,670,39.29185616811851,72.7264196788344,4.704820920709831,2.669383319750068,5.868779342723005,54.33523499049171,60.2463768115942,32.301086956521736,0.5235542230779366,0.4064756746657837
500,4576,3562,355,659,40.64294987272952,74.29827825163596,4.699570068855553,2.670673076923077,5.8839014977487825,55.97421328671329,61.79674340258282,32.83436271757439,0.5260842804793451,0.408937144074516
600,5461,4370,397,694,40.434907377549614,74.71825322549508,4.695478639138624,2.672770554843435,5.900778173100706,56.79161325764512,62.22288329519451,33.134324942791764,0.5244688737963741,0.40892902087920263
700,6347,5198,458,691,40.42002524904087,75.236284892415,4.68505751591911,2.674334331180085,5.904075275378143,57.931936347880885,62.75221238938053,33.35859946133128,0.5280342234171391,0.4125017505682537
800,7255,6076,517,662,40.96127330749325,75.25869843312064,4.684325947499272,2.671261199172984,5.905389388551907,58.374224672639556,62.7771560236998,33.36718235681369,0.5289634880317519,0.41461604100697275
900,8140,6921,566,653,41.346216081785236,75.39915406591587,4.686100592124071,2.671375921375921,5.90563846610002,58.725552825552825,62.92255454414102,33.44704522467851,0.5295662324282973,0.41338920187710615
