time,node,sf
100,pop15,a
100,pop18,a
100,pop18,b
100,pop18,c
100,pop32,b
100,pop32,a
100,pop40,a
100,pop40,b
100,pop40,c
100,pop45,a
100,pop45,c
100,pop45,b
100,pop50,b
100,pop50,a
100,pop50,c
100,pop19,b
100,pop19,a
100,pop33,a
100,pop33,b
100,pop33,c
100,pop1,a
100,pop1,b
100,pop1,c
100,pop46,b
100,pop46,c
100,pop51,b
100,pop43,a
100,pop43,b
100,pop43,c
100,pop41,b
100,pop41,a
100,pop44,b
100,pop6,b
100,pop6,c
100,pop26,a
100,pop26,b
100,pop26,c
100,pop14,a
100,pop14,b
100,pop14,c
100,pop17,b
100,pop17,a
200,pop15,b
200,pop15,c
200,pop15,a
200,pop18,c
200,pop18,a
200,pop18,b
200,pop32,a
200,pop40,a
200,pop40,b
200,pop40,c
200,pop50,a
200,pop50,b
200,pop50,c
200,pop19,b
200,pop19,a
200,pop33,b
200,pop33,a
200,pop38,a
200,pop38,b
200,pop38,c
200,pop1,c
200,pop1,a
200,pop1,b
200,pop46,a
200,pop46,b
200,pop46,c
200,pop43,a
200,pop43,b
200,pop41,c
200,pop41,a
200,pop52,a
200,pop52,b
200,pop44,b
200,pop44,a
200,pop44,c
200,pop37,c
200,pop53,a
200,pop53,b
200,pop53,c
200,pop26,a
200,pop26,b
200,pop26,c
200,pop14,b
200,pop17,b
200,pop17,a
200,pop0,b
200,pop0,a
200,pop0,c
300,pop32,b
300,pop32,c
300,pop40,a
300,pop40,b
300,pop40,c
300,pop50,a
300,pop50,b
300,pop50,c
300,pop33,a
300,pop33,b
300,pop33,c
300,pop38,a
300,pop38,b
300,pop1,b
300,pop1,a
300,pop1,c
300,pop46,b
300,pop46,a
300,pop51,c
300,pop43,a
300,pop43,b
300,pop43,c
300,pop55,a
300,pop44,a
300,pop44,b
300,pop44,c
300,pop35,a
300,pop53,a
300,pop14,a
300,pop14,b
300,pop14,c
300,pop20,b
300,pop20,a
400,pop18,a
400,pop32,b
400,pop32,a
400,pop50,b
400,pop50,a
400,pop50,c
400,pop33,a
400,pop33,b
400,pop33,c
400,pop38,b
400,pop38,c
400,pop38,a
400,pop1,b
400,pop1,c
400,pop1,a
400,pop46,c
400,pop46,a
400,pop46,b
400,pop51,a
400,pop51,b
400,pop41,b
400,pop41,a
400,pop55,a
400,pop55,b
400,pop44,a
400,pop44,b
400,pop35,c
400,pop53,b
400,pop17,a
400,pop0,a
400,pop0,b
400,pop0,c
400,pop39,b
400,pop39,a
400,pop39,c
400,pop20,a
400,pop20,b
400,pop42,a
400,pop42,b
400,pop42,c
500,pop18,b
500,pop18,c
500,pop18,a
500,pop32,a
500,pop32,b
500,pop32,c
500,pop40,b
500,pop40,a
500,pop45,a
500,pop45,b
500,pop50,a
500,pop50,b
500,pop50,c
500,pop19,a
500,pop19,b
500,pop19,c
500,pop33,a
500,pop38,a
500,pop38,b
500,pop1,a
500,pop1,b
500,pop1,c
500,pop46,a
500,pop46,b
500,pop46,c
500,pop51,a
500,pop51,b
500,pop43,a
500,pop43,b
500,pop43,c
500,pop41,a
500,pop41,b
500,pop41,c
500,pop44,c
500,pop44,b
500,pop44,a
500,pop37,a
500,pop37,b
500,pop35,b
500,pop35,a
500,pop53,b
500,pop53,a
500,pop6,c
500,pop17,a
500,pop39,a
500,pop39,b
500,pop39,c
600,pop18,a
600,pop18,b
600,pop18,c
600,pop32,a
600,pop32,c
600,pop32,b
600,pop40,a
600,pop40,c
600,pop40,b
600,pop45,a
600,pop50,b
600,pop50,a
600,pop50,c
600,pop33,b
600,pop33,c
600,pop38,c
600,pop38,a
600,pop38,b
600,pop1,c
600,pop1,a
600,pop46,a
600,pop43,a
600,pop43,b
600,pop43,c
600,pop41,b
600,pop41,c
600,pop16,a
600,pop44,b
600,pop44,a
600,pop44,c
600,pop37,a
600,pop37,b
600,pop35,a
600,pop35,b
600,pop35,c
600,pop53,a
600,pop53,b
600,pop53,c
600,pop6,b
600,pop6,a
600,pop20,c
700,pop18,b
700,pop18,a
700,pop32,b
700,pop32,a
700,pop40,c
700,pop45,a
700,pop45,b
700,pop50,b
700,pop50,a
700,pop50,c
700,pop19,a
700,pop19,b
700,pop19,c
700,pop33,a
700,pop33,b
700,pop33,c
700,pop38,c
700,pop1,b
700,pop1,a
700,pop1,c
700,pop46,a
700,pop46,b
700,pop46,c
700,pop43,a
700,pop43,c
700,pop41,a
700,pop41,b
700,pop41,c
700,pop16,b
700,pop16,a
700,pop37,a
700,pop53,a
700,pop53,b
700,pop53,c
700,pop6,b
700,pop6,a
700,pop17,b
700,pop17,a
700,pop17,c
700,pop0,b
700,pop0,a
700,pop20,a
700,pop20,b
700,pop20,c
700,pop42,b
700,pop42,a
700,pop11,c
800,pop18,b
800,pop18,a
800,pop18,c
800,pop32,b
800,pop32,a
800,pop32,c
800,pop40,a
800,pop40,b
800,pop45,a
800,pop45,b
800,pop45,c
800,pop50,b
800,pop50,a
800,pop50,c
800,pop19,a
800,pop19,b
800,pop19,c
800,pop33,a
800,pop33,b
800,pop33,c
800,pop38,b
800,pop38,a
800,pop1,b
800,pop1,a
800,pop1,c
800,pop46,a
800,pop43,b
800,pop43,a
800,pop43,c
800,pop41,a
800,pop41,b
800,pop41,c
800,pop44,a
800,pop37,b
800,pop37,c
900,pop18,b
900,pop18,a
900,pop18,c
900,pop32,b
900,pop32,c
900,pop32,a
900,pop40,a
900,pop40,b
900,pop40,c
900,pop45,a
900,pop45,b
900,pop45,c
900,pop50,c
900,pop50,b
900,pop50,a
900,pop19,a
900,pop19,b
900,pop33,b
900,pop33,a
900,pop38,b
900,pop38,a
900,pop1,b
900,pop1,c
900,pop1,a
900,pop46,a
900,pop46,b
900,pop43,a
900,pop43,b
900,pop43,c
900,pop41,a
900,pop41,b
900,pop41,c
900,pop16,b
900,pop16,c
900,pop16,a
900,pop44,a
900,pop35,a
900,pop17,a
900,pop17,b
900,pop17,c
900,pop0,a
900,pop0,b
